"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,0.0288573632278533,0.0288573632278533,0,0.00685029008187094,1
"md$F1_SDC_AGE_CALC",1,0.0528893582457638,0.0528893582457638,0,0.0125551126541518,1
"md$A_HS_DENTAL_VISIT_LAST",1,0.12556415680598,0.12556415680598,0,0.0298069817126006,1
"md$PM_BIOIMPED_BMI",1,0.102901943907003,0.102901943907003,0,0.0244273241524368,1
"md$PM_BIOIMPED_WEIGHT",1,0.150123325013484,0.150123325013484,0,0.0356369470168623,1
"md$PM_WAIST_AVG",1,0.124524375488714,0.124524375488714,0,0.0295601537682473,1
"md$PM_WAIST_HIP_RATIO",1,0.279843735709547,0.279843735709547,0,0.0664305588860771,1
"md$PM_STANDING_HEIGHT_AVG",1,0.0869930229716537,0.0869930229716537,0,0.0206507932741234,1
"md$A_SLE_LIGHT_EXP",1,0.109911303879904,0.109911303879904,0,0.0260912374047841,1
"md$NUT_VEG_DAY_QTY",1,0.11370197669342,0.11370197669342,0,0.0269910842886804,1
"md$NUT_JUICE_DAY_QTY",1,0.0541004780640288,0.0541004780640288,0,0.0128426136989808,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0661032661671426,0.0661032661671426,0,0.015691889277222,1
"md$PM_BIOIMPED_FFM",1,0.123111359965365,0.123111359965365,0,0.0292247258170276,1
"md$SALT_SEASONING",1,0.326531696062356,0.326531696062356,0,0.0775135559437893,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,0.239235821553922,0.239235821553922,0,0.0567908704159521,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,0.160376185676654,0.160376185676654,0,0.0380708169847159,1
"md$UC_case_control:md$A_HS_DENTAL_VISIT_LAST",1,0.0606763079869754,0.0606763079869754,0,0.0144036136470894,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.121457223728996,0.121457223728996,0,0.0288320595514165,1
"md$UC_case_control:md$PM_BIOIMPED_BMI",1,0.255500991455233,0.255500991455233,0,0.0606519692687867,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,0.192293227697444,0.192293227697444,0,0.0456474273171056,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,0.100813976838483,0.100813976838483,0,0.0239316731815627,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,0.182788137712083,0.182788137712083,0,0.0433910665006343,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0854232901920016,0.0854232901920016,0,0.0202781630789551,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,0.0735792589399491,0.0735792589399491,0,0.0174665739127976,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,0.0381094219830147,0.0381094219830147,0,0.00904658521205786,1
"md$UC_case_control:md$PM_WAIST_AVG",1,0.0901587280038143,0.0901587280038143,0,0.0214022825080049,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.187898233947526,0.187898233947526,0,0.0446041240236887,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,0.174050028631154,0.174050028631154,0,0.0413167750451483,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,0.122371239539237,0.122371239539237,0,0.0290490327166405,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.238909581210942,0.238909581210942,0,0.0567134260227074,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,0.0651406312142377,0.0651406312142377,0,0.0154633746822371,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.058341746810874,0.058341746810874,0,0.0138494250629179,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,0.0202939676110896,0.0202939676110896,0,0.0048174728907274,1
"Residuals",0,3.27384092585386e-16,Inf,NA,7.77159016467362e-17,NA
"Total",33,4.21257536293585,NA,NA,1,NA
