"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Both_case_control",1,0.173447016102963,0.173447016102963,0,0.029896954438869,1
"md$A_SMK_CIG_CUR_FREQ",1,0.206824945706093,0.206824945706093,0,0.0356502874337485,1
"md$F1_SDC_AGE_CALC",1,0.22839240166128,0.22839240166128,0,0.0393678564213393,1
"md$SDC_GENDER",1,0.0451233996715069,0.0451233996715069,0,0.00777789237553148,1
"md$PM_BIOIMPED_WEIGHT",1,0.254244445997649,0.254244445997649,0,0.0438239572470648,1
"md$PM_WAIST_AVG",1,0.144464528924829,0.144464528924829,0,0.0249012611248058,1
"md$PM_WAIST_HIP_RATIO",1,0.0599329446685766,0.0599329446685766,0,0.0103306044485656,1
"md$PM_STANDING_HEIGHT_AVG",1,0.0593542055280261,0.0593542055280261,0,0.0102308475423599,1
"md$A_SLE_LIGHT_EXP",1,0.0941685869663309,0.0941685869663309,0,0.0162317808478977,1
"md$NUT_VEG_DAY_QTY",1,0.266062912698653,0.266062912698653,0,0.0458610990119452,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0345899251112811,0.0345899251112811,0,0.00596224390785699,1
"md$PM_BIOIMPED_FFM",1,0.178135513739612,0.178135513739612,0,0.0307051078645032,1
"md$Both_case_control:md$A_SMK_CIG_CUR_FREQ",1,0.232450693962039,0.232450693962039,0,0.0400673817446426,1
"md$Both_case_control:md$F1_SDC_AGE_CALC",1,0.188486147536964,0.188486147536964,0,0.0324892401834425,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,0.0832790374204015,0.0832790374204015,0,0.0143547559560933,1
"md$Both_case_control:md$SDC_GENDER",1,0.0509104216034659,0.0509104216034659,0,0.00877539775166207,1
"md$F1_SDC_AGE_CALC:md$SDC_GENDER",1,0.0694009443415688,0.0694009443415688,0,0.011962597671687,1
"md$Both_case_control:md$PM_BIOIMPED_WEIGHT",1,0.0957090032348846,0.0957090032348846,0,0.0164973014433659,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,0.0912108111668108,0.0912108111668108,0,0.0157219508703895,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0328481029432544,0.0328481029432544,0,0.00566200710258849,1
"md$SDC_GENDER:md$PM_BIOIMPED_WEIGHT",1,0.071929138145479,0.071929138145479,0,0.0123983808674225,1
"md$Both_case_control:md$PM_WAIST_AVG",1,0.0767582555760229,0.0767582555760229,0,0.0132307728395924,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.113024615620426,0.113024615620426,0,0.0194819827956488,1
"md$SDC_GENDER:md$PM_WAIST_AVG",1,0.116654380486607,0.116654380486607,0,0.0201076431112095,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0436040993468607,0.0436040993468607,0,0.00751601152219963,1
"md$Both_case_control:md$PM_WAIST_HIP_RATIO",1,0.153800795633162,0.153800795633162,0,0.0265105476186276,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.0689798993490585,0.0689798993490585,0,0.0118900224078363,1
"md$SDC_GENDER:md$PM_WAIST_HIP_RATIO",1,0.198946925527991,0.198946925527991,0,0.0342923579886355,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.119771912554255,0.119771912554255,0,0.0206450101774313,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.14639219498601,0.14639219498601,0,0.025233531726511,1
"md$Both_case_control:md$PM_STANDING_HEIGHT_AVG",1,0.139939885160943,0.139939885160943,0,0.0241213510894513,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.235307099926467,0.235307099926467,0,0.040559738666636,1
"md$SDC_GENDER:md$PM_STANDING_HEIGHT_AVG",1,0.126891707375582,0.126891707375582,0,0.0218722447887258,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.0354177866491661,0.0354177866491661,0,0.00610494188696287,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,0.22558877882058,0.22558877882058,0,0.0388845976935994,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,0.144612223430361,0.144612223430361,0,0.0249267191349923,1
"md$Both_case_control:md$A_SLE_LIGHT_EXP",1,0.0681913579321884,0.0681913579321884,0,0.0117541020135683,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,0.0240244812222326,0.0240244812222326,0,0.00414108490682926,1
"md$SDC_GENDER:md$A_SLE_LIGHT_EXP",1,0.0916833253553451,0.0916833253553451,0,0.0158033978475917,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,0.0697720735286032,0.0697720735286032,0,0.0120265689791503,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,0.268305586579801,0.268305586579801,0,0.0462476673159285,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,0.108584423059626,0.108584423059626,0,0.0187166295617182,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,0.211932737736927,0.211932737736927,0,0.0365307143736873,1
"md$Both_case_control:md$NUT_VEG_DAY_QTY",1,0.0595461974998965,0.0595461974998965,0,0.0102639410793063,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,0.0949504899332352,0.0949504899332352,0,0.0163665569766682,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,0.0916768700929822,0.0916768700929822,0,0.0158022851580275,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,0.106171248047491,0.106171248047491,0,0.0183006720836835,1
"Residuals",0,-3.11721872683363e-16,-Inf,NA,-5.37313055860305e-17,NA
"Total",47,5.80149447856349,NA,NA,1,NA
