"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,0.220070399904921,0.220070399904921,0,0.00750420697470788,1
"md$A_SMK_CIG_CUR_FREQ",1,0.26953112018215,0.26953112018215,0,0.0091907740107055,1
"md$F1_SDC_AGE_CALC",1,0.224720568696232,0.224720568696232,0,0.00766277363834097,1
"md$SDC_GENDER",1,0.237367179351094,0.237367179351094,0,0.00809401193264876,1
"md$A_HS_DENTAL_VISIT_LAST",1,0.101891967784083,0.101891967784083,0,0.00347442643646019,1
"md$PM_BIOIMPED_BMI",1,0.17146241699798,0.17146241699798,0,0.00584671753262779,1
"md$PM_BIOIMPED_WEIGHT",1,0.201781586405272,0.201781586405272,0,0.00688057452853387,1
"md$PM_WAIST_AVG",1,0.0497434993610855,0.0497434993610855,0,0.00169620955391142,1
"md$PM_WAIST_HIP_RATIO",1,0.0879241589609154,0.0879241589609154,0,0.00299813644726817,1
"md$PM_STANDING_HEIGHT_AVG",1,0.189800702809286,0.189800702809286,0,0.00647203694109365,1
"md$A_SLE_LIGHT_EXP",1,0.0258165934078283,0.0258165934078283,0,0.000880323116593246,1
"md$NUT_VEG_DAY_QTY",1,0.212150501135965,0.212150501135965,0,0.00723414539620092,1
"md$NUT_JUICE_DAY_QTY",1,0.149806431943512,0.149806431943512,0,0.00510826749954691,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0744477499776632,0.0744477499776632,0,0.00253860276018518,1
"md$PM_BIOIMPED_FFM",1,0.329722819199846,0.329722819199846,0,0.011243257978487,1
"md$SALT_SEASONING",1,0.228943896471141,0.228943896471141,0,0.00780678539893502,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,0.14440909257047,0.14440909257047,0,0.00492422297658723,1
"md$CASE_CONTROL:md$A_SMK_CIG_CUR_FREQ",1,0.180611469677478,0.180611469677478,0,0.00615869217782823,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,0.186713724286179,0.186713724286179,0,0.00636677368999817,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,0.126487835704086,0.126487835704086,0,0.00431312388815757,1
"md$CASE_CONTROL:md$SDC_GENDER",1,0.0951087648638729,0.0951087648638729,0,0.00324312518610262,1
"md$F1_SDC_AGE_CALC:md$SDC_GENDER",1,0.110112954340728,0.110112954340728,0,0.00375475484356997,1
"md$CASE_CONTROL:md$A_HS_DENTAL_VISIT_LAST",1,0.309903910834375,0.309903910834375,0,0.0105674506438726,1
"md$A_SMK_CIG_CUR_FREQ:md$A_HS_DENTAL_VISIT_LAST",1,0.19427182162923,0.19427182162923,0,0.00662449815826718,1
