"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Both_case_control",1,760.198482213422,760.198482213422,0,0.028725401518665,1
"md$A_SMK_CIG_CUR_FREQ",1,800.541168190065,800.541168190065,0,0.0302498189966456,1
"md$F1_SDC_AGE_CALC",1,618.245832973245,618.245832973245,0,0.023361477567923,1
"md$A_HS_DENTAL_VISIT_LAST",1,734.113440083146,734.113440083146,0,0.0277397335301657,1
"md$PM_BIOIMPED_BMI",1,597.969157512424,597.969157512424,0,0.0225952886610735,1
"md$PM_BIOIMPED_WEIGHT",1,575.989573975391,575.989573975391,0,0.0217647524562707,1
"md$PM_WAIST_AVG",1,533.454940880147,533.454940880147,0,0.0201575085026227,1
"md$PM_WAIST_HIP_RATIO",1,503.122261189934,503.122261189934,0,0.0190113362546836,1
"md$PM_STANDING_HEIGHT_AVG",1,577.512445974472,577.512445974472,0,0.0218222967827311,1
"md$A_SLE_LIGHT_EXP",1,774.203188006312,774.203188006312,0,0.0292545933106299,1
"md$NUT_VEG_DAY_QTY",1,762.075057981294,762.075057981294,0,0.0287963111477599,1
"md$NUT_JUICE_DAY_QTY",1,674.10747198021,674.10747198021,0,0.0254723052629397,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,646.45606340723,646.45606340723,0,0.024427449435942,1
"md$PM_BIOIMPED_FFM",1,845.971774778007,845.971774778007,0,0.0319664922681778,1
"md$SALT_SEASONING",1,581.137699343881,581.137699343881,0,0.0219592831896757,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,745.771045550971,745.771045550971,0,0.0281802361168513,1
"md$Both_case_control:md$A_SMK_CIG_CUR_FREQ",1,611.208721602894,611.208721602894,0,0.0230955682634788,1
"md$Both_case_control:md$F1_SDC_AGE_CALC",1,535.998399072849,535.998399072849,0,0.0202536174262008,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,630.015050795115,630.015050795115,0,0.0238061976185464,1
"md$Both_case_control:md$A_HS_DENTAL_VISIT_LAST",1,770.988555812746,770.988555812746,0,0.0291331229280186,1
"md$A_SMK_CIG_CUR_FREQ:md$A_HS_DENTAL_VISIT_LAST",1,463.394910213732,463.394910213732,0,0.0175101702634788,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,730.434821230898,730.434821230898,0,0.0276007306170617,1
"md$Both_case_control:md$PM_BIOIMPED_BMI",1,597.730155845145,597.730155845145,0,0.0225862575737761,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,753.241109762996,753.241109762996,0,0.028462505285866,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,635.483499680167,635.483499680167,0,0.0240128323245906,1
"md$Both_case_control:md$PM_BIOIMPED_WEIGHT",1,866.573144441179,866.573144441179,0,0.0327449503015141,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,567.227477455726,567.227477455726,0,0.0214336616338584,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,713.480818288794,713.480818288794,0,0.0269600945815324,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,505.957296466273,505.957296466273,0,0.0191184629177036,1
"md$Both_case_control:md$PM_WAIST_AVG",1,540.378092126011,540.378092126011,0,0.0204191116286022,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,624.13878003522,624.13878003522,0,0.0235841526645512,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,861.319997003986,861.319997003986,0,0.032546451129389,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,701.070939580011,701.070939580011,0,0.0264911660621413,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,839.074854953094,839.074854953094,0,0.0317058803413613,1
"md$Both_case_control:md$PM_WAIST_HIP_RATIO",1,681.809691572376,681.809691572376,0,0.0257633468205678,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,781.178264282004,781.178264282004,0,0.029518158512785,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,816.699123934617,816.699123934617,0,0.0308603750255549,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_HIP_RATIO",1,692.91356522248,692.91356522248,0,0.0261829257022344,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,813.142327322777,813.142327322777,0,0.0307259753744297,1
"Residuals",0,-1.12363314568017e-12,-Inf,NA,-4.24584026731612e-17,NA
"Total",39,26464.3292007412,NA,NA,1,NA
