"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,557.359985398657,557.359985398657,0,0.0165209523192003,1
"md$A_SMK_CIG_CUR_FREQ",1,766.230631830853,766.230631830853,0,0.022712178960845,1
"md$F1_SDC_AGE_CALC",1,807.875239415713,807.875239415713,0,0.0239465850794852,1
"md$A_HS_DENTAL_VISIT_LAST",1,926.093174062703,926.093174062703,0,0.0274507348439867,1
"md$PM_BIOIMPED_BMI",1,689.405997922356,689.405997922356,0,0.0204349862182866,1
"md$PM_BIOIMPED_WEIGHT",1,594.696148121009,594.696148121009,0,0.0176276499298598,1
"md$PM_WAIST_AVG",1,515.266260773366,515.266260773366,0,0.0152732337249518,1
"md$PM_WAIST_HIP_RATIO",1,829.511038438727,829.511038438727,0,0.0245879013085133,1
"md$PM_STANDING_HEIGHT_AVG",1,730.480088697872,730.480088697872,0,0.0216524813974058,1
"md$A_SLE_LIGHT_EXP",1,533.24732146431,533.24732146431,0,0.0158062182486098,1
"md$NUT_VEG_DAY_QTY",1,786.857922422725,786.857922422725,0,0.0233236015481678,1
"md$NUT_JUICE_DAY_QTY",1,581.102160513811,581.102160513811,0,0.0172247045678499,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,635.374672413065,635.374672413065,0,0.0188334199489684,1
"md$PM_BIOIMPED_FFM",1,746.575674387384,746.575674387384,0,0.0221295777277709,1
"md$SALT_SEASONING",1,572.609133023048,572.609133023048,0,0.0169729590068186,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,795.089946718997,795.089946718997,0,0.0235676105987851,1
"md$UC_case_control:md$A_SMK_CIG_CUR_FREQ",1,671.168770990531,671.168770990531,0,0.0198944085584827,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,715.300299488899,715.300299488899,0,0.021202530593066,1
"md$UC_case_control:md$A_HS_DENTAL_VISIT_LAST",1,766.47758891728,766.47758891728,0,0.0227194991243957,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,484.730692081623,484.730692081623,0,0.0143681155112086,1
"md$UC_case_control:md$PM_BIOIMPED_BMI",1,740.960937722954,740.960937722954,0,0.0219631488502985,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,715.530418098127,715.530418098127,0,0.0212093516399126,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,676.003061087493,676.003061087493,0,0.0200377038761973,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,639.184087328344,639.184087328344,0,0.0189463364909306,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,518.219656095742,518.219656095742,0,0.0153607766138907,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,773.951170859935,773.951170859935,0,0.0229410268518302,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,857.039302213601,857.039302213601,0,0.0254038786753308,1
"md$UC_case_control:md$PM_WAIST_AVG",1,825.533579139552,825.533579139552,0,0.0244700036891026,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,720.423906264026,720.423906264026,0,0.0213544016736095,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,750.682214012137,750.682214012137,0,0.0222513014738502,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,545.922293768981,545.922293768981,0,0.0161819226740771,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,567.500889615862,567.500889615862,0,0.0168215433186173,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,728.453817010155,728.453817010155,0,0.0215924197876464,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,802.901578257181,802.901578257181,0,0.0237991586028729,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,595.515225229199,595.515225229199,0,0.0176519285544555,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_HIP_RATIO",1,624.578172997011,624.578172997011,0,0.0185133961640902,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,611.500314924942,611.500314924942,0,0.0181257496244999,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,599.643747247075,599.643747247075,0,0.0177743038903119,1
"md$UC_case_control:md$PM_STANDING_HEIGHT_AVG",1,662.180577957068,662.180577957068,0,0.0196279855779464,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,608.04455115665,608.04455115665,0,0.0180233158116356,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_STANDING_HEIGHT_AVG",1,830.744613562769,830.744613562769,0,0.0246244662509927,1
"md$PM_BIOIMPED_BMI:md$PM_STANDING_HEIGHT_AVG",1,569.207306219079,569.207306219079,0,0.0168721239632222,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,670.318144992718,670.318144992718,0,0.0198691947793822,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,940.907907882163,940.907907882163,0,0.0278898648810629,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,787.018174550882,787.018174550882,0,0.0233283516519385,1
"md$UC_case_control:md$A_SLE_LIGHT_EXP",1,633.072444454439,633.072444454439,0,0.0187651785980842,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,927.959461247858,927.959461247858,0,0.0275060542827832,1
"md$A_HS_DENTAL_VISIT_LAST:md$A_SLE_LIGHT_EXP",1,592.965093842158,592.965093842158,0,0.0175763389890817,1
"md$PM_BIOIMPED_BMI:md$A_SLE_LIGHT_EXP",1,515.137718458274,515.137718458274,0,0.0152694235456884,1
"Residuals",0,1.80386167736294e-12,Inf,NA,5.3469056880411e-17,NA
"Total",49,33736.5531132793,NA,NA,1,NA
