"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,188.149558955052,188.149558955052,0,0.017286400748944,1
"md$A_SMK_CIG_CUR_FREQ",1,225.940142117366,225.940142117366,0,0.0207584427176212,1
"md$F1_SDC_AGE_CALC",1,73.28794652102,73.28794652102,0,0.0067333924175298,1
"md$PM_BIOIMPED_WEIGHT",1,76.0973837253288,76.0973837253288,0,0.00699151185008333,1
"md$PM_WAIST_AVG",1,88.6690678525284,88.6690678525284,0,0.00814654602140354,1
"md$PM_WAIST_HIP_RATIO",1,53.6632143521094,53.6632143521094,0,0.00493035345880696,1
"md$PM_STANDING_HEIGHT_AVG",1,84.5283398514745,84.5283398514745,0,0.00776611311464508,1
"md$A_SLE_LIGHT_EXP",1,30.7338988318565,30.7338988318565,0,0.00282370309415337,1
"md$NUT_VEG_DAY_QTY",1,78.8058904063606,78.8058904063606,0,0.00724035820497005,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,72.6480641754889,72.6480641754889,0,0.00667460268281846,1
"md$PM_BIOIMPED_FFM",1,122.287097001122,122.287097001122,0,0.0112352310413408,1
"md$CASE_CONTROL:md$A_SMK_CIG_CUR_FREQ",1,70.3477003105124,70.3477003105124,0,0.00646325479627958,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,76.0057552828268,76.0057552828268,0,0.00698309340899909,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,32.2091723656724,32.2091723656724,0,0.00295924510478303,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,92.7445018984365,92.7445018984365,0,0.00852097999050089,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,52.0679088760512,52.0679088760512,0,0.00478378341139741,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,66.9735596060252,66.9735596060252,0,0.00615325274937058,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,74.42304688435,74.42304688435,0,0.00683768072880606,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_AVG",1,26.9338565993028,26.9338565993028,0,0.00247457098212685,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,33.8240409979389,33.8240409979389,0,0.00310761253380755,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,17.565015094721,17.565015094721,0,0.00161380070075601,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO",1,67.3543174176987,67.3543174176987,0,0.00618823519715007,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_HIP_RATIO",1,93.7418390270591,93.7418390270591,0,0.00861261118742169,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,69.0295699348433,69.0295699348433,0,0.00634215044695385,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,41.4717525369419,41.4717525369419,0,0.00381025253578125,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,61.7151595720341,61.7151595720341,0,0.00567013277401339,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG",1,50.2906831215687,50.2906831215687,0,0.00462049928368565,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_STANDING_HEIGHT_AVG",1,90.6328206192873,90.6328206192873,0,0.00832696747700817,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,34.5508171465508,34.5508171465508,0,0.00317438571057955,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,93.5946866870149,93.5946866870149,0,0.00859909144102805,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,64.2516493834796,64.2516493834796,0,0.00590317493270767,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,54.5861997800407,54.5861997800407,0,0.00501515352999111,1
"md$CASE_CONTROL:md$A_SLE_LIGHT_EXP",1,51.8482414825717,51.8482414825717,0,0.00476360128279582,1
"md$A_SMK_CIG_CUR_FREQ:md$A_SLE_LIGHT_EXP",1,65.8923855819116,65.8923855819116,0,0.00605391896637383,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,52.2052460357359,52.2052460357359,0,0.00479640137974778,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,83.2249664524625,83.2249664524625,0,0.00764636457510044,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,86.843390934323,86.843390934323,0,0.00797881040181734,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,56.4010777922058,56.4010777922058,0,0.00518189699090046,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,61.2066134500415,61.2066134500415,0,0.00562340966654023,1
"md$CASE_CONTROL:md$NUT_VEG_DAY_QTY",1,60.9888081994941,60.9888081994941,0,0.00560339862390427,1
"md$A_SMK_CIG_CUR_FREQ:md$NUT_VEG_DAY_QTY",1,40.5773387945487,40.5773387945487,0,0.00372807751250594,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,91.1177431868414,91.1177431868414,0,0.00837152015032563,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,121.418359915785,121.418359915785,0,0.0111554150827704,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,41.3209281759605,41.3209281759605,0,0.00379639541934097,1
"md$PM_WAIST_HIP_RATIO:md$NUT_VEG_DAY_QTY",1,54.1619560820914,54.1619560820914,0,0.00497617577942557,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_VEG_DAY_QTY",1,106.828708603606,106.828708603606,0,0.00981497846006249,1
"md$A_SLE_LIGHT_EXP:md$NUT_VEG_DAY_QTY",1,51.1202007010907,51.1202007010907,0,0.00469671191680341,1
"md$CASE_CONTROL:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,60.7256507521984,60.7256507521984,0,0.00557922080962032,1
"md$A_SMK_CIG_CUR_FREQ:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,46.8953221319039,46.8953221319039,0,0.00430854760502825,1
"md$F1_SDC_AGE_CALC:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,64.0774409477935,64.0774409477935,0,0.00588716938451589,1
"md$PM_BIOIMPED_WEIGHT:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,50.259550889089,50.259550889089,0,0.00461763898334882,1
"md$PM_WAIST_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,29.3811589686825,29.3811589686825,0,0.002699418968728,1
"md$PM_WAIST_HIP_RATIO:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,50.2942386717841,50.2942386717841,0,0.00462082595288566,1
"md$PM_STANDING_HEIGHT_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,35.9233091862152,35.9233091862152,0,0.00330048458401907,1
"md$A_SLE_LIGHT_EXP:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,40.9452768857645,40.9452768857645,0,0.00376188213756529,1
"md$NUT_VEG_DAY_QTY:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,42.2390735280201,42.2390735280201,0,0.00388075080443796,1
"md$CASE_CONTROL:md$PM_BIOIMPED_FFM",1,159.07235483118,159.07235483118,0,0.0146149078900945,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_FFM",1,28.0218278072675,28.0218278072675,0,0.00257452926217089,1
"md$PM_BIOIMPED_WEIGHT:md$PM_BIOIMPED_FFM",1,37.5240024371533,37.5240024371533,0,0.00344754963782797,1
"md$PM_WAIST_AVG:md$PM_BIOIMPED_FFM",1,67.7429962186643,67.7429962186643,0,0.00622394539255752,1
"md$PM_WAIST_HIP_RATIO:md$PM_BIOIMPED_FFM",1,71.3582559256465,71.3582559256465,0,0.00655610045289085,1
"md$PM_STANDING_HEIGHT_AVG:md$PM_BIOIMPED_FFM",1,79.7357861843757,79.7357861843757,0,0.00732579317044536,1
"md$A_SLE_LIGHT_EXP:md$PM_BIOIMPED_FFM",1,53.8724231501192,53.8724231501192,0,0.00494957469505479,1
"md$NUT_VEG_DAY_QTY:md$PM_BIOIMPED_FFM",1,47.5063815724689,47.5063815724689,0,0.00436468921083215,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY:md$PM_BIOIMPED_FFM",1,91.5046072066325,91.5046072066325,0,0.00840706361116921,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,85.8172096999042,85.8172096999042,0,0.00788452912814479,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,39.2357437407918,39.2357437407918,0,0.00360481732592435,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,46.1854370414458,46.1854370414458,0,0.00424332630858986,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,37.3017471075545,37.3017471075545,0,0.0034271297403944,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,68.2670843615078,68.2670843615078,0,0.00627209643641475,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,64.9342905883195,64.9342905883195,0,0.00596589317398414,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,31.7285071569286,31.7285071569286,0,0.00291508357992713,1
"md$CASE_CONTROL:md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,42.4784049360151,42.4784049360151,0,0.00390273958109727,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,40.5134775054421,40.5134775054421,0,0.00372221020225566,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,52.4147903802168,52.4147903802168,0,0.00481565344461304,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,43.3616033216895,43.3616033216895,0,0.00398388418393546,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,62.9583078636851,62.9583078636851,0,0.00578434808059819,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,43.4221755924073,43.4221755924073,0,0.00398944931282397,1
"md$CASE_CONTROL:md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,52.7511670080594,52.7511670080594,0,0.00484655833338216,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,69.5605954488055,69.5605954488055,0,0.00639093886768281,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,44.7961117380592,44.7961117380592,0,0.00411568086472929,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,55.638411126356,55.638411126356,0,0.00511182634233258,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,44.4982387587206,44.4982387587206,0,0.00408831353141357,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,43.4669854968806,43.4669854968806,0,0.00399356626090798,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,46.1872349959749,46.1872349959749,0,0.00424349149719138,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,42.131715404129,42.131715404129,0,0.00387088718549809,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,54.8821516715743,54.8821516715743,0,0.00504234436173088,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,44.9744965313002,44.9744965313002,0,0.00413207011932339,1
"md$CASE_CONTROL:md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,46.9533684137368,46.9533684137368,0,0.00431388065653963,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,71.3800926352769,71.3800926352769,0,0.00655810671916012,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,67.0018290864,67.0018290864,0,0.00615585003192302,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,56.0139399139289,56.0139399139289,0,0.00514632836907558,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,98.5680778286533,98.5680778286533,0,0.00905602598200216,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,64.5158091752655,64.5158091752655,0,0.00592744483824414,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,60.3671027289411,60.3671027289411,0,0.00554627890504084,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,98.5596660009433,98.5596660009433,0,0.0090552531381771,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,39.9509156300701,39.9509156300701,0,0.00367052435150073,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,67.0938105146661,67.0938105146661,0,0.00616430090387456,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,106.916529534858,106.916529534858,0,0.00982304708281241,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,119.767908920654,119.767908920654,0,0.0110037784938951,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,28.1118041232367,28.1118041232367,0,0.00258279591272481,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,87.9266036239196,87.9266036239196,0,0.00807833148893921,1
