"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Both_case_control",1,152.50838644058,152.50838644058,0,0.0337748506241857,1
"md$A_SMK_CIG_CUR_FREQ",1,143.788513273457,143.788513273457,0,0.0318437278803479,1
"md$F1_SDC_AGE_CALC",1,90.0324331289769,90.0324331289769,0,0.0199387853431126,1
"md$PM_BIOIMPED_WEIGHT",1,190.66652347986,190.66652347986,0,0.0422254375635539,1
"md$PM_WAIST_AVG",1,135.300800518699,135.300800518699,0,0.0299640199041268,1
"md$PM_WAIST_HIP_RATIO",1,83.4853319395557,83.4853319395557,0,0.0184888495733162,1
"md$PM_STANDING_HEIGHT_AVG",1,68.0582098661506,68.0582098661506,0,0.0150723243857433,1
"md$A_SLE_LIGHT_EXP",1,97.4616377069046,97.4616377069046,0,0.021584073715328,1
"md$NUT_VEG_DAY_QTY",1,114.436502837523,114.436502837523,0,0.0253433655649976,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,62.8277384483904,62.8277384483904,0,0.0139139724094882,1
"md$PM_BIOIMPED_FFM",1,114.648938432046,114.648938432046,0,0.0253904120300462,1
"md$Both_case_control:md$A_SMK_CIG_CUR_FREQ",1,108.592515510104,108.592515510104,0,0.0240491429740969,1
"md$Both_case_control:md$F1_SDC_AGE_CALC",1,108.043620108393,108.043620108393,0,0.0239275833626305,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,121.994255215943,121.994255215943,0,0.0270171224225274,1
"md$Both_case_control:md$PM_BIOIMPED_WEIGHT",1,102.746879422582,102.746879422582,0,0.0227545552450717,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,101.409315207328,101.409315207328,0,0.0224583352625198,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,96.0100700204762,96.0100700204762,0,0.0212626062673781,1
"md$Both_case_control:md$PM_WAIST_AVG",1,89.3895909313508,89.3895909313508,0,0.0197964200627075,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,132.531625172062,132.531625172062,0,0.0293507520972362,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,116.060043842213,116.060043842213,0,0.025702918611197,1
"md$Both_case_control:md$PM_WAIST_HIP_RATIO",1,190.096088989013,190.096088989013,0,0.0420991078569137,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,82.849795340494,82.849795340494,0,0.0183481022072172,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,54.6346570989299,54.6346570989299,0,0.0120995141676285,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,137.187916193539,137.187916193539,0,0.0303819447901995,1
"md$Both_case_control:md$PM_STANDING_HEIGHT_AVG",1,154.132841439593,154.132841439593,0,0.0341346060856256,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,127.176017040527,127.176017040527,0,0.0281646870626111,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,119.16731379469,119.16731379469,0,0.0263910616106956,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,83.0603164629238,83.0603164629238,0,0.0183947246889656,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,91.3606342981925,91.3606342981925,0,0.0202329317644086,1
"md$Both_case_control:md$A_SLE_LIGHT_EXP",1,80.4480688086742,80.4480688086742,0,0.017816210442144,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,119.371241767837,119.371241767837,0,0.0264362239587597,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,81.5589958944838,81.5589958944838,0,0.0180622388557499,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,131.600980573336,131.600980573336,0,0.0291446494491144,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,115.52435277727,115.52435277727,0,0.0255842832618797,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,110.285058969434,110.285058969434,0,0.0244239774592555,1
"md$Both_case_control:md$NUT_VEG_DAY_QTY",1,94.3218390758034,94.3218390758034,0,0.0208887268414249,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,180.572595449637,180.572595449637,0,0.0399900135361358,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,170.066119081157,170.066119081157,0,0.0376632256249004,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,162.034454196516,162.034454196516,0,0.0358845150367587,1
"Residuals",0,3.6863698518508e-14,Inf,NA,8.16391767021104e-18,NA
"Total",39,4515.44221875465,NA,NA,1,NA
