"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,226.473672955456,226.473672955456,0,0.0254181312768502,1
"md$A_SMK_CIG_CUR_FREQ",1,209.456525933001,209.456525933001,0,0.0235082224060769,1
"md$F1_SDC_AGE_CALC",1,100.154420074341,100.154420074341,0,0.0112407688018867,1
"md$A_HS_DENTAL_VISIT_LAST",1,125.823617836267,125.823617836267,0,0.0141217351851732,1
"md$PM_BIOIMPED_BMI",1,127.026786882325,127.026786882325,0,0.0142567721118139,1
"md$PM_BIOIMPED_WEIGHT",1,93.5046765224306,93.5046765224306,0,0.0104944389863541,1
"md$PM_WAIST_AVG",1,170.336437439163,170.336437439163,0,0.0191176037000609,1
"md$PM_WAIST_HIP_RATIO",1,117.353245045076,117.353245045076,0,0.0131710681837477,1
"md$PM_STANDING_HEIGHT_AVG",1,144.712989668202,144.712989668202,0,0.0162417720384447,1
"md$A_SLE_LIGHT_EXP",1,43.65609039431,43.65609039431,0,0.00489971404709306,1
"md$NUT_VEG_DAY_QTY",1,170.99603039538,170.99603039538,0,0.0191916327036604,1
"md$NUT_JUICE_DAY_QTY",1,79.7235578767779,79.7235578767779,0,0.00894772373991598,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,148.154198881085,148.154198881085,0,0.0166279940058051,1
"md$PM_BIOIMPED_FFM",1,171.617744079316,171.617744079316,0,0.0192614103507868,1
"md$SALT_SEASONING",1,197.973203178577,197.973203178577,0,0.0222193988467761,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,96.7717137424825,96.7717137424825,0,0.0108611128688498,1
"md$Crohn_case_control:md$A_SMK_CIG_CUR_FREQ",1,195.107175434917,195.107175434917,0,0.021897732012478,1
"md$Crohn_case_control:md$F1_SDC_AGE_CALC",1,57.104597901794,57.104597901794,0,0.00640909889011704,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,70.6719562180024,70.6719562180024,0,0.00793182287944924,1
"md$Crohn_case_control:md$A_HS_DENTAL_VISIT_LAST",1,72.6923464868942,72.6923464868942,0,0.0081585801197721,1
"md$A_SMK_CIG_CUR_FREQ:md$A_HS_DENTAL_VISIT_LAST",1,42.6550160564457,42.6550160564457,0,0.00478735909384105,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,87.3220057024741,87.3220057024741,0,0.00980053078725799,1
"md$Crohn_case_control:md$PM_BIOIMPED_BMI",1,91.1078466783765,91.1078466783765,0,0.010225432285357,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,103.652696198342,103.652696198342,0,0.0116333956383845,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,92.1106380132564,92.1106380132564,0,0.010337979944697,1
"md$Crohn_case_control:md$PM_BIOIMPED_WEIGHT",1,162.29743195092,162.29743195092,0,0.0182153509385417,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,64.6493533351504,64.6493533351504,0,0.00725587980532964,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,99.9036739303542,99.9036739303542,0,0.0112126264649791,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,111.676425752766,111.676425752766,0,0.0125339339150097,1
"md$Crohn_case_control:md$PM_WAIST_AVG",1,98.9320650726186,98.9320650726186,0,0.0111035785514915,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,61.8500331761561,61.8500331761561,0,0.00694169985514512,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,85.901947792649,85.901947792649,0,0.00964115147441502,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,96.2035280050841,96.2035280050841,0,0.0107973428973809,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,81.8805388398841,81.8805388398841,0,0.00918981115151849,1
"md$Crohn_case_control:md$PM_WAIST_HIP_RATIO",1,78.8394286603593,78.8394286603593,0,0.00884849404935037,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,85.2047172499947,85.2047172499947,0,0.00956289823980217,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,190.971046209645,190.971046209645,0,0.0214335161314265,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_HIP_RATIO",1,64.3637048841483,64.3637048841483,0,0.00722382022978671,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,107.785223679666,107.785223679666,0,0.0120972072799529,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,96.7160197456351,96.7160197456351,0,0.0108548620878883,1
"md$Crohn_case_control:md$PM_STANDING_HEIGHT_AVG",1,136.837589855565,136.837589855565,0,0.0153578814577738,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,137.871484975522,137.871484975522,0,0.0154739200310112,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_STANDING_HEIGHT_AVG",1,204.708759487338,204.708759487338,0,0.0229753598034935,1
"md$PM_BIOIMPED_BMI:md$PM_STANDING_HEIGHT_AVG",1,109.766111378412,109.766111378412,0,0.0123195309739804,1
