"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,95.7555670818824,95.7555670818824,0,0.0182798445377712,1
"md$A_SMK_CIG_CUR_FREQ",1,172.173417529638,172.173417529638,0,0.0328680974056289,1
"md$F1_SDC_AGE_CALC",1,149.833872704811,149.833872704811,0,0.0286034533866216,1
"md$A_HS_DENTAL_VISIT_LAST",1,196.11310873912,196.11310873912,0,0.0374382111538704,1
"md$PM_BIOIMPED_BMI",1,72.1636353811452,72.1636353811452,0,0.0137761184675531,1
"md$PM_BIOIMPED_WEIGHT",1,87.8492386997315,87.8492386997315,0,0.0167705176328749,1
"md$PM_WAIST_AVG",1,62.1416962401105,62.1416962401105,0,0.0118629191095621,1
"md$PM_WAIST_HIP_RATIO",1,161.61391171754,161.61391171754,0,0.0308522759706644,1
"md$PM_STANDING_HEIGHT_AVG",1,127.161904791043,127.161904791043,0,0.0242753494292337,1
"md$A_SLE_LIGHT_EXP",1,56.7889424291416,56.7889424291416,0,0.0108410724379236,1
"md$NUT_VEG_DAY_QTY",1,161.241307059634,161.241307059634,0,0.03078114532596,1
"md$NUT_JUICE_DAY_QTY",1,83.8059295021637,83.8059295021637,0,0.0159986453981621,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,62.428848771802,62.428848771802,0,0.0119177368480802,1
"md$PM_BIOIMPED_FFM",1,94.0192097006068,94.0192097006068,0,0.0179483719773863,1
"md$SALT_SEASONING",1,69.3008455699151,69.3008455699151,0,0.0132296087001486,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,168.496663223295,168.496663223295,0,0.0321662009084147,1
"md$UC_case_control:md$A_SMK_CIG_CUR_FREQ",1,117.363001500994,117.363001500994,0,0.0224047278639144,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,93.3770218257955,93.3770218257955,0,0.0178257775959489,1
"md$UC_case_control:md$A_HS_DENTAL_VISIT_LAST",1,111.501554138312,111.501554138312,0,0.0212857710259843,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,62.6259724645465,62.6259724645465,0,0.0119553679808477,1
"md$UC_case_control:md$PM_BIOIMPED_BMI",1,144.93108790386,144.93108790386,0,0.0276675063007786,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,97.7432410685287,97.7432410685287,0,0.018659293718377,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,71.0747981219665,71.0747981219665,0,0.0135682582205588,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,79.7430380214132,79.7430380214132,0,0.0152230348837526,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,82.5468686992926,82.5468686992926,0,0.0157582892868521,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,86.1050267816463,86.1050267816463,0,0.0164375456326541,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,140.480145926402,140.480145926402,0,0.026817816513813,1
"md$UC_case_control:md$PM_WAIST_AVG",1,119.994395753197,119.994395753197,0,0.0229070639610598,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,91.6843802324724,91.6843802324724,0,0.017502650428234,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,89.9274228443069,89.9274228443069,0,0.0171672453035618,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,78.5435327719929,78.5435327719929,0,0.0149940479940097,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,97.2836017679369,97.2836017679369,0,0.0185715480633271,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,129.287594058632,129.287594058632,0,0.0246811458808792,1
