"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,568.915378155706,568.915378155706,0,0.0103235023260483,1
"md$A_SMK_CIG_CUR_FREQ",1,777.420257677143,777.420257677143,0,0.0141070186298436,1
"md$F1_SDC_AGE_CALC",1,353.198898503172,353.198898503172,0,0.00640912478420869,1
"md$A_HS_DENTAL_VISIT_LAST",1,413.32281398311,413.32281398311,0,0.00750012953665607,1
"md$PM_BIOIMPED_BMI",1,368.739557098574,368.739557098574,0,0.00669112458825343,1
"md$PM_BIOIMPED_WEIGHT",1,288.05930095436,288.05930095436,0,0.0052271057834339,1
"md$PM_WAIST_AVG",1,349.551977566713,349.551977566713,0,0.00634294798847414,1
"md$PM_WAIST_HIP_RATIO",1,427.466085156896,427.466085156896,0,0.00775677243728187,1
"md$PM_STANDING_HEIGHT_AVG",1,317.578420512121,317.578420512121,0,0.00576275785247333,1
"md$A_SLE_LIGHT_EXP",1,271.836934462354,271.836934462354,0,0.00493273575118564,1
"md$NUT_VEG_DAY_QTY",1,359.07918856812,359.07918856812,0,0.00651582815433048,1
"md$NUT_JUICE_DAY_QTY",1,260.743809316336,260.743809316336,0,0.00473144060669631,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,335.033782696678,335.033782696678,0,0.00607950174626375,1
"md$PM_BIOIMPED_FFM",1,496.550600163054,496.550600163054,0,0.00901037565973651,1
"md$SALT_SEASONING",1,234.029864962737,234.029864962737,0,0.00424669106878378,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,405.452225681603,405.452225681603,0,0.00735731034111703,1
"md$CASE_CONTROL:md$A_SMK_CIG_CUR_FREQ",1,280.950538411123,280.950538411123,0,0.00509811062972873,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,376.526183987801,376.526183987801,0,0.00683242022533676,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,261.134478650426,261.134478650426,0,0.0047385296676253,1
"md$CASE_CONTROL:md$A_HS_DENTAL_VISIT_LAST",1,503.315947256709,503.315947256709,0,0.00913313921850035,1
"md$A_SMK_CIG_CUR_FREQ:md$A_HS_DENTAL_VISIT_LAST",1,431.950644008951,431.950644008951,0,0.00783814895744305,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,315.473911755223,315.473911755223,0,0.00572456957020636,1
"md$CASE_CONTROL:md$PM_BIOIMPED_BMI",1,337.701066344538,337.701066344538,0,0.00612790210596606,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_BMI",1,214.091714041713,214.091714041713,0,0.00388489464823781,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,303.746866831973,303.746866831973,0,0.00551177135769309,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,375.769119580686,375.769119580686,0,0.00681868258267861,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,288.19465106031,288.19465106031,0,0.00522956183786179,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,293.573083818575,293.573083818575,0,0.00532715853716432,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,234.483931274513,234.483931274513,0,0.0042549305272442,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,370.654389002848,370.654389002848,0,0.00672587100639711,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,186.10296953539,186.10296953539,0,0.00337701266770341,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,275.631151929156,275.631151929156,0,0.00500158538040649,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_AVG",1,296.050157433507,296.050157433507,0,0.00537210735768739,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,264.489642185392,264.489642185392,0,0.00479941225207886,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,336.771607195633,336.771607195633,0,0.00611103619927042,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,247.614537138115,247.614537138115,0,0.00449319766745537,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,305.885889012068,305.885889012068,0,0.0055505859183458,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO",1,237.178715931033,237.178715931033,0,0.00430382991850334,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_HIP_RATIO",1,217.553672488128,217.553672488128,0,0.00394771512637307,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,397.578231265068,397.578231265068,0,0.00721442933843101,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,282.022725310831,282.022725310831,0,0.00511756646512728,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_HIP_RATIO",1,180.580688089372,180.580688089372,0,0.00327680569924728,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,253.707932280027,253.707932280027,0,0.00460376802877164,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,260.472425038952,260.472425038952,0,0.00472651608483171,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG",1,323.369874255206,323.369874255206,0,0.00586784920433968,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_STANDING_HEIGHT_AVG",1,338.662573706004,338.662573706004,0,0.00614534955749178,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,432.153369731759,432.153369731759,0,0.0078418276055361,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_STANDING_HEIGHT_AVG",1,278.778133522907,278.778133522907,0,0.00505869030857426,1
"md$PM_BIOIMPED_BMI:md$PM_STANDING_HEIGHT_AVG",1,436.789629964929,436.789629964929,0,0.007925956889326,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,374.664384708611,374.664384708611,0,0.00679863613384029,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,320.478199890335,320.478199890335,0,0.00581537706493522,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,327.679561586578,327.679561586578,0,0.00594605251699082,1
"md$CASE_CONTROL:md$A_SLE_LIGHT_EXP",1,331.310566002092,331.310566002092,0,0.00601194049254699,1
"md$A_SMK_CIG_CUR_FREQ:md$A_SLE_LIGHT_EXP",1,318.52507233034,318.52507233034,0,0.0057799357362546,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,333.507180460379,333.507180460379,0,0.00605180011902268,1
"md$A_HS_DENTAL_VISIT_LAST:md$A_SLE_LIGHT_EXP",1,380.399186138024,380.399186138024,0,0.00690269947642016,1
"md$PM_BIOIMPED_BMI:md$A_SLE_LIGHT_EXP",1,341.543722836956,341.543722836956,0,0.00619763070666987,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,313.007598008513,313.007598008513,0,0.00567981599756879,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,232.514510993835,232.514510993835,0,0.00421919355188863,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,452.565505076,452.565505076,0,0.00821222491732789,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,274.166776258509,274.166776258509,0,0.00497501291247438,1
"md$CASE_CONTROL:md$NUT_VEG_DAY_QTY",1,305.977733443306,305.977733443306,0,0.00555225252156294,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,382.100904500847,382.100904500847,0,0.00693357874977331,1
"md$A_HS_DENTAL_VISIT_LAST:md$NUT_VEG_DAY_QTY",1,283.820624811091,283.820624811091,0,0.00515019103529289,1
"md$PM_BIOIMPED_BMI:md$NUT_VEG_DAY_QTY",1,405.308144091272,405.308144091272,0,0.00735469584572803,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,221.003077428795,221.003077428795,0,0.00401030780939019,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,350.994544103902,350.994544103902,0,0.00636912470925541,1
"md$PM_WAIST_HIP_RATIO:md$NUT_VEG_DAY_QTY",1,249.087725056819,249.087725056819,0,0.00451993004188115,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_VEG_DAY_QTY",1,274.282351222028,274.282351222028,0,0.00497711012842341,1
"md$A_SLE_LIGHT_EXP:md$NUT_VEG_DAY_QTY",1,362.292054544945,362.292054544945,0,0.00657412861632987,1
"md$CASE_CONTROL:md$NUT_JUICE_DAY_QTY",1,338.316595418502,338.316595418502,0,0.0061390714574563,1
"md$F1_SDC_AGE_CALC:md$NUT_JUICE_DAY_QTY",1,302.790888324773,302.790888324773,0,0.0054944242324058,1
"md$A_HS_DENTAL_VISIT_LAST:md$NUT_JUICE_DAY_QTY",1,369.379925957219,369.379925957219,0,0.00670274468089917,1
"md$PM_BIOIMPED_BMI:md$NUT_JUICE_DAY_QTY",1,385.033657946649,385.033657946649,0,0.00698679630757183,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_JUICE_DAY_QTY",1,223.118133223761,223.118133223761,0,0.0040486874775402,1
"md$PM_WAIST_AVG:md$NUT_JUICE_DAY_QTY",1,448.940471110764,448.940471110764,0,0.00814644528118334,1
"md$PM_WAIST_HIP_RATIO:md$NUT_JUICE_DAY_QTY",1,296.434355725072,296.434355725072,0,0.00537907899548965,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_JUICE_DAY_QTY",1,343.657548486066,343.657548486066,0,0.0062359880526713,1
"md$A_SLE_LIGHT_EXP:md$NUT_JUICE_DAY_QTY",1,225.190716454035,225.190716454035,0,0.0040862964412283,1
"md$NUT_VEG_DAY_QTY:md$NUT_JUICE_DAY_QTY",1,279.737097486461,279.737097486461,0,0.00507609160776297,1
"md$CASE_CONTROL:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,253.632163171005,253.632163171005,0,0.00460239312733064,1
"md$F1_SDC_AGE_CALC:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,275.732535465038,275.732535465038,0,0.00500342507961079,1
"md$A_HS_DENTAL_VISIT_LAST:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,261.338162615837,261.338162615837,0,0.00474222570392778,1
"md$PM_BIOIMPED_BMI:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,379.964482407901,379.964482407901,0,0.0068948113701369,1
"md$PM_BIOIMPED_WEIGHT:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,358.003400427013,358.003400427013,0,0.00649630697103419,1
"md$PM_WAIST_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,327.088234487714,327.088234487714,0,0.00593532233300394,1
"md$PM_WAIST_HIP_RATIO:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,281.006392504867,281.006392504867,0,0.0050991241545671,1
"md$PM_STANDING_HEIGHT_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,280.935662082404,280.935662082404,0,0.00509784068481244,1
"md$A_SLE_LIGHT_EXP:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,447.830984884597,447.830984884597,0,0.00812631261457537,1
"md$NUT_VEG_DAY_QTY:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,270.991384269062,270.991384269062,0,0.00491739245107037,1
"md$NUT_JUICE_DAY_QTY:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,239.469062651657,239.469062651657,0,0.00434539040465941,1
"md$CASE_CONTROL:md$PM_BIOIMPED_FFM",1,635.542285243278,635.542285243278,0,0.0115325099512697,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_FFM",1,303.300025298024,303.300025298024,0,0.00550366299959236,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_FFM",1,284.710744843174,284.710744843174,0,0.0051663430968727,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_FFM",1,409.430654767813,409.430654767813,0,0.0074295026626863,1
"md$PM_BIOIMPED_WEIGHT:md$PM_BIOIMPED_FFM",1,284.726508632502,284.726508632502,0,0.00516662914559285,1
"md$PM_WAIST_AVG:md$PM_BIOIMPED_FFM",1,272.494766773558,272.494766773558,0,0.00494467273453258,1
"md$PM_WAIST_HIP_RATIO:md$PM_BIOIMPED_FFM",1,214.148740862147,214.148740862147,0,0.00388592945330022,1
"md$PM_STANDING_HEIGHT_AVG:md$PM_BIOIMPED_FFM",1,347.367684164903,347.367684164903,0,0.00630331193910692,1
"md$A_SLE_LIGHT_EXP:md$PM_BIOIMPED_FFM",1,304.615025534029,304.615025534029,0,0.00552752491037277,1
"md$NUT_VEG_DAY_QTY:md$PM_BIOIMPED_FFM",1,299.385578099609,299.385578099609,0,0.00543263168929622,1
"md$NUT_JUICE_DAY_QTY:md$PM_BIOIMPED_FFM",1,248.198608297884,248.198608297884,0,0.00450379618563217,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY:md$PM_BIOIMPED_FFM",1,404.261792805657,404.261792805657,0,0.00733570882174228,1
"md$CASE_CONTROL:md$SALT_SEASONING",1,419.700468112285,419.700468112285,0,0.00761585804350485,1
"md$F1_SDC_AGE_CALC:md$SALT_SEASONING",1,255.823219638391,255.823219638391,0,0.00464215189885635,1
"md$A_HS_DENTAL_VISIT_LAST:md$SALT_SEASONING",1,288.094800743136,288.094800743136,0,0.00522774996034682,1
"md$PM_BIOIMPED_BMI:md$SALT_SEASONING",1,488.673718515005,488.673718515005,0,0.00886744226553077,1
"md$PM_BIOIMPED_WEIGHT:md$SALT_SEASONING",1,303.693392207548,303.693392207548,0,0.0055108010105539,1
"md$PM_WAIST_AVG:md$SALT_SEASONING",1,226.877501058654,226.877501058654,0,0.00411690472755337,1
"md$PM_WAIST_HIP_RATIO:md$SALT_SEASONING",1,273.432173770081,273.432173770081,0,0.00496168286236642,1
"md$PM_STANDING_HEIGHT_AVG:md$SALT_SEASONING",1,199.944413569705,199.944413569705,0,0.00362817863222232,1
"md$A_SLE_LIGHT_EXP:md$SALT_SEASONING",1,284.813888813194,284.813888813194,0,0.00516821474080307,1
"md$NUT_VEG_DAY_QTY:md$SALT_SEASONING",1,279.201782942502,279.201782942502,0,0.00506637782404062,1
"md$NUT_JUICE_DAY_QTY:md$SALT_SEASONING",1,270.095601518726,270.095601518726,0,0.00490113763416471,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY:md$SALT_SEASONING",1,266.293263657935,266.293263657935,0,0.00483214065279018,1
"md$PM_BIOIMPED_FFM:md$SALT_SEASONING",1,410.913396517019,410.913396517019,0,0.00745640840031369,1
"md$CASE_CONTROL:md$NUTS_SEEDS_SERVINGS_PER_DAY",1,430.818695011876,430.818695011876,0,0.00781760868282057,1
"md$F1_SDC_AGE_CALC:md$NUTS_SEEDS_SERVINGS_PER_DAY",1,329.36878640746,329.36878640746,0,0.00597670508332526,1
"md$A_HS_DENTAL_VISIT_LAST:md$NUTS_SEEDS_SERVINGS_PER_DAY",1,295.922707381513,295.922707381513,0,0.00536979465713695,1
"md$PM_BIOIMPED_BMI:md$NUTS_SEEDS_SERVINGS_PER_DAY",1,215.229566661867,215.229566661867,0,0.0039055420496298,1
"md$PM_BIOIMPED_WEIGHT:md$NUTS_SEEDS_SERVINGS_PER_DAY",1,225.43581370329,225.43581370329,0,0.00409074396034968,1
