"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,343.657075976528,343.657075976528,0,0.0203621250614764,1
"md$A_SMK_CIG_CUR_FREQ",1,394.611977500987,394.611977500987,0,0.0233812687074728,1
"md$F1_SDC_AGE_CALC",1,393.795594595735,393.795594595735,0,0.0233328969672211,1
"md$PM_BIOIMPED_WEIGHT",1,334.428002404199,334.428002404199,0,0.0198152905470194,1
"md$PM_WAIST_AVG",1,298.005430820512,298.005430820512,0,0.0176572061963912,1
"md$PM_WAIST_HIP_RATIO",1,509.272566937447,509.272566937447,0,0.0301750565411541,1
"md$PM_STANDING_HEIGHT_AVG",1,416.067929529719,416.067929529719,0,0.0246525615428688,1
"md$A_SLE_LIGHT_EXP",1,274.598589188835,274.598589188835,0,0.0162703206354172,1
"md$NUT_VEG_DAY_QTY",1,430.998132380354,430.998132380354,0,0.0255371953213934,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,312.394262453033,312.394262453033,0,0.0185097630318859,1
"md$PM_BIOIMPED_FFM",1,384.709307699479,384.709307699479,0,0.0227945227475131,1
"md$UC_case_control:md$A_SMK_CIG_CUR_FREQ",1,397.650864476192,397.650864476192,0,0.0235613266808493,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,307.306788018156,307.306788018156,0,0.0182083236088923,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,372.56870432727,372.56870432727,0,0.0220751763366055,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,277.999119592198,277.999119592198,0,0.0164718064484238,1
"md$UC_case_control:md$PM_WAIST_AVG",1,354.616508663235,354.616508663235,0,0.0210114855855845,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,323.371582738929,323.371582738929,0,0.0191601834193205,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,302.142205129943,302.142205129943,0,0.0179023154105704,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,395.145868113026,395.145868113026,0,0.023412902414943,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,342.799393354192,342.799393354192,0,0.0203113062597118,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,251.230465541521,251.230465541521,0,0.0148857291649621,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,220.188779740673,220.188779740673,0,0.0130464692381881,1
"md$UC_case_control:md$PM_STANDING_HEIGHT_AVG",1,274.737595372018,274.737595372018,0,0.0162785569310856,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,342.331552689859,342.331552689859,0,0.0202835860968461,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,300.043312149635,300.043312149635,0,0.0177779532939626,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,308.992456071721,308.992456071721,0,0.0183082016155397,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,222.226710211873,222.226710211873,0,0.013167219247491,1
"md$UC_case_control:md$A_SLE_LIGHT_EXP",1,284.534875014382,284.534875014382,0,0.0168590583881652,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,432.902451746962,432.902451746962,0,0.0256500287003939,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,435.966902881537,435.966902881537,0,0.0258316013831902,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,295.194906764189,295.194906764189,0,0.0174906790205415,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,350.134266129675,350.134266129675,0,0.0207459069334794,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,270.685722793569,270.685722793569,0,0.0160384782539884,1
"md$UC_case_control:md$NUT_VEG_DAY_QTY",1,234.322284086202,234.322284086202,0,0.0138838976025622,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,315.876516167089,315.876516167089,0,0.0187160910564724,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,274.073856215173,274.073856215173,0,0.016239229529834,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,433.666877192338,433.666877192338,0,0.025695321894124,1
"md$PM_WAIST_HIP_RATIO:md$NUT_VEG_DAY_QTY",1,374.831142378691,374.831142378691,0,0.0222092287096462,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_VEG_DAY_QTY",1,344.202478370165,344.202478370165,0,0.0203944408568562,1
