"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,644.445847692941,644.445847692941,0,0.0143884291871317,1
"md$F1_SDC_AGE_CALC",1,512.350526685615,512.350526685615,0,0.0114391601693089,1
"md$PM_BIOIMPED_WEIGHT",1,668.994983460704,668.994983460704,0,0.0149365334271765,1
"md$PM_WAIST_AVG",1,603.017599335606,603.017599335606,0,0.013463467966619,1
"md$PM_WAIST_HIP_RATIO",1,997.0449794895,997.0449794895,0,0.0222608480373129,1
"md$PM_STANDING_HEIGHT_AVG",1,753.20078304968,753.20078304968,0,0.0168165815163514,1
"md$A_SLE_LIGHT_EXP",1,697.572542733561,697.572542733561,0,0.0155745795708681,1
"md$NUT_VEG_DAY_QTY",1,559.819809978741,559.819809978741,0,0.0124989985151872,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,761.654279883023,761.654279883023,0,0.0170053212545398,1
"md$PM_BIOIMPED_FFM",1,777.551625668248,777.551625668248,0,0.0173602585001019,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,584.043892676756,584.043892676756,0,0.0130398453524682,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,849.575776917342,849.575776917342,0,0.0189683290675836,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,873.894252233767,873.894252233767,0,0.0195112833922674,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,572.300968617226,572.300968617226,0,0.0127776631506816,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,517.85677971424,517.85677971424,0,0.0115620973130153,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,700.766126485174,700.766126485174,0,0.015645882154053,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO",1,960.505642333381,960.505642333381,0,0.0214450406780171,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,613.841853694288,613.841853694288,0,0.013705139191441,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,576.24641959801,576.24641959801,0,0.0128657525413597,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,689.115199788304,689.115199788304,0,0.0153857539612149,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG",1,665.599937969511,665.599937969511,0,0.0148607328431367,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,615.019238057457,615.019238057457,0,0.013731426445205,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,776.427131683246,776.427131683246,0,0.0173351521205162,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,891.013345281182,891.013345281182,0,0.0198934983742437,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,478.756433700662,478.756433700662,0,0.0106891107590283,1
"md$CASE_CONTROL:md$A_SLE_LIGHT_EXP",1,723.23531696431,723.23531696431,0,0.0161475478211662,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,600.988789828712,600.988789828712,0,0.0134181710932997,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,750.796032945054,750.796032945054,0,0.0167628910833739,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,582.477870159961,582.477870159961,0,0.0130048810429471,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,692.373229419409,692.373229419409,0,0.0154584954162255,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,586.703631927139,586.703631927139,0,0.0130992288832915,1
"md$CASE_CONTROL:md$NUT_VEG_DAY_QTY",1,582.169089612216,582.169089612216,0,0.0129979869539224,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,635.361224246702,635.361224246702,0,0.0141855983959708,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,571.714452206958,571.714452206958,0,0.0127645681018634,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,532.621778683646,532.621778683646,0,0.0118917528502182,1
"md$PM_WAIST_HIP_RATIO:md$NUT_VEG_DAY_QTY",1,617.500115527106,617.500115527106,0,0.0137868165604828,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_VEG_DAY_QTY",1,667.130850210946,667.130850210946,0,0.0148949132517102,1
"md$A_SLE_LIGHT_EXP:md$NUT_VEG_DAY_QTY",1,660.598097198301,660.598097198301,0,0.0147490576232567,1
"md$CASE_CONTROL:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,670.899608079562,670.899608079562,0,0.0149790576463248,1
"md$F1_SDC_AGE_CALC:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,590.337314543478,590.337314543478,0,0.0131803574764865,1
"md$PM_BIOIMPED_WEIGHT:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,574.153356518491,574.153356518491,0,0.0128190210898162,1
"md$PM_WAIST_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,660.368777760861,660.368777760861,0,0.0147439376484774,1
"md$PM_WAIST_HIP_RATIO:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,571.222342919344,571.222342919344,0,0.0127535808642816,1
"md$PM_STANDING_HEIGHT_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,518.688093605728,518.688093605728,0,0.0115806579121762,1
