"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,512.969352842823,512.969352842823,0,0.0243263497708151,1
"md$F1_SDC_AGE_CALC",1,515.687808938121,515.687808938121,0,0.0244552660763299,1
"md$PM_BIOIMPED_WEIGHT",1,530.587727054059,530.587727054059,0,0.0251618592044302,1
"md$PM_WAIST_AVG",1,533.983189032743,533.983189032743,0,0.0253228809014756,1
"md$PM_WAIST_HIP_RATIO",1,757.794328929561,757.794328929561,0,0.0359365911388648,1
"md$PM_STANDING_HEIGHT_AVG",1,615.932133856943,615.932133856943,0,0.0292091144241896,1
"md$A_SLE_LIGHT_EXP",1,731.826112530836,731.826112530836,0,0.034705110327119,1
"md$NUT_VEG_DAY_QTY",1,529.477757174561,529.477757174561,0,0.0251092215266156,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,680.17461018942,680.17461018942,0,0.0322556608518589,1
"md$PM_BIOIMPED_FFM",1,583.2126196421,583.2126196421,0,0.0276574693937207,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,660.597260736524,660.597260736524,0,0.0313272516832852,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,873.315248198951,873.315248198951,0,0.0414148955880867,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,789.929283573409,789.929283573409,0,0.0374605148239803,1
"md$UC_case_control:md$PM_WAIST_AVG",1,506.806336733687,506.806336733687,0,0.0240340834108793,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,551.79957762083,551.79957762083,0,0.0261677806952832,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,594.566905947097,594.566905947097,0,0.0281959193781547,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,742.253181939737,742.253181939737,0,0.0351995892586961,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,635.901288487519,635.901288487519,0,0.0301561040201153,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,675.678277347519,675.678277347519,0,0.0320424329761741,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,703.983205734956,703.983205734956,0,0.033384726788416,1
"md$UC_case_control:md$PM_STANDING_HEIGHT_AVG",1,1025.57786875587,1025.57786875587,0,0.0486355877096751,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,610.23811918659,610.23811918659,0,0.0289390893404228,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,654.242908499607,654.242908499607,0,0.0310259116632128,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,647.255839673435,647.255839673435,0,0.030694566565896,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,584.72979722454,584.72979722454,0,0.0277294179269622,1
"md$UC_case_control:md$A_SLE_LIGHT_EXP",1,767.661030825717,767.661030825717,0,0.0364044959758304,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,586.58408950788,586.58408950788,0,0.0278173533219558,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,861.689467307548,861.689467307548,0,0.0408635706195367,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,584.006549061265,584.006549061265,0,0.0276951196054476,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,422.06264895805,422.06264895805,0,0.0200153158601977,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,505.023123030587,505.023123030587,0,0.023949518748259,1
"md$UC_case_control:md$NUT_VEG_DAY_QTY",1,619.942956021205,619.942956021205,0,0.0293993181123742,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,491.493578252113,491.493578252113,0,0.0233079123117397,1
"Residuals",0,-2.00544404170022e-12,-Inf,NA,-9.51034071213702e-17,NA
"Total",33,21086.9841828158,NA,NA,1,NA
