"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,156.089147741538,156.089147741538,0,0.0475974775464223,1
"md$F1_SDC_AGE_CALC",1,97.9104190803033,97.9104190803033,0,0.0298565854267609,1
"md$PM_BIOIMPED_WEIGHT",1,110.242761008565,110.242761008565,0,0.0336171823453707,1
"md$PM_WAIST_AVG",1,109.36955748112,109.36955748112,0,0.0333509096038483,1
"md$PM_WAIST_HIP_RATIO",1,145.269783032909,145.269783032909,0,0.0442982445360772,1
"md$PM_STANDING_HEIGHT_AVG",1,219.014299358889,219.014299358889,0,0.0667857333255589,1
"md$A_SLE_LIGHT_EXP",1,113.605445956804,113.605445956804,0,0.0346425920143665,1
"md$NUT_VEG_DAY_QTY",1,100.499985824068,100.499985824068,0,0.0306462421500164,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,142.61598369162,142.61598369162,0,0.0434890008673957,1
"md$PM_BIOIMPED_FFM",1,283.267696537477,283.267696537477,0,0.0863790213519201,1
"md$Crohn_case_control:md$F1_SDC_AGE_CALC",1,120.339121876669,120.339121876669,0,0.0366959441726561,1
"md$Crohn_case_control:md$PM_BIOIMPED_WEIGHT",1,186.450202838589,186.450202838589,0,0.0568557101601367,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,95.9490360992745,95.9490360992745,0,0.0292584856629385,1
"md$Crohn_case_control:md$PM_WAIST_AVG",1,109.108232659958,109.108232659958,0,0.0332712217941089,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,85.703088862766,85.703088862766,0,0.0261341093011745,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,134.280011813632,134.280011813632,0,0.0409470481433848,1
"md$Crohn_case_control:md$PM_WAIST_HIP_RATIO",1,120.334354215205,120.334354215205,0,0.036694490332573,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,130.019166875827,130.019166875827,0,0.0396477555648145,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,108.290848625943,108.290848625943,0,0.0330219705247622,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,110.307769392663,110.307769392663,0,0.0336370058574288,1
"md$Crohn_case_control:md$PM_STANDING_HEIGHT_AVG",1,110.374400803734,110.374400803734,0,0.0336573242917227,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,101.786817628873,101.786817628873,0,0.0310386457784648,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,94.2340803853722,94.2340803853722,0,0.0287355308818621,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,134.650419408324,134.650419408324,0,0.0410599994114676,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,159.644926966752,159.644926966752,0,0.048681768954768,1
"Residuals",0,3.53076452302222e-14,Inf,NA,1.07666348069586e-17,NA
"Total",25,3279.35755816688,NA,NA,1,NA
