"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,433.778658876938,433.778658876938,0,0.0483257927962119,1
"md$F1_SDC_AGE_CALC",1,272.447963913838,272.447963913838,0,0.0303524933336686,1
"md$PM_BIOIMPED_WEIGHT",1,332.359873498241,332.359873498241,0,0.0370270737201201,1
"md$PM_WAIST_AVG",1,274.251173988685,274.251173988685,0,0.0305533827842255,1
"md$PM_WAIST_HIP_RATIO",1,449.549225845718,449.549225845718,0,0.0500827375790308,1
"md$PM_STANDING_HEIGHT_AVG",1,452.20135289581,452.20135289581,0,0.050378201958546,1
"md$A_SLE_LIGHT_EXP",1,294.15115911513,294.15115911513,0,0.0327703718826705,1
"md$NUT_VEG_DAY_QTY",1,279.463864611032,279.463864611032,0,0.0311341107701952,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,370.374929517989,370.374929517989,0,0.0412622007434342,1
"md$PM_BIOIMPED_FFM",1,651.541308714794,651.541308714794,0,0.0725859828250712,1
"md$Crohn_case_control:md$F1_SDC_AGE_CALC",1,291.666247048169,291.666247048169,0,0.0324935363509833,1
"md$Crohn_case_control:md$PM_BIOIMPED_WEIGHT",1,529.870177989453,529.870177989453,0,0.0590310194067769,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,280.297183788592,280.297183788592,0,0.031226948002004,1
"md$Crohn_case_control:md$PM_WAIST_AVG",1,287.654090857171,287.654090857171,0,0.0320465557889284,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,314.185329754104,314.185329754104,0,0.035002310128894,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,341.50977490783,341.50977490783,0,0.038046432857728,1
"md$Crohn_case_control:md$PM_WAIST_HIP_RATIO",1,472.546399060833,472.546399060833,0,0.0526447737810182,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,321.633578195925,321.633578195925,0,0.0358320939449676,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,308.80598871119,308.80598871119,0,0.0344030161910755,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,338.790711537353,338.790711537353,0,0.0377435113323085,1
"md$Crohn_case_control:md$PM_STANDING_HEIGHT_AVG",1,316.661243995785,316.661243995785,0,0.0352781432437238,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,311.015091110626,311.015091110626,0,0.0346491247135582,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,301.340416452985,301.340416452985,0,0.0335713023880285,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,329.86911803958,329.86911803958,0,0.0367495871962027,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,420.16638711359,420.16638711359,0,0.0468092962806285,1
"Residuals",0,2.95400061416015e-13,Inf,NA,3.2909507805059e-17,NA
"Total",25,8976.13124954136,NA,NA,1,NA
