"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,308.541265465127,308.541265465127,0,0.0111936594829951,1
"md$A_SMK_CIG_CUR_FREQ",1,383.909080255578,383.909080255578,0,0.0139279506432714,1
"md$F1_SDC_AGE_CALC",1,277.664593599185,277.664593599185,0,0.0100734756064089,1
"md$SDC_GENDER",1,750.557589349339,750.557589349339,0,0.0272296999394519,1
"md$PM_BIOIMPED_WEIGHT",1,337.079560367685,337.079560367685,0,0.0122290086927125,1
"md$PM_WAIST_AVG",1,264.71109879659,264.71109879659,0,0.00960353195165531,1
"md$PM_WAIST_HIP_RATIO",1,477.00628446961,477.00628446961,0,0.0173054515464967,1
"md$PM_STANDING_HEIGHT_AVG",1,341.490292215391,341.490292215391,0,0.0123890269330591,1
"md$A_SLE_LIGHT_EXP",1,336.370791371107,336.370791371107,0,0.0122032950534435,1
"md$NUT_VEG_DAY_QTY",1,268.822354478752,268.822354478752,0,0.00975268540794997,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,300.906865906387,300.906865906387,0,0.0109166888518906,1
"md$PM_BIOIMPED_FFM",1,365.864798589435,365.864798589435,0,0.01327331683187,1
"md$UC_case_control:md$A_SMK_CIG_CUR_FREQ",1,510.589729000133,510.589729000133,0,0.0185238352261449,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,337.225462852694,337.225462852694,0,0.0122343019319571,1
"md$UC_case_control:md$SDC_GENDER",1,297.66374366546,297.66374366546,0,0.0107990306645103,1
"md$F1_SDC_AGE_CALC:md$SDC_GENDER",1,273.633981868257,273.633981868257,0,0.00992724785578326,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,421.071247740665,421.071247740665,0,0.0152761678674764,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,301.071416297922,301.071416297922,0,0.0109226586240307,1
"md$SDC_GENDER:md$PM_BIOIMPED_WEIGHT",1,274.48490142904,274.48490142904,0,0.0099581186172565,1
"md$UC_case_control:md$PM_WAIST_AVG",1,323.041588258009,323.041588258009,0,0.0117197209661888,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,318.284569248441,318.284569248441,0,0.0115471396718619,1
"md$SDC_GENDER:md$PM_WAIST_AVG",1,270.71809301878,270.71809301878,0,0.00982146146503222,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,308.209215241799,308.209215241799,0,0.0111816129351028,1
