"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Both_case_control",1,1.28720184014222,1.28720184014222,0,0.0185042167486965,1
"md$A_SMK_CIG_CUR_FREQ",1,2.91140912055216,2.91140912055216,0,0.0418530674294844,1
"md$F1_SDC_AGE_CALC",1,0.806102579330732,0.806102579330732,0,0.0115881568720963,1
"md$A_HS_DENTAL_VISIT_LAST",1,5.56160333454894,5.56160333454894,0,0.079951030493707,1
"md$PM_BIOIMPED_BMI",1,0.361203778625937,0.361203778625937,0,0.0051924980230016,1
"md$PM_BIOIMPED_WEIGHT",1,0.204795336742036,0.204795336742036,0,0.00294404279268137,1
"md$PM_WAIST_AVG",1,4.31617100063552,4.31617100063552,0,0.0620472727970722,1
"md$PM_WAIST_HIP_RATIO",1,1.04059947750977,1.04059947750977,0,0.0149591755386969,1
"md$PM_STANDING_HEIGHT_AVG",1,0.280373893423569,0.280373893423569,0,0.00403052507601481,1
"md$A_SLE_LIGHT_EXP",1,0.511491275429492,0.511491275429492,0,0.00735296138527021,1
"md$NUT_VEG_DAY_QTY",1,3.19743481893552,3.19743481893552,0,0.0459648402327289,1
"md$NUT_JUICE_DAY_QTY",1,3.81392514895389,3.81392514895389,0,0.054827219336285,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.595025024737154,0.595025024737154,0,0.00855380382879054,1
"md$PM_BIOIMPED_FFM",1,1.39873056402845,1.39873056402845,0,0.0201075019648427,1
"md$SALT_SEASONING",1,0.642519086766594,0.642519086766594,0,0.00923655644043355,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,3.87598110884992,3.87598110884992,0,0.05571930703897,1
"md$Both_case_control:md$A_SMK_CIG_CUR_FREQ",1,0.092287257938537,0.092287257938537,0,0.0013266788243939,1
"md$Both_case_control:md$F1_SDC_AGE_CALC",1,0.9817863849965,0.9817863849965,0,0.0141137057937138,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,2.41202629650886,2.41202629650886,0,0.0346741715263739,1
"md$Both_case_control:md$A_HS_DENTAL_VISIT_LAST",1,0.765877952769117,0.765877952769117,0,0.0110099062937338,1
"md$A_SMK_CIG_CUR_FREQ:md$A_HS_DENTAL_VISIT_LAST",1,0.848306410380026,0.848306410380026,0,0.0121948595763709,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.304198902497994,0.304198902497994,0,0.00437302235826242,1
"md$Both_case_control:md$PM_BIOIMPED_BMI",1,1.26280020408692,1.26280020408692,0,0.018153430144367,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,2.80168683741414,2.80168683741414,0,0.0402757507678462,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,6.65793278387896,6.65793278387896,0,0.0957113542640181,1
"md$Both_case_control:md$PM_BIOIMPED_WEIGHT",1,2.89499881146707,2.89499881146707,0,0.0416171604359161,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0092758524269172,0.0092758524269172,0,0.000133345353062604,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,1.09305922149046,1.09305922149046,0,0.0157133124913697,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,0.607282093483988,0.607282093483988,0,0.00873000576520949,1
"md$Both_case_control:md$PM_WAIST_AVG",1,0.418986199651322,0.418986199651322,0,0.0060231513126209,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.0953793542999577,0.0953793542999577,0,0.00137112936780927,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,7.18654069744544,7.18654069744544,0,0.103310376501766,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,0.382940003272047,0.382940003272047,0,0.00550496790892527,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.591796215536739,0.591796215536739,0,0.00850738796499869,1
"md$Both_case_control:md$PM_WAIST_HIP_RATIO",1,3.94860621217818,3.94860621217818,0,0.0567633318464814,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,1.63730757861322,1.63730757861322,0,0.0235371744928479,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,2.39087125317427,2.39087125317427,0,0.0343700564334774,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_HIP_RATIO",1,0.560988837774218,0.560988837774218,0,0.00806451538837646,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.813119522229258,0.813119522229258,0,0.0116890291892872,1
"Residuals",0,2.63454052124191e-15,Inf,NA,3.7872932836157e-17,NA
"Total",39,69.562622272726,NA,NA,1,NA
