"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,6.42987491846301,6.42987491846301,0,0.0189261217875057,1
"md$A_SMK_CIG_CUR_FREQ",1,4.62201251278729,4.62201251278729,0,0.0136047392569338,1
"md$F1_SDC_AGE_CALC",1,1.83539965835293,1.83539965835293,0,0.00540243751289604,1
"md$A_HS_DENTAL_VISIT_LAST",1,1.55339338890518,1.55339338890518,0,0.00457236148994221,1
"md$PM_BIOIMPED_BMI",1,0.246952444087126,0.246952444087126,0,0.000726896260313626,1
"md$PM_BIOIMPED_WEIGHT",1,0.59283123616145,0.59283123616145,0,0.0017449789175232,1
"md$PM_WAIST_AVG",1,6.62707523239001,6.62707523239001,0,0.0195065743165588,1
"md$PM_WAIST_HIP_RATIO",1,1.0967292326493,1.0967292326493,0,0.00322818581827095,1
"md$PM_STANDING_HEIGHT_AVG",1,0.808086661611508,0.808086661611508,0,0.00237857606352538,1
"md$A_SLE_LIGHT_EXP",1,0.45498872788885,0.45498872788885,0,0.00133924410430445,1
"md$NUT_VEG_DAY_QTY",1,1.40063358010808,1.40063358010808,0,0.00412271810151048,1
"md$NUT_JUICE_DAY_QTY",1,2.80994673463149,2.80994673463149,0,0.00827098424004054,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,1.63378917554186,1.63378917554186,0,0.00480900379922244,1
"md$PM_BIOIMPED_FFM",1,4.70552986361314,4.70552986361314,0,0.01385056978601,1
"md$SALT_SEASONING",1,1.00378857220617,1.00378857220617,0,0.00295461809248097,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,2.4973973097298,2.4973973097298,0,0.00735100546046604,1
"md$CASE_CONTROL:md$A_SMK_CIG_CUR_FREQ",1,0.585474044135147,0.585474044135147,0,0.00172332326884113,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,2.66787806648099,2.66787806648099,0,0.0078528098665571,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,2.45813812721844,2.45813812721844,0,0.00723544736969287,1
"md$CASE_CONTROL:md$A_HS_DENTAL_VISIT_LAST",1,8.13296344264237,8.13296344264237,0,0.0239391059018571,1
"md$A_SMK_CIG_CUR_FREQ:md$A_HS_DENTAL_VISIT_LAST",1,4.07666276136261,4.07666276136261,0,0.0119995205018049,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.642883487915377,0.642883487915377,0,0.00189230604665811,1
"md$CASE_CONTROL:md$PM_BIOIMPED_BMI",1,1.87779671006884,1.87779671006884,0,0.00552723181673272,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_BMI",1,0.436196774830712,0.436196774830712,0,0.00128393061893911,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,0.164207600843184,0.164207600843184,0,0.000483339581469668,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,3.43551684761741,3.43551684761741,0,0.0101123289466068,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,0.489019670728013,0.489019670728013,0,0.00143941304645109,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,2.98204564369732,2.98204564369732,0,0.0087775516233537,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.60137260087923,0.60137260087923,0,0.00177012013892022,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,0.631591934581948,0.631591934581948,0,0.00185906973704578,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,1.59232880176742,1.59232880176742,0,0.00468696657558108,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,0.112277838874093,0.112277838874093,0,0.000330486063806195,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_AVG",1,3.17860133048394,3.17860133048394,0,0.00935610671397741,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.444420323939639,0.444420323939639,0,0.00130813636072021,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,2.03488291046502,2.03488291046502,0,0.00598960979414836,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,0.32279168774258,0.32279168774258,0,0.000950126537713569,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,3.31576039553079,3.31576039553079,0,0.00975982983491761,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO",1,1.42353622475589,1.42353622475589,0,0.00419013127009573,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_HIP_RATIO",1,0.063332369895889,0.063332369895889,0,0.000186416712757373,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,1.60871049379642,1.60871049379642,0,0.00473518553821377,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,1.22748114163849,1.22748114163849,0,0.00361304968963064,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_HIP_RATIO",1,1.20600038411294,1.20600038411294,0,0.00354982179823744,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.92302857515709,0.92302857515709,0,0.00271690374203217,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.307672422722106,0.307672422722106,0,0.000905623486760992,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG",1,3.15205819278268,3.15205819278268,0,0.00927797787583871,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_STANDING_HEIGHT_AVG",1,1.52972419356993,1.52972419356993,0,0.00450269200504433,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.540436496571061,0.540436496571061,0,0.00159075675378173,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_STANDING_HEIGHT_AVG",1,1.76922632539576,1.76922632539576,0,0.00520765852037842,1
"md$PM_BIOIMPED_BMI:md$PM_STANDING_HEIGHT_AVG",1,6.52585123894571,6.52585123894571,0,0.0192086248771002,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,1.12205763329686,1.12205763329686,0,0.00330273911851665,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,0.476490360888377,0.476490360888377,0,0.00140253344195716,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,0.272915417185246,0.272915417185246,0,0.000803317403345472,1
"md$CASE_CONTROL:md$A_SLE_LIGHT_EXP",1,2.12718721141007,2.12718721141007,0,0.00626130441703759,1
"md$A_SMK_CIG_CUR_FREQ:md$A_SLE_LIGHT_EXP",1,5.14205436902765,5.14205436902765,0,0.0151354650689622,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,2.58273455213867,2.58273455213867,0,0.0076021927795541,1
"md$A_HS_DENTAL_VISIT_LAST:md$A_SLE_LIGHT_EXP",1,0.879814477037755,0.879814477037755,0,0.00258970448943158,1
"md$PM_BIOIMPED_BMI:md$A_SLE_LIGHT_EXP",1,2.34880813142271,2.34880813142271,0,0.00691363818340282,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,2.19322276555616,2.19322276555616,0,0.00645567786223254,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,0.364023061270842,0.364023061270842,0,0.0010714897067888,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,7.55935911383405,7.55935911383405,0,0.0222507207431204,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,0.5124809945777,0.5124809945777,0,0.0015084706685831,1
"md$CASE_CONTROL:md$NUT_VEG_DAY_QTY",1,0.796388987039919,0.796388987039919,0,0.00234414434963048,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,5.26905821439676,5.26905821439676,0,0.0155092966404031,1
"md$A_HS_DENTAL_VISIT_LAST:md$NUT_VEG_DAY_QTY",1,2.24437144659842,2.24437144659842,0,0.00660623229430966,1
"md$PM_BIOIMPED_BMI:md$NUT_VEG_DAY_QTY",1,5.53863381697096,5.53863381697096,0,0.0163027834111347,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,2.73359902453149,2.73359902453149,0,0.00804625730866576,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,1.64298004247544,1.64298004247544,0,0.00483605680867031,1
"md$PM_WAIST_HIP_RATIO:md$NUT_VEG_DAY_QTY",1,1.69563044010181,1.69563044010181,0,0.00499103149329068,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_VEG_DAY_QTY",1,0.448493626066892,0.448493626066892,0,0.0013201259893079,1
"md$A_SLE_LIGHT_EXP:md$NUT_VEG_DAY_QTY",1,3.38304046777935,3.38304046777935,0,0.00995786647752666,1
"md$CASE_CONTROL:md$NUT_JUICE_DAY_QTY",1,2.81979556297125,2.81979556297125,0,0.00829997393688322,1
"md$F1_SDC_AGE_CALC:md$NUT_JUICE_DAY_QTY",1,0.87690916111751,0.87690916111751,0,0.00258115278918313,1
"md$A_HS_DENTAL_VISIT_LAST:md$NUT_JUICE_DAY_QTY",1,3.0912425906217,3.0912425906217,0,0.00909896918474053,1
"md$PM_BIOIMPED_BMI:md$NUT_JUICE_DAY_QTY",1,0.255718062634912,0.255718062634912,0,0.000752697565359521,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_JUICE_DAY_QTY",1,1.79851680785376,1.79851680785376,0,0.00529387407592881,1
"md$PM_WAIST_AVG:md$NUT_JUICE_DAY_QTY",1,3.8123728784409,3.8123728784409,0,0.0112215920700995,1
"md$PM_WAIST_HIP_RATIO:md$NUT_JUICE_DAY_QTY",1,3.4362109518691,3.4362109518691,0,0.0101143720192587,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_JUICE_DAY_QTY",1,8.82109620497548,8.82109620497548,0,0.0259646016744875,1
"md$A_SLE_LIGHT_EXP:md$NUT_JUICE_DAY_QTY",1,1.00948264063086,1.00948264063086,0,0.00297137839246172,1
"md$NUT_VEG_DAY_QTY:md$NUT_JUICE_DAY_QTY",1,1.14492556226111,1.14492556226111,0,0.00337005010264832,1
"md$CASE_CONTROL:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.613467469591683,0.613467469591683,0,0.00180572098048534,1
"md$F1_SDC_AGE_CALC:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.231260304047538,0.231260304047538,0,0.000680706970901005,1
"md$A_HS_DENTAL_VISIT_LAST:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.672069484986309,0.672069484986309,0,0.001978214052966,1
"md$PM_BIOIMPED_BMI:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0599756900470254,0.0599756900470254,0,0.000176536437880044,1
"md$PM_BIOIMPED_WEIGHT:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,4.76417231240566,4.76417231240566,0,0.0140231818728452,1
"md$PM_WAIST_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,3.89326873572415,3.89326873572415,0,0.011459706320604,1
"md$PM_WAIST_HIP_RATIO:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.540480986606099,0.540480986606099,0,0.00159088770871198,1
"md$PM_STANDING_HEIGHT_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.968172843369615,0.968172843369615,0,0.00284978438575118,1
