"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,1.21749459587352,1.21749459587352,0,0.0190532116523768,1
"md$F1_SDC_AGE_CALC",1,1.25717297173093,1.25717297173093,0,0.0196741593722239,1
"md$A_HS_DENTAL_VISIT_LAST",1,2.15224430966007,2.15224430966007,0,0.0336816003114621,1
"md$PM_BIOIMPED_BMI",1,0.769582421100012,0.769582421100012,0,0.0120435990458313,1
"md$PM_BIOIMPED_WEIGHT",1,0.353393686355141,0.353393686355141,0,0.00553044319503301,1
"md$PM_WAIST_AVG",1,4.88789239264863,4.88789239264863,0,0.0764931923368075,1
"md$PM_WAIST_HIP_RATIO",1,0.961896887105915,0.961896887105915,0,0.0150532290162997,1
"md$PM_STANDING_HEIGHT_AVG",1,0.224040754094601,0.224040754094601,0,0.00350613129700165,1
"md$A_SLE_LIGHT_EXP",1,1.90100850877225,1.90100850877225,0,0.0297498794601382,1
"md$NUT_VEG_DAY_QTY",1,2.43156860588605,2.43156860588605,0,0.0380528927621085,1
"md$NUT_JUICE_DAY_QTY",1,2.68291973777985,2.68291973777985,0,0.0419864184888499,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,1.34486257209365,1.34486257209365,0,0.0210464599319849,1
"md$PM_BIOIMPED_FFM",1,1.16353878177672,1.16353878177672,0,0.0182088288112972,1
"md$SALT_SEASONING",1,3.91185305537775,3.91185305537775,0,0.0612186406984694,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,1.94387137692578,1.94387137692578,0,0.0304206629705743,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,0.576297619321373,0.576297619321373,0,0.00901878378179815,1
"md$UC_case_control:md$A_HS_DENTAL_VISIT_LAST",1,1.43123794215485,1.43123794215485,0,0.0223981934122864,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.354848099798811,0.354848099798811,0,0.00555320407402683,1
"md$UC_case_control:md$PM_BIOIMPED_BMI",1,1.96193447826699,1.96193447826699,0,0.0307033419197203,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,2.91943639734131,2.91943639734131,0,0.0456877917756072,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,0.712214079056317,0.712214079056317,0,0.0111458117646317,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,4.13455449331933,4.13455449331933,0,0.0647038123343608,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.835836747534664,0.835836747534664,0,0.0130804477585267,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,5.70409028658579,5.70409028658579,0,0.0892663013724589,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,1.35976107435852,1.35976107435852,0,0.0212796144099744,1
"md$UC_case_control:md$PM_WAIST_AVG",1,0.544602570354712,0.544602570354712,0,0.00852277133267433,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,5.39864771905286,5.39864771905286,0,0.0844862703919724,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,0.310838090519759,0.310838090519759,0,0.0048644683503046,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,1.30511153521091,1.30511153521091,0,0.020424375101633,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,1.61559042355614,1.61559042355614,0,0.025283222108664,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,1.28328848518493,1.28328848518493,0,0.0200828547429762,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,3.82239645463921,3.82239645463921,0,0.0598186874228241,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,2.42567742585037,2.42567742585037,0,0.0379606985951016,1
"Residuals",0,-2.99464325626241e-15,-Inf,NA,-4.68647433658572e-17,NA
"Total",33,63.8997045792877,NA,NA,1,NA
