"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,2.00308010433336,2.00308010433336,0,0.0227760130939289,1
"md$A_SMK_CIG_CUR_FREQ",1,0.440500998066117,0.440500998066117,0,0.00500871456819826,1
"md$F1_SDC_AGE_CALC",1,5.16102240560039,5.16102240560039,0,0.0586833814752182,1
"md$A_HS_DENTAL_VISIT_LAST",1,1.69452172434738,1.69452172434738,0,0.0192675514564743,1
"md$PM_BIOIMPED_BMI",1,2.58799366530387,2.58799366530387,0,0.0294267700430198,1
"md$PM_BIOIMPED_WEIGHT",1,4.08754932985604,4.08754932985604,0,0.0464774608152103,1
"md$PM_WAIST_AVG",1,0.0981185250082497,0.0981185250082497,0,0.00111565623636835,1
"md$PM_WAIST_HIP_RATIO",1,2.67226121192054,2.67226121192054,0,0.0303849337934272,1
"md$PM_STANDING_HEIGHT_AVG",1,0.709153084228888,0.709153084228888,0,0.0080634218756681,1
"md$A_SLE_LIGHT_EXP",1,0.213567423846488,0.213567423846488,0,0.00242836740849318,1
"md$NUT_VEG_DAY_QTY",1,1.2139139055807,1.2139139055807,0,0.0138028024683565,1
"md$NUT_JUICE_DAY_QTY",1,0.999683400048397,0.999683400048397,0,0.011366895492611,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,2.01537895074359,2.01537895074359,0,0.0229158570703498,1
"md$PM_BIOIMPED_FFM",1,2.92398610000362,2.92398610000362,0,0.0332471704731511,1
"md$SALT_SEASONING",1,1.26469538766328,1.26469538766328,0,0.0143802130763196,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,2.7759271786346,2.7759271786346,0,0.0315636671901427,1
"md$UC_case_control:md$A_SMK_CIG_CUR_FREQ",1,1.40297077970091,1.40297077970091,0,0.0159524727841586,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,1.49122266255657,1.49122266255657,0,0.0169559404114072,1
"md$UC_case_control:md$A_HS_DENTAL_VISIT_LAST",1,1.1349217369435,1.1349217369435,0,0.01290462237895,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.288351579067601,0.288351579067601,0,0.00327870030074731,1
"md$UC_case_control:md$PM_BIOIMPED_BMI",1,2.51368510506429,2.51368510506429,0,0.0285818449013111,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,2.8151486689037,2.8151486689037,0,0.0320096349644718,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,4.79362666869672,4.79362666869672,0,0.0545059099421183,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,0.0587873399281804,0.0587873399281804,0,0.000668441177696731,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.043503079976233,0.043503079976233,0,0.000494651570359774,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,1.71833572999591,1.71833572999591,0,0.0195383284979398,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,1.94992510190232,1.94992510190232,0,0.0221716143837834,1
