"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,1.99084194698008,1.99084194698008,0,0.0094082294653671,1
"md$A_SMK_CIG_CUR_FREQ",1,2.74585721024249,2.74585721024249,0,0.0129762459306633,1
"md$F1_SDC_AGE_CALC",1,0.122107161687787,0.122107161687787,0,0.000577048418266465,1
"md$SDC_GENDER",1,0.921679209299027,0.921679209299027,0,0.00435562928925473,1
"md$PM_BIOIMPED_WEIGHT",1,1.45377333200058,1.45377333200058,0,0.00687017526370697,1
"md$PM_WAIST_AVG",1,0.578618753416942,0.578618753416942,0,0.00273440993815152,1
"md$PM_WAIST_HIP_RATIO",1,0.0519414973307075,0.0519414973307075,0,0.000245462743239526,1
"md$PM_STANDING_HEIGHT_AVG",1,0.585989437240427,0.585989437240427,0,0.0027692419773464,1
"md$A_SLE_LIGHT_EXP",1,3.0219878999099,3.0219878999099,0,0.0142811716656077,1
"md$NUT_VEG_DAY_QTY",1,1.67396149348427,1.67396149348427,0,0.00791073036751029,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,1.84131684021915,1.84131684021915,0,0.00870161058114364,1
"md$PM_BIOIMPED_FFM",1,10.5092263651338,10.5092263651338,0,0.0496640194349159,1
"md$Crohn_case_control:md$A_SMK_CIG_CUR_FREQ",1,4.53038557620309,4.53038557620309,0,0.0214094881475463,1
"md$Crohn_case_control:md$F1_SDC_AGE_CALC",1,1.25792889514821,1.25792889514821,0,0.00594466261604668,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,0.573972441287854,0.573972441287854,0,0.00271245260962301,1
"md$Crohn_case_control:md$SDC_GENDER",1,8.20353908858025,8.20353908858025,0,0.0387679083668834,1
"md$F1_SDC_AGE_CALC:md$SDC_GENDER",1,0.129023395124875,0.129023395124875,0,0.000609732836690977,1
"md$Crohn_case_control:md$PM_BIOIMPED_WEIGHT",1,1.01935082332289,1.01935082332289,0,0.00481720131830664,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,1.99164807396982,1.99164807396982,0,0.00941203902328263,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.290364270512114,0.290364270512114,0,0.00137219013777854,1
"md$SDC_GENDER:md$PM_BIOIMPED_WEIGHT",1,1.11391478781198,1.11391478781198,0,0.005264087359872,1
"md$Crohn_case_control:md$PM_WAIST_AVG",1,0.859174654875133,0.859174654875133,0,0.00406024813579725,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,1.30766486407155,1.30766486407155,0,0.00617970257440346,1
"md$SDC_GENDER:md$PM_WAIST_AVG",1,4.82989240185177,4.82989240185177,0,0.0228248837526172,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.144606071771321,0.144606071771321,0,0.000683372734522528,1
"md$Crohn_case_control:md$PM_WAIST_HIP_RATIO",1,2.01268693938746,2.01268693938746,0,0.00951146352749324,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,2.72580468820493,2.72580468820493,0,0.0128814826427113,1
"md$SDC_GENDER:md$PM_WAIST_HIP_RATIO",1,2.15639885134631,2.15639885134631,0,0.0101906106826285,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,1.68410557984897,1.68410557984897,0,0.00795866882509624,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.0184898622905436,0.0184898622905436,0,8.73785422676815e-05,1
"md$Crohn_case_control:md$PM_STANDING_HEIGHT_AVG",1,6.86364290305994,6.86364290305994,0,0.0324358884934487,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,2.76658001861109,2.76658001861109,0,0.013074176826983,1
"md$SDC_GENDER:md$PM_STANDING_HEIGHT_AVG",1,3.17680168589212,3.17680168589212,0,0.0150127835472703,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.970848260925948,0.970848260925948,0,0.00458799013588159,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,1.50597569360671,1.50597569360671,0,0.00711687078736196,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,1.01696208230544,1.01696208230544,0,0.00480591271568323,1
"md$Crohn_case_control:md$A_SLE_LIGHT_EXP",1,0.805564265460816,0.805564265460816,0,0.00380689861897464,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,0.134068982484251,0.134068982484251,0,0.000633577041770428,1
"md$SDC_GENDER:md$A_SLE_LIGHT_EXP",1,0.250423301468018,0.250423301468018,0,0.0011834389401227,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,2.512816048262,2.512816048262,0,0.0118749507072459,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,5.26874198243236,5.26874198243236,0,0.0248987789511513,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,0.626617736900414,0.626617736900414,0,0.00296124133046867,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,0.389514012614342,0.389514012614342,0,0.00184074743663631,1
"md$Crohn_case_control:md$NUT_VEG_DAY_QTY",1,1.5480271443966,1.5480271443966,0,0.00731559560275123,1
