"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,20.0831635873322,20.0831635873322,0,0.00743668078016817,1
"md$A_SMK_CIG_CUR_FREQ",1,41.39968127831,41.39968127831,0,0.0153300655411528,1
"md$F1_SDC_AGE_CALC",1,23.0153147534615,23.0153147534615,0,0.00852243961128458,1
"md$SDC_GENDER",1,63.1700146458807,63.1700146458807,0,0.0233914956554097,1
"md$PM_BIOIMPED_WEIGHT",1,23.4165947435427,23.4165947435427,0,0.00867103129987618,1
"md$PM_WAIST_AVG",1,22.6299132553405,22.6299132553405,0,0.00837972763758276,1
"md$PM_WAIST_HIP_RATIO",1,40.5604997715028,40.5604997715028,0,0.0150193214218009,1
"md$PM_STANDING_HEIGHT_AVG",1,33.1888902530459,33.1888902530459,0,0.0122896565168458,1
"md$A_SLE_LIGHT_EXP",1,19.7375859298675,19.7375859298675,0,0.0073087153472249,1
"md$NUT_VEG_DAY_QTY",1,31.299184139764,31.299184139764,0,0.0115899091353289,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,27.2032627719573,27.2032627719573,0,0.0100732128448968,1
"md$PM_BIOIMPED_FFM",1,43.4826996540016,43.4826996540016,0,0.0161013953494213,1
"md$UC_case_control:md$A_SMK_CIG_CUR_FREQ",1,49.299654300668,49.299654300668,0,0.018255380434085,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,34.5273285094245,34.5273285094245,0,0.012785272559277,1
"md$UC_case_control:md$SDC_GENDER",1,22.2963079560057,22.2963079560057,0,0.00825619550048012,1
"md$F1_SDC_AGE_CALC:md$SDC_GENDER",1,24.9875115410209,24.9875115410209,0,0.00925273281837688,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,56.7034137762972,56.7034137762972,0,0.0209969502845706,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,18.4581128310157,18.4581128310157,0,0.0068349337658721,1
"md$SDC_GENDER:md$PM_BIOIMPED_WEIGHT",1,22.2986196505249,22.2986196505249,0,0.00825705150775833,1
"md$UC_case_control:md$PM_WAIST_AVG",1,29.5053732252168,29.5053732252168,0,0.01092567119824,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,18.941843917991,18.941843917991,0,0.00701405662476015,1
"md$SDC_GENDER:md$PM_WAIST_AVG",1,30.4551023523046,30.4551023523046,0,0.0112773504700374,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,22.5679843357258,22.5679843357258,0,0.00835679571232943,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,47.8493056311695,47.8493056311695,0,0.017718324604803,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,27.8909626437126,27.8909626437126,0,0.0103278641799102,1
"md$SDC_GENDER:md$PM_WAIST_HIP_RATIO",1,27.0481182427021,27.0481182427021,0,0.0100157637117539,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,13.5860141871042,13.5860141871042,0,0.00503082346289602,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,22.8316881393821,22.8316881393821,0,0.00845444372479422,1
"md$UC_case_control:md$PM_STANDING_HEIGHT_AVG",1,27.7112690072306,27.7112690072306,0,0.0102613246525627,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,26.8887926954806,26.8887926954806,0,0.00995676637153605,1
"md$SDC_GENDER:md$PM_STANDING_HEIGHT_AVG",1,62.9383435196107,62.9383435196107,0,0.0233057091604404,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,29.8768061521844,29.8768061521844,0,0.0110632106898191,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,31.7197759628841,31.7197759628841,0,0.0117456518854038,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,28.476688513015,28.476688513015,0,0.0105447551241953,1
"md$UC_case_control:md$A_SLE_LIGHT_EXP",1,16.6115352534964,16.6115352534964,0,0.00615115663483837,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,23.8569884422152,23.8569884422152,0,0.00883410657137826,1
"md$SDC_GENDER:md$A_SLE_LIGHT_EXP",1,17.0247080933123,17.0247080933123,0,0.00630415217776588,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,41.7950274187792,41.7950274187792,0,0.0154764599591217,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,20.5266921363097,20.5266921363097,0,0.00760091686883489,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,51.3335695134804,51.3335695134804,0,0.0190085276215707,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,14.2264839190061,14.2264839190061,0,0.00526798574685604,1
"md$UC_case_control:md$NUT_VEG_DAY_QTY",1,23.4856355824929,23.4856355824929,0,0.00869659672824284,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,44.0325406857635,44.0325406857635,0,0.0163049983433058,1
"md$SDC_GENDER:md$NUT_VEG_DAY_QTY",1,25.7536148877325,25.7536148877325,0,0.0095364165123994,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,59.050555440723,59.050555440723,0,0.0218660834382325,1
