"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,98.7730547986958,98.7730547986958,0,0.0165812735075962,1
"md$A_SMK_CIG_CUR_FREQ",1,95.686983754892,95.686983754892,0,0.0160632072379493,1
"md$F1_SDC_AGE_CALC",1,52.8398366392525,52.8398366392525,0,0.00887035219471329,1
"md$PM_BIOIMPED_WEIGHT",1,48.9663396680814,48.9663396680814,0,0.00822009881497594,1
"md$PM_WAIST_AVG",1,54.5734730264363,54.5734730264363,0,0.00916138196145687,1
"md$PM_WAIST_HIP_RATIO",1,37.7019473962062,37.7019473962062,0,0.00632911782286754,1
"md$PM_STANDING_HEIGHT_AVG",1,35.6986381941826,35.6986381941826,0,0.00599281742326226,1
"md$A_SLE_LIGHT_EXP",1,21.1325787769202,21.1325787769202,0,0.00354757751833309,1
"md$NUT_VEG_DAY_QTY",1,34.692955141282,34.692955141282,0,0.00582399095742008,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,69.063746958519,69.063746958519,0,0.0115938995722317,1
"md$PM_BIOIMPED_FFM",1,48.0833218604012,48.0833218604012,0,0.00807186446289416,1
"md$CASE_CONTROL:md$A_SMK_CIG_CUR_FREQ",1,55.6046446050691,55.6046446050691,0,0.00933448724825211,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,34.5061335391478,34.5061335391478,0,0.00579262875961797,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,19.9567957278261,19.9567957278261,0,0.00335019595144365,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,46.6944519033595,46.6944519033595,0,0.00783871147728361,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,46.7631511229574,46.7631511229574,0,0.00785024418275913,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,44.6401867901367,44.6401867901367,0,0.00749385698464002,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,25.9285751918825,25.9285751918825,0,0.00435269312865834,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_AVG",1,15.0859573235466,15.0859573235466,0,0.00253251643391466,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,22.828282019252,22.828282019252,0,0.00383223935557327,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,14.7238045589786,14.7238045589786,0,0.00247172096643547,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO",1,24.6559026702565,24.6559026702565,0,0.0041390464898084,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_HIP_RATIO",1,57.1234853821701,57.1234853821701,0,0.00958945875228151,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,23.182358398223,23.182358398223,0,0.00389167902051289,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,16.1911314472879,16.1911314472879,0,0.00271804470836785,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,46.1512471880199,46.1512471880199,0,0.00774752237744236,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG",1,24.252183796071,24.252183796071,0,0.00407127321817382,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_STANDING_HEIGHT_AVG",1,30.7774321936256,30.7774321936256,0,0.00516668257455514,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,35.5062405559538,35.5062405559538,0,0.00596051916268715,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,26.9551871169353,26.9551871169353,0,0.00452503297529115,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,15.4247627735565,15.4247627735565,0,0.00258939253078062,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,24.5197548673768,24.5197548673768,0,0.00411619102622466,1
"md$CASE_CONTROL:md$A_SLE_LIGHT_EXP",1,20.6014691777677,20.6014691777677,0,0.00345841885513285,1
"md$A_SMK_CIG_CUR_FREQ:md$A_SLE_LIGHT_EXP",1,30.1328638691589,30.1328638691589,0,0.0050584773185357,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,31.2520815981418,31.2520815981418,0,0.00524636312723766,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,23.7675536335105,23.7675536335105,0,0.00398991717130634,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,33.7476034778088,33.7476034778088,0,0.00566529246900279,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,28.8341357390257,28.8341357390257,0,0.00484045666116476,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,28.6515242069713,28.6515242069713,0,0.00480980121809068,1
"md$CASE_CONTROL:md$NUT_VEG_DAY_QTY",1,24.6491298476205,24.6491298476205,0,0.00413790951956105,1
"md$A_SMK_CIG_CUR_FREQ:md$NUT_VEG_DAY_QTY",1,21.1600473861647,21.1600473861647,0,0.00355218874073261,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,58.0194438237988,58.0194438237988,0,0.00973986548013217,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,61.6447146000162,61.6447146000162,0,0.0103484485233727,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,26.4102427510641,26.4102427510641,0,0.00443355183607407,1
"md$PM_WAIST_HIP_RATIO:md$NUT_VEG_DAY_QTY",1,26.6744263837354,26.6744263837354,0,0.00447790098654311,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_VEG_DAY_QTY",1,42.735119144096,42.735119144096,0,0.00717404863454037,1
"md$A_SLE_LIGHT_EXP:md$NUT_VEG_DAY_QTY",1,34.3959819666882,34.3959819666882,0,0.00577413734661098,1
"md$CASE_CONTROL:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,61.2753240365191,61.2753240365191,0,0.0102864380289423,1
"md$A_SMK_CIG_CUR_FREQ:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,14.1569094749325,14.1569094749325,0,0.00237655490664479,1
"md$F1_SDC_AGE_CALC:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,46.1846120272571,46.1846120272571,0,0.00775312341434516,1
"md$PM_BIOIMPED_WEIGHT:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,30.4968230224474,30.4968230224474,0,0.00511957602889319,1
"md$PM_WAIST_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,29.1415462918701,29.1415462918701,0,0.00489206242010603,1
"md$PM_WAIST_HIP_RATIO:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,43.6747553620319,43.6747553620319,0,0.00733178765718164,1
"md$PM_STANDING_HEIGHT_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,22.5008375696495,22.5008375696495,0,0.00377727045754265,1
"md$A_SLE_LIGHT_EXP:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,51.9579075758597,51.9579075758597,0,0.00872230061278928,1
"md$NUT_VEG_DAY_QTY:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,26.8459500202657,26.8459500202657,0,0.00450669507756442,1
