"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,26.9114817485115,26.9114817485115,0,0.022471097162009,1
"md$A_SMK_CIG_CUR_FREQ",1,48.9711923902618,48.9711923902618,0,0.0408909636646773,1
"md$F1_SDC_AGE_CALC",1,35.3708851659323,35.3708851659323,0,0.0295347021281684,1
"md$PM_BIOIMPED_WEIGHT",1,46.2384052322279,46.2384052322279,0,0.0386090853821979,1
"md$PM_WAIST_AVG",1,31.7362456324702,31.7362456324702,0,0.0264997767803724,1
"md$PM_WAIST_HIP_RATIO",1,55.1472293184644,55.1472293184644,0,0.0460479567721814,1
"md$PM_STANDING_HEIGHT_AVG",1,38.2767989745778,38.2767989745778,0,0.03196114122761,1
"md$A_SLE_LIGHT_EXP",1,23.6223855608509,23.6223855608509,0,0.019724700635099,1
"md$NUT_VEG_DAY_QTY",1,51.7667036505205,51.7667036505205,0,0.0432252165955936,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,68.9307193533261,68.9307193533261,0,0.0575571760228862,1
"md$PM_BIOIMPED_FFM",1,37.4848410841129,37.4848410841129,0,0.0312998560976732,1
"md$Crohn_case_control:md$A_SMK_CIG_CUR_FREQ",1,86.1100619254934,86.1100619254934,0,0.0719019333917354,1
"md$Crohn_case_control:md$F1_SDC_AGE_CALC",1,40.7901769912633,40.7901769912633,0,0.0340598127963325,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,45.4453059701916,45.4453059701916,0,0.037946847206579,1
"md$Crohn_case_control:md$PM_BIOIMPED_WEIGHT",1,82.512168511068,82.512168511068,0,0.0688976910668557,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,28.8007646008812,28.8007646008812,0,0.0240486490388939,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,41.9100716303747,41.9100716303747,0,0.0349949252320526,1
"md$Crohn_case_control:md$PM_WAIST_AVG",1,46.3955670231135,46.3955670231135,0,0.0387403155354145,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,112.177760591924,112.177760591924,0,0.0936684713697395,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,32.124067016138,32.124067016138,0,0.0268236077784329,1
"md$Crohn_case_control:md$PM_WAIST_HIP_RATIO",1,34.3107617274077,34.3107617274077,0,0.028649498666931,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,39.891461230706,39.891461230706,0,0.0333093848055874,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,55.6194596128007,55.6194596128007,0,0.046442269241708,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,54.6036219771458,54.6036219771458,0,0.0455940444421617,1
"md$Crohn_case_control:md$PM_STANDING_HEIGHT_AVG",1,32.4561257688263,32.4561257688263,0,0.0271008769591076,1
"Residuals",0,1.12750360439295e-13,Inf,NA,9.41465924529806e-17,NA
"Total",25,1197.60426268859,NA,NA,1,NA
