"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,74.883393130657,74.883393130657,0,0.0140703942134057,1
"md$A_SMK_CIG_CUR_FREQ",1,66.2883423327251,66.2883423327251,0,0.0124554065912484,1
"md$F1_SDC_AGE_CALC",1,74.1708590814062,74.1708590814062,0,0.0139365109244108,1
"md$PM_BIOIMPED_WEIGHT",1,100.950944393142,100.950944393142,0,0.0189684190905819,1
"md$PM_WAIST_AVG",1,52.9031556912353,52.9031556912353,0,0.00994036494059613,1
"md$PM_WAIST_HIP_RATIO",1,77.9593997597972,77.9593997597972,0,0.0146483678343331,1
"md$PM_STANDING_HEIGHT_AVG",1,74.4179632935665,74.4179632935665,0,0.0139829411612301,1
"md$A_SLE_LIGHT_EXP",1,49.5595266321575,49.5595266321575,0,0.00931210576325708,1
"md$NUT_VEG_DAY_QTY",1,72.3532165420494,72.3532165420494,0,0.0135949806331327,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,89.7019645832492,89.7019645832492,0,0.016854765130649,1
"md$PM_BIOIMPED_FFM",1,69.417338381745,69.417338381745,0,0.0130433367859324,1
"md$CASE_CONTROL:md$A_SMK_CIG_CUR_FREQ",1,70.662121832316,70.662121832316,0,0.0132772283489028,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,69.6494250065067,69.6494250065067,0,0.0130869452572573,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,54.0441949696816,54.0441949696816,0,0.0101547632442722,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,84.742693331434,84.742693331434,0,0.015922931000183,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,75.1359703005048,75.1359703005048,0,0.0141178528046967,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,66.5317026850498,66.5317026850498,0,0.0125011333665716,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,85.8870296702298,85.8870296702298,0,0.0161379488128973,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,83.3816704003432,83.3816704003432,0,0.0156671983420685,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,74.5521131546184,74.5521131546184,0,0.0140081475701515,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO",1,67.0810921296875,67.0810921296875,0,0.0126043622099715,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,64.4820790664194,64.4820790664194,0,0.0121160144356904,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,54.2461553063147,54.2461553063147,0,0.0101927110646513,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,65.9930244311824,65.9930244311824,0,0.0123999171279741,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG",1,83.3839237890147,83.3839237890147,0,0.0156676217479212,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,93.4562968196467,93.4562968196467,0,0.0175601943635637,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,76.4096477022363,76.4096477022363,0,0.0143571734657116,1
