"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,125.268922899065,125.268922899065,0,0.00919238090328201,1
"md$A_SMK_CIG_CUR_FREQ",1,129.746487957547,129.746487957547,0,0.00952094989377258,1
"md$F1_SDC_AGE_CALC",1,106.185016095631,106.185016095631,0,0.00779198137560942,1
"md$A_HS_DENTAL_VISIT_LAST",1,74.5312264463746,74.5312264463746,0,0.0054691890600502,1
"md$PM_BIOIMPED_BMI",1,101.67503459603,101.67503459603,0,0.00746103362854136,1
"md$PM_BIOIMPED_WEIGHT",1,89.3546665314989,89.3546665314989,0,0.00655695052878443,1
"md$PM_WAIST_AVG",1,75.4590273750021,75.4590273750021,0,0.00553727218346968,1
"md$PM_WAIST_HIP_RATIO",1,81.2362630227645,81.2362630227645,0,0.00596121253047053,1
"md$PM_STANDING_HEIGHT_AVG",1,59.6551355277313,59.6551355277313,0,0.0043775640112246,1
"md$A_SLE_LIGHT_EXP",1,51.9773895773251,51.9773895773251,0,0.00381416198284097,1
"md$NUT_VEG_DAY_QTY",1,84.700872559035,84.700872559035,0,0.00621544965330588,1
"md$NUT_JUICE_DAY_QTY",1,74.2483800409817,74.2483800409817,0,0.00544843345813934,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,72.7867316346922,72.7867316346922,0,0.00534117597889914,1
"md$PM_BIOIMPED_FFM",1,108.919343360119,108.919343360119,0,0.00799262952638545,1
"md$SALT_SEASONING",1,65.9647437399374,65.9647437399374,0,0.0048405704831794,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,92.606973659271,92.606973659271,0,0.00679560865117468,1
"md$CASE_CONTROL:md$A_SMK_CIG_CUR_FREQ",1,75.4029830718434,75.4029830718434,0,0.00553315958658475,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,93.1536197532503,93.1536197532503,0,0.00683572218451445,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,50.4482716776597,50.4482716776597,0,0.00370195351281943,1
"md$CASE_CONTROL:md$A_HS_DENTAL_VISIT_LAST",1,156.03992173969,156.03992173969,0,0.0114503929909678,1
"md$A_SMK_CIG_CUR_FREQ:md$A_HS_DENTAL_VISIT_LAST",1,96.4973539030279,96.4973539030279,0,0.00708108932931567,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,56.6683623635283,56.6683623635283,0,0.00415839108340133,1
"md$CASE_CONTROL:md$PM_BIOIMPED_BMI",1,64.0156718991775,64.0156718991775,0,0.00469754529901172,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_BMI",1,52.2475029906082,52.2475029906082,0,0.00383398322281431,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,55.6395595229735,55.6395595229735,0,0.00408289632088646,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,82.548209793757,82.548209793757,0,0.00605748472763399,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,77.3490540851662,77.3490540851662,0,0.00567596456650554,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,52.9396016522378,52.9396016522378,0,0.00388477023664916,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,101.310489156489,101.310489156489,0,0.00743428285541052,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,49.9812909038424,49.9812909038424,0,0.00366768591437527,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,58.7651675641532,58.7651675641532,0,0.00431225711527946,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,82.1390851812494,82.1390851812494,0,0.00602746268235698,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_AVG",1,81.607926205148,81.607926205148,0,0.005988485611943,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,66.1382228658144,66.1382228658144,0,0.00485330058548191,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,95.4849990545863,95.4849990545863,0,0.00700680153980815,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,70.143805351679,70.143805351679,0,0.00514723493964931,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,63.3560855141995,63.3560855141995,0,0.00464914407427842,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO",1,61.0126666404108,61.0126666404108,0,0.00447718124099722,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_HIP_RATIO",1,52.9800840223647,52.9800840223647,0,0.00388774088058432,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,72.9822846231245,72.9822846231245,0,0.00535552588719918,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,60.07612723583,60.07612723583,0,0.00440845687793412,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_HIP_RATIO",1,61.5373989644227,61.5373989644227,0,0.00451568671612187,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,111.351645192694,111.351645192694,0,0.0081711146957263,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,62.2541894306596,62.2541894306596,0,0.00456828564362124,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG",1,63.7282924480419,63.7282924480419,0,0.0046764570568725,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_STANDING_HEIGHT_AVG",1,66.2825478840286,66.2825478840286,0,0.00486389132507314,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,76.9936557281903,76.9936557281903,0,0.00564988501705212,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_STANDING_HEIGHT_AVG",1,59.7808514920339,59.7808514920339,0,0.00438678919655188,1
"md$PM_BIOIMPED_BMI:md$PM_STANDING_HEIGHT_AVG",1,79.6635759598789,79.6635759598789,0,0.00584580690400596,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,88.0131766510608,88.0131766510608,0,0.00645851042350132,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,52.7576593007525,52.7576593007525,0,0.00387141909289709,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,80.4030398257037,80.4030398257037,0,0.00590006963223546,1
"md$CASE_CONTROL:md$A_SLE_LIGHT_EXP",1,69.3516813333686,69.3516813333686,0,0.00508910794749168,1
"md$A_SMK_CIG_CUR_FREQ:md$A_SLE_LIGHT_EXP",1,45.8844212010627,45.8844212010627,0,0.00336705279685887,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,74.1261866986169,74.1261866986169,0,0.00543946676695316,1
"md$A_HS_DENTAL_VISIT_LAST:md$A_SLE_LIGHT_EXP",1,101.476280701271,101.476280701271,0,0.00744644883397021,1
"md$PM_BIOIMPED_BMI:md$A_SLE_LIGHT_EXP",1,58.4820523112603,58.4820523112603,0,0.00429148178502283,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,72.6635048076514,72.6635048076514,0,0.00533213344939185,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,62.4952027463423,62.4952027463423,0,0.00458597148420521,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,62.9124762463798,62.9124762463798,0,0.00461659150443385,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,55.7104179008702,55.7104179008702,0,0.00408809599199994,1
"md$CASE_CONTROL:md$NUT_VEG_DAY_QTY",1,65.8464562218296,65.8464562218296,0,0.00483189040597121,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,82.9401989757571,82.9401989757571,0,0.00608624935486571,1
"md$A_HS_DENTAL_VISIT_LAST:md$NUT_VEG_DAY_QTY",1,69.3406470699838,69.3406470699838,0,0.00508829824026604,1
"md$PM_BIOIMPED_BMI:md$NUT_VEG_DAY_QTY",1,95.2532724329913,95.2532724329913,0,0.00698979716775932,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,73.8052095966941,73.8052095966941,0,0.00541591308968171,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,66.8689475339352,66.8689475339352,0,0.00490692202110487,1
"md$PM_WAIST_HIP_RATIO:md$NUT_VEG_DAY_QTY",1,64.661001128944,64.661001128944,0,0.00474490031692638,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_VEG_DAY_QTY",1,61.5161905192317,61.5161905192317,0,0.00451413041546845,1
"md$A_SLE_LIGHT_EXP:md$NUT_VEG_DAY_QTY",1,71.3411750483765,71.3411750483765,0,0.00523509933633578,1
"md$CASE_CONTROL:md$NUT_JUICE_DAY_QTY",1,77.4826096717343,77.4826096717343,0,0.0056857650325356,1
"md$F1_SDC_AGE_CALC:md$NUT_JUICE_DAY_QTY",1,62.0644929714481,62.0644929714481,0,0.00455436549432386,1
"md$A_HS_DENTAL_VISIT_LAST:md$NUT_JUICE_DAY_QTY",1,85.5180480027493,85.5180480027493,0,0.00627541494852505,1
"md$PM_BIOIMPED_BMI:md$NUT_JUICE_DAY_QTY",1,71.6166111002058,71.6166111002058,0,0.00525531115778611,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_JUICE_DAY_QTY",1,76.7857175445215,76.7857175445215,0,0.0056346262685582,1
"md$PM_WAIST_AVG:md$NUT_JUICE_DAY_QTY",1,100.363114577734,100.363114577734,0,0.00736476339452228,1
"md$PM_WAIST_HIP_RATIO:md$NUT_JUICE_DAY_QTY",1,100.929540771939,100.929540771939,0,0.00740632841488189,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_JUICE_DAY_QTY",1,159.796020342003,159.796020342003,0,0.011726019924318,1
"md$A_SLE_LIGHT_EXP:md$NUT_JUICE_DAY_QTY",1,75.2741103531507,75.2741103531507,0,0.00552370275490736,1
"md$NUT_VEG_DAY_QTY:md$NUT_JUICE_DAY_QTY",1,61.127392670528,61.127392670528,0,0.00448559997202766,1
"md$CASE_CONTROL:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,106.932588252065,106.932588252065,0,0.0078468390997408,1
"md$F1_SDC_AGE_CALC:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,70.0045740740034,70.0045740740034,0,0.00513701798473004,1
"md$A_HS_DENTAL_VISIT_LAST:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,71.4832263539729,71.4832263539729,0,0.00524552322822078,1
"md$PM_BIOIMPED_BMI:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,68.2922795239583,68.2922795239583,0,0.00501136779665178,1
"md$PM_BIOIMPED_WEIGHT:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,51.4161919422322,51.4161919422322,0,0.00377298064029881,1
"md$PM_WAIST_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,72.7367529873482,72.7367529873482,0,0.0053375084869723,1
"md$PM_WAIST_HIP_RATIO:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,90.3056068850992,90.3056068850992,0,0.00662673165042494,1
"md$PM_STANDING_HEIGHT_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,65.5803293650333,65.5803293650333,0,0.00481236170420185,1
"md$A_SLE_LIGHT_EXP:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,132.071450654586,132.071450654586,0,0.00969155839109575,1
"md$NUT_VEG_DAY_QTY:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,90.2440428107029,90.2440428107029,0,0.00662221400623425,1
"md$NUT_JUICE_DAY_QTY:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,54.5784993120833,54.5784993120833,0,0.00400503447459536,1
"md$CASE_CONTROL:md$PM_BIOIMPED_FFM",1,91.4046247684819,91.4046247684819,0,0.00670737887536925,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_FFM",1,76.9321953278541,76.9321953278541,0,0.00564537498058589,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_FFM",1,63.3919708137764,63.3919708137764,0,0.00465177737976956,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_FFM",1,84.7353378024936,84.7353378024936,0,0.00621797875340879,1
"md$PM_BIOIMPED_WEIGHT:md$PM_BIOIMPED_FFM",1,79.8722815345136,79.8722815345136,0,0.00586112196455155,1
"md$PM_WAIST_AVG:md$PM_BIOIMPED_FFM",1,80.7603580741415,80.7603580741415,0,0.00592629006558253,1
"md$PM_WAIST_HIP_RATIO:md$PM_BIOIMPED_FFM",1,57.8992004757129,57.8992004757129,0,0.0042487114317817,1
"md$PM_STANDING_HEIGHT_AVG:md$PM_BIOIMPED_FFM",1,69.0340008468729,69.0340008468729,0,0.00506579617973775,1
"md$A_SLE_LIGHT_EXP:md$PM_BIOIMPED_FFM",1,106.903024655038,106.903024655038,0,0.00784466968821835,1
"md$NUT_VEG_DAY_QTY:md$PM_BIOIMPED_FFM",1,60.9881709587971,60.9881709587971,0,0.00447538371906866,1
"md$NUT_JUICE_DAY_QTY:md$PM_BIOIMPED_FFM",1,85.3737491464572,85.3737491464572,0,0.00626482612872643,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY:md$PM_BIOIMPED_FFM",1,63.5477753895575,63.5477753895575,0,0.00466321050279727,1
"md$CASE_CONTROL:md$SALT_SEASONING",1,120.375068032616,120.375068032616,0,0.00883326407704384,1
"md$F1_SDC_AGE_CALC:md$SALT_SEASONING",1,72.5058954730084,72.5058954730084,0,0.0053205678910361,1
"md$A_HS_DENTAL_VISIT_LAST:md$SALT_SEASONING",1,76.7613178099318,76.7613178099318,0,0.00563283578733511,1
"md$PM_BIOIMPED_BMI:md$SALT_SEASONING",1,115.940388915094,115.940388915094,0,0.00850784210734325,1
"md$PM_BIOIMPED_WEIGHT:md$SALT_SEASONING",1,58.2478559198953,58.2478559198953,0,0.00427429617836334,1
