"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,124.570243499227,124.570243499227,0,0.0168753583545407,1
"md$F1_SDC_AGE_CALC",1,79.627666691029,79.627666691029,0,0.0107870497207094,1
"md$PM_BIOIMPED_WEIGHT",1,113.079298422128,113.079298422128,0,0.0153186959401367,1
"md$PM_WAIST_AVG",1,97.9623413679973,97.9623413679973,0,0.013270822705304,1
"md$PM_WAIST_HIP_RATIO",1,115.395386568677,115.395386568677,0,0.0156324531935209,1
"md$PM_STANDING_HEIGHT_AVG",1,158.215834246512,158.215834246512,0,0.0214332799332536,1
"md$A_SLE_LIGHT_EXP",1,87.2390978467441,87.2390978467441,0,0.0118181597573884,1
"md$NUT_VEG_DAY_QTY",1,116.087254496585,116.087254496585,0,0.0157261795834636,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,132.295979244075,132.295979244075,0,0.0179219530755953,1
"md$PM_BIOIMPED_FFM",1,114.481597521748,114.481597521748,0,0.0155086634569497,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,97.337757007823,97.337757007823,0,0.0131862111270932,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,90.3202955097465,90.3202955097465,0,0.0122355653372744,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,143.466868050478,143.466868050478,0,0.0194352579102925,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,87.6600897648507,87.6600897648507,0,0.011875190949452,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,84.2939543067316,84.2939543067316,0,0.0114191852411061,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,83.7920895257478,83.7920895257478,0,0.0113511983143191,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO",1,126.58385791737,126.58385791737,0,0.0171481399108698,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,96.6864542270862,96.6864542270862,0,0.0130979800414542,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,151.717654220218,151.717654220218,0,0.0205529804852019,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,143.273488488745,143.273488488745,0,0.019409061048899,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG",1,109.551754399756,109.551754399756,0,0.0148408244371456,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,109.199608104499,109.199608104499,0,0.0147931196662569,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,108.520005802972,108.520005802972,0,0.0147010548837319,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,128.019620106169,128.019620106169,0,0.017342640626027,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,101.064577768198,101.064577768198,0,0.0136910783737792,1
"md$CASE_CONTROL:md$A_SLE_LIGHT_EXP",1,93.1668871686365,93.1668871686365,0,0.0126211891667174,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,113.621581038968,113.621581038968,0,0.0153921582151676,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,128.322914945702,128.322914945702,0,0.017383727557869,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,109.773833102013,109.773833102013,0,0.0148709091313569,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,90.847309047389,90.847309047389,0,0.0123069591312945,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,110.097993848814,110.097993848814,0,0.0149148227387568,1
"md$CASE_CONTROL:md$NUT_VEG_DAY_QTY",1,120.430656840402,120.430656840402,0,0.0163145742832806,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,107.420791021198,107.420791021198,0,0.0145521457796795,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,109.22466262415,109.22466262415,0,0.0147965137673329,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,98.3777788436842,98.3777788436842,0,0.0133271014447461,1
"md$PM_WAIST_HIP_RATIO:md$NUT_VEG_DAY_QTY",1,97.5190845905772,97.5190845905772,0,0.0132107753235865,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_VEG_DAY_QTY",1,99.9439275820509,99.9439275820509,0,0.013539265445185,1
"md$A_SLE_LIGHT_EXP:md$NUT_VEG_DAY_QTY",1,112.039851112632,112.039851112632,0,0.0151778834527748,1
"md$CASE_CONTROL:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,106.8811882217,106.8811882217,0,0.0144790465357923,1
"md$F1_SDC_AGE_CALC:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,97.3463220272233,97.3463220272233,0,0.0131873714184086,1
"md$PM_BIOIMPED_WEIGHT:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,92.4000615240184,92.4000615240184,0,0.01251730835871,1
"md$PM_WAIST_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,110.409798413608,110.409798413608,0,0.0149570624712938,1
"md$PM_WAIST_HIP_RATIO:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,101.544917917819,101.544917917819,0,0.0137561493885675,1
