"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,128.383556655061,128.383556655061,0,0.0445974982203042,1
"md$F1_SDC_AGE_CALC",1,88.1150554227958,88.1150554227958,0,0.030609145982444,1
"md$PM_BIOIMPED_WEIGHT",1,137.779695234258,137.779695234258,0,0.0478615009047704,1
"md$PM_WAIST_AVG",1,113.148243828027,113.148243828027,0,0.0393051005457718,1
"md$PM_WAIST_HIP_RATIO",1,114.140773591903,114.140773591903,0,0.0396498825843078,1
"md$PM_STANDING_HEIGHT_AVG",1,171.471854634721,171.471854634721,0,0.0595653830688819,1
"md$A_SLE_LIGHT_EXP",1,92.6692740469597,92.6692740469597,0,0.0321911769081935,1
"md$NUT_VEG_DAY_QTY",1,113.017568275527,113.017568275527,0,0.039259706860849,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,117.951004712741,117.951004712741,0,0.040973469343063,1
"md$PM_BIOIMPED_FFM",1,143.590086049173,143.590086049173,0,0.0498798971914825,1
"md$Crohn_case_control:md$F1_SDC_AGE_CALC",1,99.4921413350464,99.4921413350464,0,0.0345612842620142,1
"md$Crohn_case_control:md$PM_BIOIMPED_WEIGHT",1,114.488600604258,114.488600604258,0,0.0397707096977533,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,105.443456040653,105.443456040653,0,0.0366286342709012,1
"md$Crohn_case_control:md$PM_WAIST_AVG",1,94.6598706441423,94.6598706441423,0,0.0328826644359827,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,72.4541117265078,72.4541117265078,0,0.0251688939219714,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,135.718753784164,135.718753784164,0,0.0471455771911156,1
"md$Crohn_case_control:md$PM_WAIST_HIP_RATIO",1,120.940710074371,120.940710074371,0,0.0420120243030473,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,122.113364873273,122.113364873273,0,0.0424193776407302,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,123.457438370516,123.457438370516,0,0.0428862778962069,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,100.111010600392,100.111010600392,0,0.0347762652274815,1
"md$Crohn_case_control:md$PM_STANDING_HEIGHT_AVG",1,141.351367705327,141.351367705327,0,0.0491022178690152,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,106.977886491939,106.977886491939,0,0.0371616601591327,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,100.610202493036,100.610202493036,0,0.0349496730230268,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,91.052456628302,91.052456628302,0,0.0316295316801767,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,129.578076035671,129.578076035671,0,0.0450124468113764,1
"Residuals",0,7.45496813508815e-14,Inf,NA,2.58968466678564e-17,NA
"Total",25,2878.71655985877,NA,NA,1,NA
