"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,25.3956387943679,25.3956387943679,0,0.0238015189575483,1
"md$F1_SDC_AGE_CALC",1,12.6869753923043,12.6869753923043,0,0.0118905961672777,1
"md$PM_BIOIMPED_WEIGHT",1,19.1606698818902,19.1606698818902,0,0.0179579277814533,1
"md$PM_WAIST_AVG",1,47.4310442943884,47.4310442943884,0,0.0444537311736992,1
"md$PM_WAIST_HIP_RATIO",1,35.6146135033675,35.6146135033675,0,0.0333790343030927,1
"md$PM_STANDING_HEIGHT_AVG",1,36.7962035968593,36.7962035968593,0,0.034486454330524,1
"md$A_SLE_LIGHT_EXP",1,15.3832647300937,15.3832647300937,0,0.0144176356447277,1
"md$NUT_VEG_DAY_QTY",1,21.4307641929104,21.4307641929104,0,0.0200855250912384,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,22.9769327765196,22.9769327765196,0,0.0215346385060387,1
"md$PM_BIOIMPED_FFM",1,25.3781063168918,25.3781063168918,0,0.0237850870182536,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,49.3827295550779,49.3827295550779,0,0.0462829064154644,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,61.3044346370394,61.3044346370394,0,0.0574562693622368,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,36.3323721886271,36.3323721886271,0,0.0340517382698044,1
"md$UC_case_control:md$PM_WAIST_AVG",1,24.3312000117791,24.3312000117791,0,0.0228038964890575,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,30.5381375621184,30.5381375621184,0,0.0286212158708989,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,17.5829209221876,17.5829209221876,0,0.0164792163350242,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,32.6385566435371,32.6385566435371,0,0.0305897887030291,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,34.5062168153142,34.5062168153142,0,0.0323402132284665,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,17.9681060377339,17.9681060377339,0,0.0168402228410655,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,34.7393734763086,34.7393734763086,0,0.0325587343191022,1
"md$UC_case_control:md$PM_STANDING_HEIGHT_AVG",1,62.1825111090326,62.1825111090326,0,0.058279227743538,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,33.7817609352163,33.7817609352163,0,0.0316612324592219,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,39.4389526149598,39.4389526149598,0,0.036963314289184,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,48.9492523612447,48.9492523612447,0,0.0458766391925673,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,27.8040993015563,27.8040993015563,0,0.0260587970234603,1
"md$UC_case_control:md$A_SLE_LIGHT_EXP",1,56.1445880258847,56.1445880258847,0,0.0526203135539239,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,13.0052486291221,13.0052486291221,0,0.0121888909469892,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,33.7891985786583,33.7891985786583,0,0.0316682032313618,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,29.0386682460285,29.0386682460285,0,0.0272158703451509,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,17.3538272837204,17.3538272837204,0,0.0162645032252976,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,26.9827843301036,26.9827843301036,0,0.0252890371437646,1
"md$UC_case_control:md$NUT_VEG_DAY_QTY",1,52.3320087982012,52.3320087982012,0,0.049047055267348,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,24.5943890368505,24.5943890368505,0,0.0230505647701896,1
"Residuals",0,-8.77899085123421e-14,-Inf,NA,-8.22792129253841e-17,NA
"Total",33,1066.9755505799,NA,NA,1,NA
