"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,86.9468660125438,86.9468660125438,0,0.0166170925334109,1
"md$F1_SDC_AGE_CALC",1,46.0934391931656,46.0934391931656,0,0.00880927604849473,1
"md$A_HS_DENTAL_VISIT_LAST",1,94.3007865011971,94.3007865011971,0,0.0180225575357454,1
"md$PM_BIOIMPED_BMI",1,89.6471553244849,89.6471553244849,0,0.0171331658483137,1
"md$PM_BIOIMPED_WEIGHT",1,93.8574706153818,93.8574706153818,0,0.0179378319851424,1
"md$PM_WAIST_AVG",1,76.8758376375246,76.8758376375246,0,0.0146923398874655,1
"md$PM_WAIST_HIP_RATIO",1,110.584273897111,110.584273897111,0,0.0211346215954838,1
"md$PM_STANDING_HEIGHT_AVG",1,91.9040960049124,91.9040960049124,0,0.0175645073543281,1
"md$A_SLE_LIGHT_EXP",1,63.0483636082598,63.0483636082598,0,0.0120496636647886,1
"md$NUT_VEG_DAY_QTY",1,74.9599714469859,74.9599714469859,0,0.0143261837828255,1
"md$NUT_JUICE_DAY_QTY",1,77.9350489427186,77.9350489427186,0,0.0148947740070381,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,82.6068983097389,82.6068983097389,0,0.0157876475146667,1
"md$PM_BIOIMPED_FFM",1,77.5650476933575,77.5650476933575,0,0.0148240601874368,1
"md$SALT_SEASONING",1,69.6290299003006,69.6290299003006,0,0.0133073460370384,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,75.7285023514605,75.7285023514605,0,0.0144730637077741,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,56.8854339112106,56.8854339112106,0,0.0108718181857118,1
"md$CASE_CONTROL:md$A_HS_DENTAL_VISIT_LAST",1,92.1655775359231,92.1655775359231,0,0.0176144811256192,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,47.7541617520615,47.7541617520615,0,0.00912666966713894,1
"md$CASE_CONTROL:md$PM_BIOIMPED_BMI",1,75.6820019755019,75.6820019755019,0,0.0144641766588719,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,113.363916228215,113.363916228215,0,0.0216658606837228,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,66.0525029507667,66.0525029507667,0,0.0126238081248143,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,65.5713399622723,65.5713399622723,0,0.01253184931974,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,96.9221959049455,96.9221959049455,0,0.0185235554972333,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,102.708622468382,102.708622468382,0,0.0196294445309857,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,46.246584889584,46.246584889584,0,0.0088385449149322,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,66.0164067313972,66.0164067313972,0,0.0126169094952848,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,64.6668978720049,64.6668978720049,0,0.0123589943498678,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,72.3826602829868,72.3826602829868,0,0.0138336137792858,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,82.5871025608631,82.5871025608631,0,0.015783864194969,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,115.211146924082,115.211146924082,0,0.0220188993245791,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO",1,142.453924126262,142.453924126262,0,0.0272254785884069,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,82.8179711715993,82.8179711715993,0,0.0158279872927137,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,115.187981884896,115.187981884896,0,0.0220144720735768,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_HIP_RATIO",1,94.6233978144437,94.6233978144437,0,0.0180842142956771,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,57.635991897484,57.635991897484,0,0.0110152631663255,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,77.922441693896,77.922441693896,0,0.0148923645375554,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG",1,66.343714872879,66.343714872879,0,0.01267946390263,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,78.5100636641055,78.5100636641055,0,0.0150046695475166,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_STANDING_HEIGHT_AVG",1,53.4491754851651,53.4491754851651,0,0.0102150880831446,1
"md$PM_BIOIMPED_BMI:md$PM_STANDING_HEIGHT_AVG",1,71.0152497202525,71.0152497202525,0,0.0135722772999601,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,77.1492312779746,77.1492312779746,0,0.0147445902747394,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,125.386137608936,125.386137608936,0,0.0239635210170093,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,86.9331160412298,86.9331160412298,0,0.0166144646693356,1
"md$CASE_CONTROL:md$A_SLE_LIGHT_EXP",1,58.5160610897155,58.5160610897155,0,0.0111834600418863,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,75.3795468658627,75.3795468658627,0,0.0144063721079483,1
"md$A_HS_DENTAL_VISIT_LAST:md$A_SLE_LIGHT_EXP",1,82.2684351189769,82.2684351189769,0,0.0157229611790001,1
"md$PM_BIOIMPED_BMI:md$A_SLE_LIGHT_EXP",1,69.950948265815,69.950948265815,0,0.0133688703623336,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,44.1718668784138,44.1718668784138,0,0.0084420294020283,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,68.6375909007452,68.6375909007452,0,0.0131178644104727,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,51.6012856988496,51.6012856988496,0,0.00986192347838104,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,88.5132323294606,88.5132323294606,0,0.0169164529959912,1
"md$CASE_CONTROL:md$NUT_VEG_DAY_QTY",1,84.444884665234,84.444884665234,0,0.0161389193976579,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,65.6754957693784,65.6754957693784,0,0.0125517553469949,1
"md$A_HS_DENTAL_VISIT_LAST:md$NUT_VEG_DAY_QTY",1,78.2702207262173,78.2702207262173,0,0.0149588312962357,1
"md$PM_BIOIMPED_BMI:md$NUT_VEG_DAY_QTY",1,90.8436321810204,90.8436321810204,0,0.0173618338561551,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,65.4135626418001,65.4135626418001,0,0.0125016952675677,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,72.7683488487201,72.7683488487201,0,0.0139073257240607,1
"md$PM_WAIST_HIP_RATIO:md$NUT_VEG_DAY_QTY",1,58.0504167546069,58.0504167546069,0,0.0110944671274891,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_VEG_DAY_QTY",1,81.8558601371769,81.8558601371769,0,0.0156441107619126,1
"md$A_SLE_LIGHT_EXP:md$NUT_VEG_DAY_QTY",1,99.4046780627141,99.4046780627141,0,0.018998001991052,1
"md$CASE_CONTROL:md$NUT_JUICE_DAY_QTY",1,65.1221574997217,65.1221574997217,0,0.0124460025619798,1
"md$F1_SDC_AGE_CALC:md$NUT_JUICE_DAY_QTY",1,94.3740319408198,94.3740319408198,0,0.0180365560420019,1
"md$A_HS_DENTAL_VISIT_LAST:md$NUT_JUICE_DAY_QTY",1,73.7293506259375,73.7293506259375,0,0.0140909902560806,1
"md$PM_BIOIMPED_BMI:md$NUT_JUICE_DAY_QTY",1,57.0046375758848,57.0046375758848,0,0.0108946001261894,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_JUICE_DAY_QTY",1,61.1791097449386,61.1791097449386,0,0.0116924160049274,1
"md$PM_WAIST_AVG:md$NUT_JUICE_DAY_QTY",1,56.7884751694346,56.7884751694346,0,0.0108532876456486,1
"md$PM_WAIST_HIP_RATIO:md$NUT_JUICE_DAY_QTY",1,83.0838231001399,83.0838231001399,0,0.0158787963247046,1
"Residuals",0,9.17646828972229e-14,Inf,NA,1.75378630298448e-17,NA
"Total",67,5232.37538924005,NA,NA,1,NA
