"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,61.7115338846026,61.7115338846026,0,0.0241935999337929,1
"md$F1_SDC_AGE_CALC",1,59.3193351553948,59.3193351553948,0,0.0232557541961581,1
"md$PM_BIOIMPED_WEIGHT",1,47.8535607788178,47.8535607788178,0,0.0187606729571022,1
"md$PM_WAIST_AVG",1,85.2139407961772,85.2139407961772,0,0.0334075635886765,1
"md$PM_WAIST_HIP_RATIO",1,77.1992318730409,77.1992318730409,0,0.030265449804327,1
"md$PM_STANDING_HEIGHT_AVG",1,88.0633042065921,88.0633042065921,0,0.034524637725036,1
"md$A_SLE_LIGHT_EXP",1,66.4824711840567,66.4824711840567,0,0.0260640144424979,1
"md$NUT_VEG_DAY_QTY",1,54.6524096176073,54.6524096176073,0,0.0214261168127612,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,63.3906951261886,63.3906951261886,0,0.0248519040261726,1
"md$PM_BIOIMPED_FFM",1,83.8382766130455,83.8382766130455,0,0.0328682435168051,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,104.120015198248,104.120015198248,0,0.0408195653914115,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,135.70503542085,135.70503542085,0,0.0532022642981562,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,82.755073937184,82.755073937184,0,0.0324435810503687,1
"md$UC_case_control:md$PM_WAIST_AVG",1,73.0043960315904,73.0043960315904,0,0.028620892073421,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,78.5491200191004,78.5491200191004,0,0.0307946645508313,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,55.3182327655318,55.3182327655318,0,0.0216871483874692,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,64.9708867056318,64.9708867056318,0,0.0254714077151148,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,76.4958324136903,76.4958324136903,0,0.0299896866845025,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,69.7365891589236,69.7365891589236,0,0.0273397699369005,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,82.1968071346064,82.1968071346064,0,0.0322247162316277,1
"md$UC_case_control:md$PM_STANDING_HEIGHT_AVG",1,116.182774079828,116.182774079828,0,0.04554869046914,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,91.2066446352767,91.2066446352767,0,0.0357569636129246,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,68.9309505928827,68.9309505928827,0,0.0270239246494624,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,91.3313456045771,91.3313456045771,0,0.0358058518056611,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,53.8779773264982,53.8779773264982,0,0.021122505739636,1
"md$UC_case_control:md$A_SLE_LIGHT_EXP",1,102.263861647275,102.263861647275,0,0.0400918726312236,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,56.9930041729017,56.9930041729017,0,0.022343731474291,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,114.959047349286,114.959047349286,0,0.0450689364736811,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,62.1504294885635,62.1504294885635,0,0.0243656660612495,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,56.5414658251243,56.5414658251243,0,0.0221667088424874,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,64.500180075393,64.500180075393,0,0.0252868702845678,1
"md$UC_case_control:md$NUT_VEG_DAY_QTY",1,106.438543169691,106.438543169691,0,0.0417285289942494,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,54.7849939813186,54.7849939813186,0,0.0214780956382933,1
"Residuals",0,-2.04564663163897e-13,-Inf,NA,-8.01982272946429e-17,NA
"Total",33,2550.7379659695,NA,NA,1,NA
