"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,0.257794892720507,0.257794892720507,0,0.00942654928458793,1
"md$A_SMK_CIG_CUR_FREQ",1,0.300288580909247,0.300288580909247,0,0.0109803769875648,1
"md$F1_SDC_AGE_CALC",1,0.179251542706362,0.179251542706362,0,0.0065545266775005,1
"md$A_HS_DENTAL_VISIT_LAST",1,0.170945145624568,0.170945145624568,0,0.0062507942775193,1
"md$PM_BIOIMPED_BMI",1,0.244218221863055,0.244218221863055,0,0.00893010361955627,1
"md$PM_BIOIMPED_WEIGHT",1,0.10852574238489,0.10852574238489,0,0.00396836123649194,1
"md$PM_WAIST_AVG",1,0.217623575286533,0.217623575286533,0,0.00795764158194881,1
"md$PM_WAIST_HIP_RATIO",1,0.158746013379834,0.158746013379834,0,0.00580471980288312,1
"md$PM_STANDING_HEIGHT_AVG",1,0.174826173645883,0.174826173645883,0,0.00639270826786924,1
"md$A_SLE_LIGHT_EXP",1,0.109843477180711,0.109843477180711,0,0.00401654563559209,1
"md$NUT_VEG_DAY_QTY",1,0.258253129157426,0.258253129157426,0,0.00944330519589025,1
"md$NUT_JUICE_DAY_QTY",1,0.145940603843348,0.145940603843348,0,0.00533647614285111,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.199275863009013,0.199275863009013,0,0.00728673762330833,1
"md$PM_BIOIMPED_FFM",1,0.200818919537482,0.200818919537482,0,0.0073431611554467,1
"md$SALT_SEASONING",1,0.1737376162838,0.1737376162838,0,0.00635290398969097,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,0.221179734013169,0.221179734013169,0,0.00808767637490646,1
"md$CASE_CONTROL:md$A_SMK_CIG_CUR_FREQ",1,0.289133868600878,0.289133868600878,0,0.010572492858362,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,0.158754989510523,0.158754989510523,0,0.00580504802481737,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,0.122871393094548,0.122871393094548,0,0.0044929254821486,1
"md$CASE_CONTROL:md$A_HS_DENTAL_VISIT_LAST",1,0.163354819752679,0.163354819752679,0,0.0059732457963901,1
"md$A_SMK_CIG_CUR_FREQ:md$A_HS_DENTAL_VISIT_LAST",1,0.16985624467508,0.16985624467508,0,0.00621097743569573,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.147544070041179,0.147544070041179,0,0.00539510861993594,1
"md$CASE_CONTROL:md$PM_BIOIMPED_BMI",1,0.193924836051225,0.193924836051225,0,0.00709107153074755,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_BMI",1,0.12939190835076,0.12939190835076,0,0.00473135518017304,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,0.109016010100385,0.109016010100385,0,0.00398628840616542,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,0.183159056329807,0.183159056329807,0,0.0066974091425598,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,0.147172221162693,0.147172221162693,0,0.00538151156321198,1
