"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,0.0631793865672483,0.0631793865672483,0,0.0231115183196085,1
"md$A_SMK_CIG_CUR_FREQ",1,0.0411185198866605,0.0411185198866605,0,0.0150414791480165,1
"md$F1_SDC_AGE_CALC",1,0.0711783850765492,0.0711783850765492,0,0.0260376151152691,1
"md$PM_BIOIMPED_WEIGHT",1,0.0552434738096459,0.0552434738096459,0,0.0202084987898934,1
"md$PM_WAIST_AVG",1,0.0199505380346104,0.0199505380346104,0,0.00729806429478644,1
"md$PM_WAIST_HIP_RATIO",1,0.0381618418000577,0.0381618418000577,0,0.0139599029650795,1
"md$PM_STANDING_HEIGHT_AVG",1,0.0416701522556106,0.0416701522556106,0,0.0152432706229481,1
"md$A_SLE_LIGHT_EXP",1,0.00364417278111656,0.00364417278111656,0,0.00133306716900373,1
"md$NUT_VEG_DAY_QTY",1,0.168461999004262,0.168461999004262,0,0.0616247290087363,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0468172057661348,0.0468172057661348,0,0.0171261034259205,1
"md$PM_BIOIMPED_FFM",1,0.0310472090984458,0.0310472090984458,0,0.0113573141627085,1
"md$UC_case_control:md$A_SMK_CIG_CUR_FREQ",1,0.0762499044313043,0.0762499044313043,0,0.0278928169278241,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,0.0439977969329522,0.0439977969329522,0,0.0160947414194343,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,0.0403935411145764,0.0403935411145764,0,0.0147762761904899,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0203121701554015,0.0203121701554015,0,0.00743035217915402,1
"md$UC_case_control:md$PM_WAIST_AVG",1,0.0286157945918785,0.0286157945918785,0,0.0104678835435733,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.0213859175454775,0.0213859175454775,0,0.00782313745018475,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0280462177406742,0.0280462177406742,0,0.0102595278353864,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,0.0966866995271245,0.0966866995271245,0,0.0353687578939237,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.0230694673117177,0.0230694673117177,0,0.00843899324395725,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.0760082787138087,0.0760082787138087,0,0.0278044283330655,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.00928430364504185,0.00928430364504185,0,0.00339627156000952,1
"md$UC_case_control:md$PM_STANDING_HEIGHT_AVG",1,0.0112514033263247,0.0112514033263247,0,0.00411585215093649,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.0370994196909913,0.0370994196909913,0,0.0135712605712394,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.075494623752421,0.075494623752421,0,0.027616529293599,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,0.100297668943313,0.100297668943313,0,0.0366896790099424,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,0.0141934067535532,0.0141934067535532,0,0.00519206022763836,1
