"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,0.130889469923462,0.130889469923462,0,0.0280287969607139,1
"md$A_SMK_CIG_CUR_FREQ",1,0.130079879604372,0.130079879604372,0,0.0278554305112325,1
"md$F1_SDC_AGE_CALC",1,0.0347458156384002,0.0347458156384002,0,0.00744050237450421,1
"md$A_HS_DENTAL_VISIT_LAST",1,0.0349719297088355,0.0349719297088355,0,0.00748892265899231,1
"md$PM_BIOIMPED_BMI",1,0.0583765856483035,0.0583765856483035,0,0.0125008181892157,1
"md$PM_BIOIMPED_WEIGHT",1,0.0504587900306454,0.0504587900306454,0,0.0108052938214149,1
"md$PM_WAIST_AVG",1,0.09851148446859,0.09851148446859,0,0.0210953440187604,1
"md$PM_WAIST_HIP_RATIO",1,0.065088978973373,0.065088978973373,0,0.0139382165508933,1
"md$PM_STANDING_HEIGHT_AVG",1,0.102969921564571,0.102969921564571,0,0.0220500780259991,1
"md$A_SLE_LIGHT_EXP",1,0.0404556705032306,0.0404556705032306,0,0.00866321618620395,1
"md$NUT_VEG_DAY_QTY",1,0.0961095139282776,0.0961095139282776,0,0.0205809837373764,1
"md$NUT_JUICE_DAY_QTY",1,0.0420745367775951,0.0420745367775951,0,0.00900988176699698,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.122502459906948,0.122502459906948,0,0.0262327945703168,1
"md$PM_BIOIMPED_FFM",1,0.113614507214145,0.113614507214145,0,0.0243295198334822,1
"md$SALT_SEASONING",1,0.0550516176781819,0.0550516176781819,0,0.0117888063506017,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,0.0272938622832397,0.0272938622832397,0,0.00584473391677692,1
"md$Crohn_case_control:md$A_SMK_CIG_CUR_FREQ",1,0.0978454664848383,0.0978454664848383,0,0.0209527222872363,1
"md$Crohn_case_control:md$F1_SDC_AGE_CALC",1,0.0404980047119683,0.0404980047119683,0,0.00867228167437419,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,0.0704635828171567,0.0704635828171567,0,0.0150891393865482,1
"md$Crohn_case_control:md$A_HS_DENTAL_VISIT_LAST",1,0.0325903036379724,0.0325903036379724,0,0.00697891896186069,1
"md$A_SMK_CIG_CUR_FREQ:md$A_HS_DENTAL_VISIT_LAST",1,0.0449534776570526,0.0449534776570526,0,0.00962638093548929,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.0495196979779939,0.0495196979779939,0,0.0106041957461718,1
"md$Crohn_case_control:md$PM_BIOIMPED_BMI",1,0.0533420185214195,0.0533420185214195,0,0.0114227111431177,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,0.0946370954297469,0.0946370954297469,0,0.0202656786241335,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,0.0518305072583332,0.0518305072583332,0,0.0110990346676789,1
"md$Crohn_case_control:md$PM_BIOIMPED_WEIGHT",1,0.0866348030505251,0.0866348030505251,0,0.0185520600385542,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0445919256874403,0.0445919256874403,0,0.00954895784902607,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,0.0883244898889002,0.0883244898889002,0,0.0189138912030298,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,0.0534131053823919,0.0534131053823919,0,0.0114379337518878,1
"md$Crohn_case_control:md$PM_WAIST_AVG",1,0.040466842195273,0.040466842195273,0,0.00866560850308128,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.0298349889633056,0.0298349889633056,0,0.00638889322774876,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,0.0294950676470851,0.0294950676470851,0,0.00631610215020421,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,0.054830321244296,0.054830321244296,0,0.0117414177194373,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0327045755483129,0.0327045755483129,0,0.00700338925863183,1
