"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,0.0627023496285413,0.0627023496285413,0,0.0226175954388872,1
"md$F1_SDC_AGE_CALC",1,0.0138696330863343,0.0138696330863343,0,0.00500296642615324,1
"md$PM_BIOIMPED_WEIGHT",1,0.0193357110760922,0.0193357110760922,0,0.00697465554693021,1
"md$PM_WAIST_AVG",1,0.0337885590815645,0.0337885590815645,0,0.0121879955742823,1
"md$PM_WAIST_HIP_RATIO",1,0.180688302127849,0.180688302127849,0,0.0651767428537779,1
"md$PM_STANDING_HEIGHT_AVG",1,0.105884048234306,0.105884048234306,0,0.0381938249616254,1
"md$A_SLE_LIGHT_EXP",1,0.0299408441317173,0.0299408441317173,0,0.0108000721453302,1
"md$NUT_VEG_DAY_QTY",1,0.0410940041013393,0.0410940041013393,0,0.014823169550013,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.00822438629655931,0.00822438629655931,0,0.00296664866772447,1
"md$PM_BIOIMPED_FFM",1,0.0518329268198185,0.0518329268198185,0,0.0186968459103878,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,0.015819207254663,0.015819207254663,0,0.0057062045038104,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,0.0976160266620472,0.0976160266620472,0,0.0352114364529144,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0288533560431187,0.0288533560431187,0,0.0104078003121653,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,-0.00486133866214111,-0.00486133866214111,0,-0.00175355137093108,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.141919581895739,0.141919581895739,0,0.0511923350112027,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.00832291511786909,0.00832291511786909,0,0.00300218936169618,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO",1,0.0306459249497045,0.0306459249497045,0,0.0110544044436799,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,-0.00690740803785683,-0.00690740803785683,0,-0.00249159659019301,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.0199749925701745,0.0199749925701745,0,0.00720525312884507,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.0104094231505718,0.0104094231505718,0,0.00375482135783715,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG",1,0.0556086679395699,0.0556086679395699,0,0.0200588073940391,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.0173659085787264,0.0173659085787264,0,0.0062641208342143,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.0320205159175422,0.0320205159175422,0,0.011550238213685,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,0.0299521437425567,0.0299521437425567,0,0.0108041480695674,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,0.0269796937239284,0.0269796937239284,0,0.0097319446771598,1
"md$CASE_CONTROL:md$A_SLE_LIGHT_EXP",1,0.0892755849328459,0.0892755849328459,0,0.0322029250027021,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,0.0471327690180778,0.0471327690180778,0,0.0170014346811679,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,0.0391637081914662,0.0391637081914662,0,0.0141268854039564,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,0.0441436772306909,0.0441436772306909,0,0.0159232283750673,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,0.0289013753344813,0.0289013753344813,0,0.010425121527586,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,0.0183920528187889,0.0183920528187889,0,0.00663426510187204,1
"md$CASE_CONTROL:md$NUT_VEG_DAY_QTY",1,0.0509763925801299,0.0509763925801299,0,0.0183878822905618,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,0.17767759596526,0.17767759596526,0,0.0640907399468022,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,0.0155863183355174,0.0155863183355174,0,0.00562219828416089,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,0.0074831631362311,0.0074831631362311,0,0.00269927933197304,1
"md$PM_WAIST_HIP_RATIO:md$NUT_VEG_DAY_QTY",1,0.0433351351197193,0.0433351351197193,0,0.0156315761727241,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_VEG_DAY_QTY",1,0.0660330419808282,0.0660330419808282,0,0.0238190217427131,1
"md$A_SLE_LIGHT_EXP:md$NUT_VEG_DAY_QTY",1,0.0778884069044687,0.0778884069044687,0,0.028095414082263,1
"md$CASE_CONTROL:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0415993444688734,0.0415993444688734,0,0.0150054527349261,1
"md$F1_SDC_AGE_CALC:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0354799933032912,0.0354799933032912,0,0.0127981190411881,1
"md$PM_BIOIMPED_WEIGHT:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0335477397315693,0.0335477397315693,0,0.0121011287397169,1
"md$PM_WAIST_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0202385748902003,0.0202385748902003,0,0.00730033087815596,1
"md$PM_WAIST_HIP_RATIO:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.087922393117742,0.087922393117742,0,0.0317148101998829,1
"md$PM_STANDING_HEIGHT_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0517606876496239,0.0517606876496239,0,0.0186707882532828,1
"md$A_SLE_LIGHT_EXP:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0194031516668924,0.0194031516668924,0,0.00699898229079094,1
"md$NUT_VEG_DAY_QTY:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.037083955477224,0.037083955477224,0,0.0133766901436141,1
"md$CASE_CONTROL:md$PM_BIOIMPED_FFM",1,0.0464249085272783,0.0464249085272783,0,0.0167460997168018,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_FFM",1,0.0361469784650863,0.0361469784650863,0,0.0130387097151037,1
"md$PM_BIOIMPED_WEIGHT:md$PM_BIOIMPED_FFM",1,0.0267967990823843,0.0267967990823843,0,0.00966597207749025,1
"md$PM_WAIST_AVG:md$PM_BIOIMPED_FFM",1,0.0896707518377631,0.0896707518377631,0,0.0323454671121956,1
"md$PM_WAIST_HIP_RATIO:md$PM_BIOIMPED_FFM",1,0.0292110070505895,0.0292110070505895,0,0.0105368099241369,1
"md$PM_STANDING_HEIGHT_AVG:md$PM_BIOIMPED_FFM",1,0.0216552067266877,0.0216552067266877,0,0.00781132936470926,1
"md$A_SLE_LIGHT_EXP:md$PM_BIOIMPED_FFM",1,0.00872580362157338,0.00872580362157338,0,0.00314751675752337,1
"md$NUT_VEG_DAY_QTY:md$PM_BIOIMPED_FFM",1,0.00527508711290547,0.00527508711290547,0,0.00190279609825459,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY:md$PM_BIOIMPED_FFM",1,0.0691518538531763,0.0691518538531763,0,0.0249440198583604,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0139527719149575,0.0139527719149575,0,0.00503295573918857,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.0130674396939674,0.0130674396939674,0,0.00471360429347735,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0111933007838867,0.0111933007838867,0,0.00403757674561672,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.00554372985057361,0.00554372985057361,0,0.00199969920944848,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.0259728532974357,0.0259728532974357,0,0.00936876355918201,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.0289089542000678,0.0289089542000678,0,0.0104278553281012,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.0310204815569741,0.0310204815569741,0,0.0111895121368105,1
"md$CASE_CONTROL:md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.0438801189729308,0.0438801189729308,0,0.0158281593053449,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.03808347083217,0.03808347083217,0,0.0137372290080594,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.0630748967385326,0.0630748967385326,0,0.0227519782788545,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.0445043856864142,0.0445043856864142,0,0.0160533408504573,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.035915626292518,0.035915626292518,0,0.0129552578209712,1
"Residuals",0,3.1082119799971e-17,Inf,NA,1.12117458944277e-17,NA
"Total",67,2.77228186338213,NA,NA,1,NA
