"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,0.046672941009045,0.046672941009045,0,0.0106806855468716,1
"md$F1_SDC_AGE_CALC",1,0.0559564212022818,0.0559564212022818,0,0.0128051270451127,1
"md$PM_BIOIMPED_WEIGHT",1,0.0559203908276547,0.0559203908276547,0,0.0127968818157955,1
"md$PM_WAIST_AVG",1,0.0359790183794375,0.0359790183794375,0,0.00823347689877556,1
"md$PM_WAIST_HIP_RATIO",1,0.227799821686008,0.227799821686008,0,0.0521299538974877,1
"md$PM_STANDING_HEIGHT_AVG",1,0.130080687751286,0.130080687751286,0,0.0297678031757851,1
"md$A_SLE_LIGHT_EXP",1,0.075158709886227,0.075158709886227,0,0.0171993992460808,1
"md$NUT_VEG_DAY_QTY",1,0.0456386708735542,0.0456386708735542,0,0.0104440020671321,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0478733882477234,0.0478733882477234,0,0.0109553971719533,1
"md$PM_BIOIMPED_FFM",1,0.0539213047522042,0.0539213047522042,0,0.0123394088284198,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,0.0457873834543799,0.0457873834543799,0,0.0104780336125699,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,0.102573253564687,0.102573253564687,0,0.0234729726295078,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0585316812971206,0.0585316812971206,0,0.0133944523089535,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,0.0422999736757278,0.0422999736757278,0,0.00967997104326125,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.0381536434256955,0.0381536434256955,0,0.00873112041125385,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0566393739943392,0.0566393739943392,0,0.0129614146896798,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO",1,0.0875769168499096,0.0875769168499096,0,0.0200411949582765,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.0343378113908208,0.0343378113908208,0,0.00785790134292307,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.0355814235364129,0.0355814235364129,0,0.00814249087129167,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.0431904329162089,0.0431904329162089,0,0.00988374468456751,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG",1,0.191826939910933,0.191826939910933,0,0.0438978813057926,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.0318260788808042,0.0318260788808042,0,0.00728311379927668,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.0669682547642083,0.0669682547642083,0,0.0153250867696699,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,0.022077005003772,0.022077005003772,0,0.00505212534638225,1
