"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,0.0807646583632408,0.0807646583632408,0,0.0385566129034401,1
"md$F1_SDC_AGE_CALC",1,0.0517825001652534,0.0517825001652534,0,0.0247206866778837,1
"md$A_HS_DENTAL_VISIT_LAST",1,0.0619064768998702,0.0619064768998702,0,0.0295538186431607,1
"md$PM_BIOIMPED_BMI",1,0.0429212085152572,0.0429212085152572,0,0.0204903537711715,1
"md$PM_BIOIMPED_WEIGHT",1,0.0656242024116318,0.0656242024116318,0,0.0313286407787729,1
"md$PM_WAIST_AVG",1,0.0457216961500758,0.0457216961500758,0,0.0218272914845825,1
"md$PM_WAIST_HIP_RATIO",1,0.0965167354174814,0.0965167354174814,0,0.0460765696483069,1
"md$PM_STANDING_HEIGHT_AVG",1,0.0382506076849791,0.0382506076849791,0,0.0182606340906945,1
"md$A_SLE_LIGHT_EXP",1,0.063662197324341,0.063662197324341,0,0.0303919901174772,1
"md$NUT_VEG_DAY_QTY",1,0.09118284687023,0.09118284687023,0,0.0435301999842204,1
"md$NUT_JUICE_DAY_QTY",1,0.0528156116688291,0.0528156116688291,0,0.025213888545343,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.039873267094384,0.039873267094384,0,0.0190352829530863,1
"md$PM_BIOIMPED_FFM",1,0.0990086268287171,0.0990086268287171,0,0.0472661851866814,1
"md$SALT_SEASONING",1,0.113928206266713,0.113928206266713,0,0.0543887120533925,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,0.0741329754489268,0.0741329754489268,0,0.03539068319845,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,0.0659544092979119,0.0659544092979119,0,0.0314862797677857,1
"md$UC_case_control:md$A_HS_DENTAL_VISIT_LAST",1,0.0194738902932665,0.0194738902932665,0,0.00929673033945843,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.0343338712467605,0.0343338712467605,0,0.0163908052106663,1
"md$UC_case_control:md$PM_BIOIMPED_BMI",1,0.12056399805647,0.12056399805647,0,0.0575566033133888,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,0.0444222396566416,0.0444222396566416,0,0.0212069379535013,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,0.0561403088056283,0.0561403088056283,0,0.0268010810516024,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,0.165789900049174,0.165789900049174,0,0.0791472053375935,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0359132540246949,0.0359132540246949,0,0.0171447940422825,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,0.0219397984994008,0.0219397984994008,0,0.0104739416356633,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,0.0287609457657767,0.0287609457657767,0,0.0137303206018711,1
"md$UC_case_control:md$PM_WAIST_AVG",1,0.0298238657913921,0.0298238657913921,0,0.0142377528972031,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.0409437629689777,0.0409437629689777,0,0.019546331917917,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,0.0366954795152294,0.0366954795152294,0,0.0175182242783902,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,0.0488560595635521,0.0488560595635521,0,0.0233236196964667,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0992237342422946,0.0992237342422946,0,0.0473688763073528,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,0.0357385760266982,0.0357385760266982,0,0.0170614037068561,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.0675834349412121,0.0675834349412121,0,0.0322639678359506,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,0.124453800541825,0.124453800541825,0,0.0594135740693865,1
"Residuals",0,2.16604401895139e-16,Inf,NA,1.03405774831497e-16,NA
"Total",33,2.09470314639684,NA,NA,1,NA
