"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,0.211677631996155,0.211677631996155,0,0.0137470477352627,1
"md$A_SMK_CIG_CUR_FREQ",1,0.167577016051797,0.167577016051797,0,0.0108830074168573,1
"md$F1_SDC_AGE_CALC",1,0.0238770312304501,0.0238770312304501,0,0.00155065362837826,1
"md$SDC_GENDER",1,0.104971819588869,0.104971819588869,0,0.00681721824425826,1
"md$PM_BIOIMPED_WEIGHT",1,0.0956227280881136,0.0956227280881136,0,0.0062100572233689,1
"md$PM_WAIST_AVG",1,0.0946223474427911,0.0946223474427911,0,0.00614508918515439,1
"md$PM_WAIST_HIP_RATIO",1,0.0495201777364994,0.0495201777364994,0,0.0032160046424495,1
"md$PM_STANDING_HEIGHT_AVG",1,0.0715391496399899,0.0715391496399899,0,0.00464598973338339,1
"md$A_SLE_LIGHT_EXP",1,0.0450298637465304,0.0450298637465304,0,0.00292438875377808,1
"md$NUT_VEG_DAY_QTY",1,0.0216733547955935,0.0216733547955935,0,0.0014075395692433,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.05742733100925,0.05742733100925,0,0.00372952141068563,1
"md$PM_BIOIMPED_FFM",1,0.137835318462175,0.137835318462175,0,0.0089514828970643,1
"md$CASE_CONTROL:md$A_SMK_CIG_CUR_FREQ",1,0.103188266439153,0.103188266439153,0,0.00670138838516399,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,0.0366440553774965,0.0366440553774965,0,0.00237978653548621,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,0.0317624182620386,0.0317624182620386,0,0.00206275682469632,1
"md$CASE_CONTROL:md$SDC_GENDER",1,0.0647069383600842,0.0647069383600842,0,0.00420228326465282,1
"md$F1_SDC_AGE_CALC:md$SDC_GENDER",1,0.0719612145723831,0.0719612145723831,0,0.00467340003043876,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,0.0474061967821398,0.0474061967821398,0,0.00307871570541365,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,0.0676656383704028,0.0676656383704028,0,0.00439443105982898,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0920059640418049,0.0920059640418049,0,0.00597517256634151,1
"md$SDC_GENDER:md$PM_BIOIMPED_WEIGHT",1,0.0559788769953464,0.0559788769953464,0,0.00363545400127778,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,0.0354869995586038,0.0354869995586038,0,0.00230464349167622,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_AVG",1,0.0274319494978663,0.0274319494978663,0,0.00178152181532971,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.0337901080959204,0.0337901080959204,0,0.00219444173006784,1
"md$SDC_GENDER:md$PM_WAIST_AVG",1,0.0246043877270028,0.0246043877270028,0,0.00159789057252003,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0267141007008349,0.0267141007008349,0,0.00173490233273993,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO",1,0.152839069327015,0.152839069327015,0,0.00992587625833684,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_HIP_RATIO",1,0.0612271234521402,0.0612271234521402,0,0.00397629253904675,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.0648955312086059,0.0648955312086059,0,0.00421453110995753,1
"md$SDC_GENDER:md$PM_WAIST_HIP_RATIO",1,0.226618875302036,0.226618875302036,0,0.0147173816482661,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.0522684931846418,0.0522684931846418,0,0.00339448936613471,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.0780557957866614,0.0780557957866614,0,0.00506920235536575,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG",1,0.0210297526975474,0.0210297526975474,0,0.00136574191362461,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_STANDING_HEIGHT_AVG",1,0.0780155184745679,0.0780155184745679,0,0.00506658661308455,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.0372695031228099,0.0372695031228099,0,0.00242040518720512,1
"md$SDC_GENDER:md$PM_STANDING_HEIGHT_AVG",1,0.109110790567385,0.109110790567385,0,0.00708601675206447,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.124612686705023,0.124612686705023,0,0.00809276132012097,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,0.0460541423582135,0.0460541423582135,0,0.00299090880521777,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,0.070963638171015,0.070963638171015,0,0.0046086141091307,1
"md$CASE_CONTROL:md$A_SLE_LIGHT_EXP",1,0.0529741263502417,0.0529741263502417,0,0.00344031552508977,1
"md$A_SMK_CIG_CUR_FREQ:md$A_SLE_LIGHT_EXP",1,0.0387079878685346,0.0387079878685346,0,0.00251382515926095,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,0.0724106488394214,0.0724106488394214,0,0.00470258778289316,1
"md$SDC_GENDER:md$A_SLE_LIGHT_EXP",1,0.0991213849550934,0.0991213849550934,0,0.00643727160830943,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,0.0256553141204714,0.0256553141204714,0,0.00166614121932206,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,0.187272543134686,0.187272543134686,0,0.0121621002923131,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,0.0901639192243868,0.0901639192243868,0,0.00585554406428041,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,0.0201256547051964,0.0201256547051964,0,0.00130702679034493,1
"md$CASE_CONTROL:md$NUT_VEG_DAY_QTY",1,0.111870961150588,0.111870961150588,0,0.007265271387554,1
"md$A_SMK_CIG_CUR_FREQ:md$NUT_VEG_DAY_QTY",1,0.0273042072534904,0.0273042072534904,0,0.00177322581015105,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,0.0628216588787995,0.0628216588787995,0,0.00407984696007434,1
"md$SDC_GENDER:md$NUT_VEG_DAY_QTY",1,0.152024808036827,0.152024808036827,0,0.00987299542855986,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,0.0603220935224855,0.0603220935224855,0,0.00391751689266655,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,0.0478256958795211,0.0478256958795211,0,0.0031059593686303,1
"md$PM_WAIST_HIP_RATIO:md$NUT_VEG_DAY_QTY",1,0.0239980520069083,0.0239980520069083,0,0.00155851311912956,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_VEG_DAY_QTY",1,0.089061698320418,0.089061698320418,0,0.00578396218177929,1
"md$A_SLE_LIGHT_EXP:md$NUT_VEG_DAY_QTY",1,0.0437808657105112,0.0437808657105112,0,0.00284327467733793,1
"md$CASE_CONTROL:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0855810440918647,0.0855810440918647,0,0.00555791694790812,1
"md$A_SMK_CIG_CUR_FREQ:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0544167898378163,0.0544167898378163,0,0.00353400687850575,1
"md$F1_SDC_AGE_CALC:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0857349390564579,0.0857349390564579,0,0.00556791139750834,1
"md$SDC_GENDER:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0796057266540133,0.0796057266540133,0,0.00516986000832093,1
"md$PM_BIOIMPED_WEIGHT:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0314069526086627,0.0314069526086627,0,0.00203967170578638,1
"md$PM_WAIST_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0321190786092096,0.0321190786092096,0,0.00208591953098512,1
"md$PM_WAIST_HIP_RATIO:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.122951374914807,0.122951374914807,0,0.00798487022049047,1
"md$PM_STANDING_HEIGHT_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.042083728068036,0.042083728068036,0,0.00273305692799707,1
"md$A_SLE_LIGHT_EXP:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0463594411544266,0.0463594411544266,0,0.00301073592197773,1
"md$NUT_VEG_DAY_QTY:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0284350387768946,0.0284350387768946,0,0.00184666576120389,1
"md$CASE_CONTROL:md$PM_BIOIMPED_FFM",1,0.139882532012501,0.139882532012501,0,0.00908443573735837,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_FFM",1,0.0544113874157404,0.0544113874157404,0,0.00353365602729174,1
"md$SDC_GENDER:md$PM_BIOIMPED_FFM",1,0.0608434631014854,0.0608434631014854,0,0.00395137636294991,1
