"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,0.00284436453575238,0.00284436453575238,0,0.00383100164045646,1
"md$A_SMK_CIG_CUR_FREQ",1,0.00495798794013698,0.00495798794013698,0,0.00667778679324726,1
"md$F1_SDC_AGE_CALC",1,0.0125955325303325,0.0125955325303325,0,0.0169645997127308,1
"md$SDC_GENDER",1,0.0310356499916846,0.0310356499916846,0,0.0418011209661373,1
"md$A_HS_DENTAL_VISIT_LAST",1,0.00855399198906689,0.00855399198906689,0,0.0115211524158237,1
"md$PM_BIOIMPED_BMI",1,0.00450641206071223,0.00450641206071223,0,0.0060695708233455,1
"md$PM_BIOIMPED_WEIGHT",1,0.00686200623723497,0.00686200623723497,0,0.00924226020302139,1
"md$PM_WAIST_AVG",1,0.00774452719926458,0.00774452719926458,0,0.0104309050517304,1
"md$PM_WAIST_HIP_RATIO",1,0.0148526388249995,0.0148526388249995,0,0.0200046382903693,1
"md$PM_STANDING_HEIGHT_AVG",1,0.00483378053488064,0.00483378053488064,0,0.00651049502480027,1
"md$A_SLE_LIGHT_EXP",1,0.0025454243188935,0.0025454243188935,0,0.00342836672963908,1
"md$NUT_VEG_DAY_QTY",1,0.00430422254114193,0.00430422254114193,0,0.00579724694522767,1
"md$NUT_JUICE_DAY_QTY",1,0.00306664492324814,0.00306664492324814,0,0.00413038539328907,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.00224464997537274,0.00224464997537274,0,0.00302326148066281,1
"md$PM_BIOIMPED_FFM",1,0.00588433465390452,0.00588433465390452,0,0.0079254594229217,1
"md$SALT_SEASONING",1,0.013735118883639,0.013735118883639,0,0.0184994793436935,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,0.00422649305347791,0.00422649305347791,0,0.00569255509191221,1
"md$UC_case_control:md$A_SMK_CIG_CUR_FREQ",1,0.0122573541142862,0.0122573541142862,0,0.016509115877816,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,0.00333995626265773,0.00333995626265773,0,0.00449850142640385,1
"md$UC_case_control:md$SDC_GENDER",1,0.000311545375149824,0.000311545375149824,0,0.000419612475220196,1
"md$F1_SDC_AGE_CALC:md$SDC_GENDER",1,0.00861335268887409,0.00861335268887409,0,0.0116011038199006,1
"md$UC_case_control:md$A_HS_DENTAL_VISIT_LAST",1,0.00602385449703552,0.00602385449703552,0,0.00811337512120603,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.00157353259730966,0.00157353259730966,0,0.00211935069708302,1
"md$SDC_GENDER:md$A_HS_DENTAL_VISIT_LAST",1,0.0113747412651932,0.0113747412651932,0,0.015320347268778,1
"md$UC_case_control:md$PM_BIOIMPED_BMI",1,0.0325181848838013,0.0325181848838013,0,0.0437979091880206,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,0.0124964297283212,0.0124964297283212,0,0.0168311206905074,1
"md$SDC_GENDER:md$PM_BIOIMPED_BMI",1,0.0264891755087464,0.0264891755087464,0,0.0356775910938235,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,0.00251702333459178,0.00251702333459178,0,0.00339011417231639,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,0.00408687159902421,0.00408687159902421,0,0.00550450253594348,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.00107108329962252,0.00107108329962252,0,0.00144261462493379,1
"md$SDC_GENDER:md$PM_BIOIMPED_WEIGHT",1,0.00609034011698106,0.00609034011698106,0,0.00820292289747612,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,0.0109751560867903,0.0109751560867903,0,0.0147821562406161,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,0.00393694076522311,0.00393694076522311,0,0.00530256454134845,1
"md$UC_case_control:md$PM_WAIST_AVG",1,0.00793435662721242,0.00793435662721242,0,0.0106865814394557,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.00531718381040208,0.00531718381040208,0,0.00716157849819017,1
"md$SDC_GENDER:md$PM_WAIST_AVG",1,0.00544491269908992,0.00544491269908992,0,0.00733361326235142,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,0.0105230423524948,0.0105230423524948,0,0.014173215847784,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,0.00362839051095204,0.00362839051095204,0,0.00488698611762048,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0049472542615025,0.0049472542615025,0,0.0066633298767937,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,0.0109457567479683,0.0109457567479683,0,0.0147425590251961,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.0181146892379604,0.0181146892379604,0,0.024398210325959,1
"md$SDC_GENDER:md$PM_WAIST_HIP_RATIO",1,0.0109605156989248,0.0109605156989248,0,0.0147624374776993,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,0.00339103382880002,0.00339103382880002,0,0.00456729649019473,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_HIP_RATIO",1,0.00568995689003077,0.00568995689003077,0,0.0076636569981943,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.00276245269377773,0.00276245269377773,0,0.00372067668138974,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.00465289637630978,0.00465289637630978,0,0.00626686679096904,1
"md$UC_case_control:md$PM_STANDING_HEIGHT_AVG",1,0.00849607167272037,0.00849607167272037,0,0.0114431410272867,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.0230455527516927,0.0230455527516927,0,0.0310394639249737,1
"md$SDC_GENDER:md$PM_STANDING_HEIGHT_AVG",1,0.00462160224169694,0.00462160224169694,0,0.00622471752369634,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_STANDING_HEIGHT_AVG",1,0.020574237557418,0.020574237557418,0,0.0277109128745202,1
"md$PM_BIOIMPED_BMI:md$PM_STANDING_HEIGHT_AVG",1,0.00696835078889146,0.00696835078889146,0,0.00938549295210426,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.00716185754541626,0.00716185754541626,0,0.00964612223937309,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,0.0107713744012119,0.0107713744012119,0,0.0145076879149382,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,0.0123621974844805,0.0123621974844805,0,0.01665032672409,1
"md$UC_case_control:md$A_SLE_LIGHT_EXP",1,0.00549467137781151,0.00549467137781151,0,0.00740063195050242,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,0.00177045087068339,0.00177045087068339,0,0.00238457486889652,1
"md$SDC_GENDER:md$A_SLE_LIGHT_EXP",1,0.0101857325992509,0.0101857325992509,0,0.0137189019925181,1
