"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,0.108394228804935,0.108394228804935,0,0.00819825433811367,1
"md$A_SMK_CIG_CUR_FREQ",1,0.131613610733663,0.131613610733663,0,0.00995442162417909,1
"md$F1_SDC_AGE_CALC",1,0.13182603070576,0.13182603070576,0,0.00997048772822302,1
"md$SDC_GENDER",1,0.115337118963789,0.115337118963789,0,0.008723370665721,1
"md$A_HS_DENTAL_VISIT_LAST",1,0.0276291334606066,0.0276291334606066,0,0.00208969301916771,1
"md$PM_BIOIMPED_BMI",1,0.0523608939119755,0.0523608939119755,0,0.00396024705737674,1
"md$PM_BIOIMPED_WEIGHT",1,0.0720015718194278,0.0720015718194278,0,0.00544574379122991,1
"md$PM_WAIST_AVG",1,0.0375225994060383,0.0375225994060383,0,0.00283797224953226,1
"md$PM_WAIST_HIP_RATIO",1,0.0189755128814448,0.0189755128814448,0,0.00143518785560246,1
"md$PM_STANDING_HEIGHT_AVG",1,0.0915360197256813,0.0915360197256813,0,0.00692320595924164,1
"md$A_SLE_LIGHT_EXP",1,0.00961771783459553,0.00961771783459553,0,0.000727423386185266,1
"md$NUT_VEG_DAY_QTY",1,0.148237372611986,0.148237372611986,0,0.0112117378986459,1
"md$NUT_JUICE_DAY_QTY",1,0.122849478092174,0.122849478092174,0,0.00929155802673428,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.060703273312994,0.060703273312994,0,0.00459121190549304,1
"md$PM_BIOIMPED_FFM",1,0.208382558881381,0.208382558881381,0,0.0157607396276686,1
"md$SALT_SEASONING",1,0.145260942963853,0.145260942963853,0,0.0109866195732155,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,0.109583504437793,0.109583504437793,0,0.00828820362991443,1
"md$CASE_CONTROL:md$A_SMK_CIG_CUR_FREQ",1,0.0683462153063923,0.0683462153063923,0,0.0051692757290393,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,0.0701231285890349,0.0701231285890349,0,0.00530367021838147,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,0.0331398671065459,0.0331398671065459,0,0.00250649008038684,1
"md$CASE_CONTROL:md$SDC_GENDER",1,0.0404249896683631,0.0404249896683631,0,0.00305749070380184,1
"md$F1_SDC_AGE_CALC:md$SDC_GENDER",1,0.0340341600170235,0.0340341600170235,0,0.00257412874356753,1
"md$CASE_CONTROL:md$A_HS_DENTAL_VISIT_LAST",1,0.179262158937223,0.179262158937223,0,0.0135582566375509,1
"md$A_SMK_CIG_CUR_FREQ:md$A_HS_DENTAL_VISIT_LAST",1,0.0832264036304262,0.0832264036304262,0,0.00629471912048586,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.0106980445611518,0.0106980445611518,0,0.000809132471347985,1
"md$SDC_GENDER:md$A_HS_DENTAL_VISIT_LAST",1,0.0434624714952152,0.0434624714952152,0,0.00328722663013742,1
"md$CASE_CONTROL:md$PM_BIOIMPED_BMI",1,0.0559308301580774,0.0559308301580774,0,0.00423025447049338,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_BMI",1,0.063744416365886,0.063744416365886,0,0.00482122474382472,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,0.0534768741258502,0.0534768741258502,0,0.0040446527469648,1
"md$SDC_GENDER:md$PM_BIOIMPED_BMI",1,0.192828071969859,0.192828071969859,0,0.0145842965531116,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,0.0395268385835883,0.0395268385835883,0,0.00298956023270373,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,0.0215361304489248,0.0215361304489248,0,0.00162885678348072,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,0.016639582659169,0.016639582659169,0,0.00125851285833147,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0103805587418333,0.0103805587418333,0,0.000785119850711133,1
"md$SDC_GENDER:md$PM_BIOIMPED_WEIGHT",1,0.0505942117265756,0.0505942117265756,0,0.0038266263835622,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,0.0644303355447735,0.0644303355447735,0,0.00487310333501826,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,0.0094354155065437,0.0094354155065437,0,0.000713635190371919,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,0.0270446906220432,0.0270446906220432,0,0.00204548945695358,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_AVG",1,0.0603505651306806,0.0603505651306806,0,0.00456453528794966,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.0220486161951738,0.0220486161951738,0,0.00166761796605225,1
"md$SDC_GENDER:md$PM_WAIST_AVG",1,0.0588300823237677,0.0588300823237677,0,0.00444953557896854,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,0.126463115039435,0.126463115039435,0,0.00956487068466706,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,0.0129133509513277,0.0129133509513277,0,0.00097668424438744,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0145921024617621,0.0145921024617621,0,0.00110365439773205,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO",1,0.0386640380056797,0.0386640380056797,0,0.0029243034505046,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_HIP_RATIO",1,0.00756681694553096,0.00756681694553096,0,0.000572306206090071,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.0601049086431336,0.0601049086431336,0,0.00454595538395549,1
"md$SDC_GENDER:md$PM_WAIST_HIP_RATIO",1,0.108896336375232,0.108896336375232,0,0.00823623058105365,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,0.0549258301689708,0.0549258301689708,0,0.00415424262363274,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_HIP_RATIO",1,0.0396294515960611,0.0396294515960611,0,0.00299732123237988,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.0475008693843617,0.0475008693843617,0,0.00359266552092288,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.024525879658909,0.024525879658909,0,0.00185498251638053,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG",1,0.0843794381251892,0.0843794381251892,0,0.00638192736167088,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_STANDING_HEIGHT_AVG",1,0.0898471014470963,0.0898471014470963,0,0.00679546685581533,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.129616505607832,0.129616505607832,0,0.00980337321558736,1
"md$SDC_GENDER:md$PM_STANDING_HEIGHT_AVG",1,0.0336528839233416,0.0336528839233416,0,0.00254529142977778,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_STANDING_HEIGHT_AVG",1,0.0358245959606656,0.0358245959606656,0,0.00270954600151485,1
"md$PM_BIOIMPED_BMI:md$PM_STANDING_HEIGHT_AVG",1,0.0542524978548324,0.0542524978548324,0,0.00410331602333089,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.0159306353040982,0.0159306353040982,0,0.00120489256144589,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,0.0311379623429815,0.0311379623429815,0,0.00235507865753409,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,0.0225231225485638,0.0225231225485638,0,0.00170350662740471,1
"md$CASE_CONTROL:md$A_SLE_LIGHT_EXP",1,0.0207720969185146,0.0207720969185146,0,0.00157107011647632,1
"md$A_SMK_CIG_CUR_FREQ:md$A_SLE_LIGHT_EXP",1,0.0238065909682454,0.0238065909682454,0,0.00180058006623532,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,0.029500587723903,0.029500587723903,0,0.00223123799072022,1
"md$SDC_GENDER:md$A_SLE_LIGHT_EXP",1,0.0839053334190361,0.0839053334190361,0,0.00634606907837671,1
"md$A_HS_DENTAL_VISIT_LAST:md$A_SLE_LIGHT_EXP",1,0.0751555214546853,0.0751555214546853,0,0.0056842886064338,1
"md$PM_BIOIMPED_BMI:md$A_SLE_LIGHT_EXP",1,0.0476895659580849,0.0476895659580849,0,0.00360693733706262,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,0.0327317770742708,0.0327317770742708,0,0.00247562472976507,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,0.0442439611392347,0.0442439611392347,0,0.00334633356724016,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,0.0744655815642634,0.0744655815642634,0,0.00563210591403357,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,0.0208036458302834,0.0208036458302834,0,0.00157345627675093,1
