"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,0.0833955194237557,0.0833955194237557,0,0.0137568293218716,1
"md$A_SMK_CIG_CUR_FREQ",1,0.0657413806453853,0.0657413806453853,0,0.0108446228187307,1
"md$F1_SDC_AGE_CALC",1,0.0301872898804755,0.0301872898804755,0,0.00497966074730472,1
"md$SDC_GENDER",1,0.0207878731111047,0.0207878731111047,0,0.00342914372774721,1
"md$A_HS_DENTAL_VISIT_LAST",1,0.260292384462865,0.260292384462865,0,0.0429375334739939,1
"md$PM_BIOIMPED_BMI",1,0.0275424904695383,0.0275424904695383,0,0.00454337766713139,1
"md$PM_BIOIMPED_WEIGHT",1,0.0363274071631706,0.0363274071631706,0,0.00599252745834589,1
"md$PM_WAIST_AVG",1,0.0320689706029272,0.0320689706029272,0,0.00529006064307718,1
"md$PM_WAIST_HIP_RATIO",1,0.0140329349936567,0.0140329349936567,0,0.00231485687632354,1
"md$PM_STANDING_HEIGHT_AVG",1,0.0796714069370106,0.0796714069370106,0,0.0131425039934894,1
"md$A_SLE_LIGHT_EXP",1,0.0012910768531893,0.0012910768531893,0,0.000212974558267275,1
"md$NUT_VEG_DAY_QTY",1,0.138708865770763,0.138708865770763,0,0.0228812555521445,1
"md$NUT_JUICE_DAY_QTY",1,0.148096628402918,0.148096628402918,0,0.0244298501185813,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.116623644003168,0.116623644003168,0,0.0192381026766443,1
"md$PM_BIOIMPED_FFM",1,0.33050028532835,0.33050028532835,0,0.0545189483500818,1
"md$SALT_SEASONING",1,0.224123556849034,0.224123556849034,0,0.036971165116392,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,0.0489212867382618,0.0489212867382618,0,0.00806999940182518,1
"md$Crohn_case_control:md$A_SMK_CIG_CUR_FREQ",1,0.0917332787760077,0.0917332787760077,0,0.0151322165504461,1
"md$Crohn_case_control:md$F1_SDC_AGE_CALC",1,0.0514375474621336,0.0514375474621336,0,0.00848507888747166,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,0.0186059122402529,0.0186059122402529,0,0.00306920996278332,1
"md$Crohn_case_control:md$SDC_GENDER",1,0.0942866006380241,0.0942866006380241,0,0.0155534095989729,1
"md$F1_SDC_AGE_CALC:md$SDC_GENDER",1,0.0234632737450386,0.0234632737450386,0,0.00387047475060036,1
"md$Crohn_case_control:md$A_HS_DENTAL_VISIT_LAST",1,0.0286051434551551,0.0286051434551551,0,0.00471867168595302,1
"md$A_SMK_CIG_CUR_FREQ:md$A_HS_DENTAL_VISIT_LAST",1,0.0651747495528785,0.0651747495528785,0,0.0107511520030089,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.0334142988796264,0.0334142988796264,0,0.00551198445400037,1
"md$SDC_GENDER:md$A_HS_DENTAL_VISIT_LAST",1,0.0172966767215028,0.0172966767215028,0,0.00285323997185301,1
"md$Crohn_case_control:md$PM_BIOIMPED_BMI",1,0.0798452223100821,0.0798452223100821,0,0.0131711763782576,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,0.00737294355863716,0.00737294355863716,0,0.00121623232083463,1
"md$SDC_GENDER:md$PM_BIOIMPED_BMI",1,0.101529734606589,0.101529734606589,0,0.0167482286785769,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,0.0570485349574237,0.0570485349574237,0,0.00941066095510819,1
"md$Crohn_case_control:md$PM_BIOIMPED_WEIGHT",1,0.0405134834582199,0.0405134834582199,0,0.00668305780718526,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0402654843607664,0.0402654843607664,0,0.00664214816024954,1
"md$SDC_GENDER:md$PM_BIOIMPED_WEIGHT",1,0.0408362107592422,0.0408362107592422,0,0.00673629453295121,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,0.023252705264269,0.023252705264269,0,0.00383573961530137,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,0.0431361093557978,0.0431361093557978,0,0.00711568317000328,1
"md$Crohn_case_control:md$PM_WAIST_AVG",1,0.0978703764476387,0.0978703764476387,0,0.0161445851499063,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.0222687340608907,0.0222687340608907,0,0.00367342485311696,1
"md$SDC_GENDER:md$PM_WAIST_AVG",1,0.0417505356720254,0.0417505356720254,0,0.00688712052284618,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,0.0364533676055121,0.0364533676055121,0,0.00601330574857747,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,0.0365911435709778,0.0365911435709778,0,0.00603603311396429,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0161718628662091,0.0161718628662091,0,0.00266769196719913,1
"md$Crohn_case_control:md$PM_WAIST_HIP_RATIO",1,0.051395490645628,0.051395490645628,0,0.00847814124321348,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.0693381881270616,0.0693381881270616,0,0.0114379480593546,1
"md$SDC_GENDER:md$PM_WAIST_HIP_RATIO",1,0.0627876354162082,0.0627876354162082,0,0.0103573763903991,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,0.0710912996168962,0.0710912996168962,0,0.011727139321841,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_HIP_RATIO",1,0.00737787729324335,0.00737787729324335,0,0.00121704618404174,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.0579109845940997,0.0579109845940997,0,0.0095529296589,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.0309315764635776,0.0309315764635776,0,0.00510243740918108,1
"md$Crohn_case_control:md$PM_STANDING_HEIGHT_AVG",1,0.0353236606554268,0.0353236606554268,0,0.00582695058461372,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.0141235416523506,0.0141235416523506,0,0.00232980324691624,1
"md$SDC_GENDER:md$PM_STANDING_HEIGHT_AVG",1,0.0340825482185791,0.0340825482185791,0,0.00562221809921233,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_STANDING_HEIGHT_AVG",1,0.0925044239296637,0.0925044239296637,0,0.015259423771344,1
"md$PM_BIOIMPED_BMI:md$PM_STANDING_HEIGHT_AVG",1,0.0312497448315625,0.0312497448315625,0,0.00515492209857723,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.00379102433382039,0.00379102433382039,0,0.000625363030001984,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,0.058527106070855,0.058527106070855,0,0.00965456435169678,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,0.0889730002342883,0.0889730002342883,0,0.0146768841651856,1
"md$Crohn_case_control:md$A_SLE_LIGHT_EXP",1,0.0403841404795151,0.0403841404795151,0,0.00666172153763122,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,0.0543162733021396,0.0543162733021396,0,0.00895995020332971,1
"md$SDC_GENDER:md$A_SLE_LIGHT_EXP",1,0.0620988553229203,0.0620988553229203,0,0.010243756015478,1
"md$A_HS_DENTAL_VISIT_LAST:md$A_SLE_LIGHT_EXP",1,0.0147995503744629,0.0147995503744629,0,0.00244131687108279,1
"md$PM_BIOIMPED_BMI:md$A_SLE_LIGHT_EXP",1,0.0442193021631301,0.0442193021631301,0,0.00729436541427868,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,0.0132138624791005,0.0132138624791005,0,0.00217974361289112,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,0.0550662061197134,0.0550662061197134,0,0.00908365826157455,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,0.0264963192744512,0.0264963192744512,0,0.00437080246558918,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,0.017287678100387,0.017287678100387,0,0.0028517555696252,1
"md$Crohn_case_control:md$NUT_VEG_DAY_QTY",1,0.0188558882830492,0.0188558882830492,0,0.00311044572435741,1
