"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,0.00853852911031548,0.00853852911031548,0,0.00627575958091283,1
"md$A_SMK_CIG_CUR_FREQ",1,0.022065436960662,0.022065436960662,0,0.0162179428826455,1
"md$F1_SDC_AGE_CALC",1,0.0259422137111489,0.0259422137111489,0,0.0190673468631901,1
"md$A_HS_DENTAL_VISIT_LAST",1,0.00383243117197087,0.00383243117197087,0,0.00281681028839363,1
"md$PM_BIOIMPED_BMI",1,0.010742216071755,0.010742216071755,0,0.00789545418907187,1
"md$PM_BIOIMPED_WEIGHT",1,0.00141973974395777,0.00141973974395777,0,0.00104349884920829,1
"md$PM_WAIST_AVG",1,0.00678378859183874,0.00678378859183874,0,0.0049860374896053,1
"md$PM_WAIST_HIP_RATIO",1,0.0133919491934381,0.0133919491934381,0,0.00984298962643129,1
"md$PM_STANDING_HEIGHT_AVG",1,0.0028092765848108,0.0028092765848108,0,0.00206479877444712,1
"md$A_SLE_LIGHT_EXP",1,0.00564633898240409,0.00564633898240409,0,0.00415001992826781,1
"md$NUT_VEG_DAY_QTY",1,0.0164406505997001,0.0164406505997001,0,0.0120837639814167,1
"md$NUT_JUICE_DAY_QTY",1,0.00645705086935446,0.00645705086935446,0,0.00474588753335005,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.00487176883677892,0.00487176883677892,0,0.00358071625199135,1
"md$PM_BIOIMPED_FFM",1,0.0214153203153683,0.0214153203153683,0,0.0157401116645633,1
"md$SALT_SEASONING",1,0.00668564246353193,0.00668564246353193,0,0.00491390076709803,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,0.0109729364029334,0.0109729364029334,0,0.00806503202972767,1
"md$CASE_CONTROL:md$A_SMK_CIG_CUR_FREQ",1,0.00404729453089472,0.00404729453089472,0,0.00297473336459705,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,0.0130450684229356,0.0130450684229356,0,0.0095880346698117,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,0.00355731490867639,0.00355731490867639,0,0.00261460174604066,1
"md$CASE_CONTROL:md$A_HS_DENTAL_VISIT_LAST",1,0.0261492569311934,0.0261492569311934,0,0.0192195221916418,1
"md$A_SMK_CIG_CUR_FREQ:md$A_HS_DENTAL_VISIT_LAST",1,0.0049006881127398,0.0049006881127398,0,0.00360197171892714,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.00504346722005636,0.00504346722005636,0,0.00370691337095167,1
"md$CASE_CONTROL:md$PM_BIOIMPED_BMI",1,0.00442837748735025,0.00442837748735025,0,0.00325482669029751,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_BMI",1,0.00487853995447213,0.00487853995447213,0,0.00358569297645848,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,0.00353237213961402,0.00353237213961402,0,0.00259626898405142,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,0.00539089373764351,0.00539089373764351,0,0.00396226944788728,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,0.00610502246252329,0.00610502246252329,0,0.00448714909978833,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,0.00165325158727958,0.00165325158727958,0,0.00121512843189754,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.00549506169071778,0.00549506169071778,0,0.00403883216976642,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,0.0191510034151447,0.0191510034151447,0,0.01407585447258,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,0.000980504017753736,0.000980504017753736,0,0.00072066364171641,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,0.00145138010593565,0.00145138010593565,0,0.00106675429546382,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_AVG",1,0.020977420969885,0.020977420969885,0,0.0154182586876176,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.00937381397376519,0.00937381397376519,0,0.00688968815301935,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,0.0072657837509843,0.0072657837509843,0,0.0053403005832694,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,0.00467219346508435,0.00467219346508435,0,0.00343402974019937,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.00155211368783875,0.00155211368783875,0,0.00114079277838992,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO",1,0.00414121504544795,0.00414121504544795,0,0.00304376429034978,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_HIP_RATIO",1,0.00330959122418523,0.00330959122418523,0,0.00243252655881828,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.00260559507963476,0.00260559507963476,0,0.00191509428307061,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,0.00715390992307791,0.00715390992307791,0,0.00525807409691957,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_HIP_RATIO",1,0.00195032015329799,0.00195032015329799,0,0.00143347176425507,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.00263571255910966,0.00263571255910966,0,0.00193723042126556,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.00144478819367078,0.00144478819367078,0,0.00106190928574162,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG",1,0.00871620890488295,0.00871620890488295,0,0.00640635299561985,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_STANDING_HEIGHT_AVG",1,0.0112113455653818,0.0112113455653818,0,0.00824026110795446,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.00420513073098866,0.00420513073098866,0,0.00309074187521485,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_STANDING_HEIGHT_AVG",1,0.00906501467065818,0.00906501467065818,0,0.00666272281039239,1
"md$PM_BIOIMPED_BMI:md$PM_STANDING_HEIGHT_AVG",1,0.0121640435975926,0.0121640435975926,0,0.00894048754345847,1
