"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,0.10237398844683,0.10237398844683,0,0.0220728869987781,1
"md$A_SMK_CIG_CUR_FREQ",1,0.0732240781391042,0.0732240781391042,0,0.0157878659108177,1
"md$F1_SDC_AGE_CALC",1,0.0394561196541963,0.0394561196541963,0,0.00850714604120041,1
"md$PM_BIOIMPED_WEIGHT",1,0.0429424647846105,0.0429424647846105,0,0.00925883798238467,1
"md$PM_WAIST_AVG",1,0.0143534400924092,0.0143534400924092,0,0.00309474961374616,1
"md$PM_WAIST_HIP_RATIO",1,0.0197736616250781,0.0197736616250781,0,0.00426340523822719,1
"md$PM_STANDING_HEIGHT_AVG",1,0.0348588737951809,0.0348588737951809,0,0.00751593245373378,1
"md$A_SLE_LIGHT_EXP",1,0.00468341822687302,0.00468341822687302,0,0.00100979323808876,1
"md$NUT_VEG_DAY_QTY",1,0.128730114954605,0.128730114954605,0,0.027755539506097,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.138349873101637,0.138349873101637,0,0.0298296585060156,1
"md$PM_BIOIMPED_FFM",1,0.261149952358747,0.261149952358747,0,0.0563066211994343,1
"md$Crohn_case_control:md$A_SMK_CIG_CUR_FREQ",1,0.107901754029082,0.107901754029082,0,0.0232647302287227,1
"md$Crohn_case_control:md$F1_SDC_AGE_CALC",1,0.106233380657177,0.106233380657177,0,0.0229050117351041,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,0.0367324177283084,0.0367324177283084,0,0.00791988783488656,1
"md$Crohn_case_control:md$PM_BIOIMPED_WEIGHT",1,0.0969822184869948,0.0969822184869948,0,0.0209103658266285,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,0.0387398296856603,0.0387398296856603,0,0.00835270654173647,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0247501355558033,0.0247501355558033,0,0.00533638430636532,1
"md$Crohn_case_control:md$PM_WAIST_AVG",1,0.0805263170334181,0.0805263170334181,0,0.0173623038749689,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.0339794582927246,0.0339794582927246,0,0.00732632140794775,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0447179925785106,0.0447179925785106,0,0.00964166007374337,1
"md$Crohn_case_control:md$PM_WAIST_HIP_RATIO",1,0.0135085640505259,0.0135085640505259,0,0.0029125856316312,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.0676679390797681,0.0676679390797681,0,0.0145899050667902,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.00278956243916517,0.00278956243916517,0,0.000601458411749859,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.0812326638418301,0.0812326638418301,0,0.0175145995266337,1
"md$Crohn_case_control:md$PM_STANDING_HEIGHT_AVG",1,0.091520933394897,0.091520933394897,0,0.0197328564755242,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.0441102021461832,0.0441102021461832,0,0.00951061419250696,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.0380248891343966,0.0380248891343966,0,0.00819855799054387,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,0.00799748247304088,0.00799748247304088,0,0.00172433964506349,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,0.0975883359454666,0.0975883359454666,0,0.0210410509974596,1
"md$Crohn_case_control:md$A_SLE_LIGHT_EXP",1,0.01989430530392,0.01989430530392,0,0.00428941725876674,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,0.034639480099864,0.034639480099864,0,0.00746862891190206,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,0.0136646195923227,0.0136646195923227,0,0.00294623281478654,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,0.0332751298242044,0.0332751298242044,0,0.00717446093116519,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,0.0945778910279194,0.0945778910279194,0,0.0203919680469054,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,0.0288529606366503,0.0288529606366503,0,0.00622099567844568,1
"md$Crohn_case_control:md$NUT_VEG_DAY_QTY",1,0.0302789135071095,0.0302789135071095,0,0.00652844581351174,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,0.0715555642534889,0.0715555642534889,0,0.0154281171209949,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,0.0694018474593432,0.0694018474593432,0,0.0149637535834813,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,0.0550965992011054,0.0550965992011054,0,0.0118793946258585,1
"md$PM_WAIST_HIP_RATIO:md$NUT_VEG_DAY_QTY",1,0.108608061424135,0.108608061424135,0,0.0234170173824611,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_VEG_DAY_QTY",1,0.0664843292939148,0.0664843292939148,0,0.0143347065984082,1
"md$A_SLE_LIGHT_EXP:md$NUT_VEG_DAY_QTY",1,0.0275054551865463,0.0275054551865463,0,0.00593045961570518,1
"md$Crohn_case_control:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0161667662111613,0.0161667662111613,0,0.00348572141350109,1
"md$F1_SDC_AGE_CALC:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0160335716713647,0.0160335716713647,0,0.00345700329798767,1
"md$PM_BIOIMPED_WEIGHT:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.029827896138789,0.029827896138789,0,0.00643120182061411,1
"md$PM_WAIST_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0583967784138784,0.0583967784138784,0,0.012590947276531,1
"md$PM_WAIST_HIP_RATIO:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0263714006926192,0.0263714006926192,0,0.00568594577899059,1
"md$PM_STANDING_HEIGHT_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.314327819023417,0.314327819023417,0,0.0677723173155429,1
