"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,0.0997386169349948,0.0997386169349948,0,0.0215999737262714,1
"md$A_SMK_CIG_CUR_FREQ",1,0.0732932741771914,0.0732932741771914,0,0.0158728168205055,1
"md$F1_SDC_AGE_CALC",1,0.0388185602288337,0.0388185602288337,0,0.00840677269047129,1
"md$A_HS_DENTAL_VISIT_LAST",1,0.170545002592167,0.170545002592167,0,0.0369342155359806,1
"md$PM_BIOIMPED_BMI",1,0.0753933021234295,0.0753933021234295,0,0.0163276110602606,1
"md$PM_BIOIMPED_WEIGHT",1,0.0229087334579707,0.0229087334579707,0,0.00496124827073579,1
"md$PM_WAIST_AVG",1,0.0337433013169795,0.0337433013169795,0,0.00730764516575813,1
"md$PM_WAIST_HIP_RATIO",1,0.00820195650243449,0.00820195650243449,0,0.00177626330102484,1
"md$PM_STANDING_HEIGHT_AVG",1,0.019143478101977,0.019143478101977,0,0.00414582271881367,1
"md$A_SLE_LIGHT_EXP",1,0.012590590576584,0.012590590576584,0,0.0027266913659902,1
"md$NUT_VEG_DAY_QTY",1,0.154258398832967,0.154258398832967,0,0.0334070941049887,1
"md$NUT_JUICE_DAY_QTY",1,0.0270703168904217,0.0270703168904217,0,0.00586250493102429,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0932404272623316,0.0932404272623316,0,0.0201926880578794,1
"md$PM_BIOIMPED_FFM",1,0.257316861817046,0.257316861817046,0,0.0557260329587013,1
"md$SALT_SEASONING",1,0.150110366805625,0.150110366805625,0,0.0325087722156374,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,0.0222582232351043,0.0222582232351043,0,0.00482037000157206,1
"md$Crohn_case_control:md$A_SMK_CIG_CUR_FREQ",1,0.125680669245368,0.125680669245368,0,0.0272181351318463,1
"md$Crohn_case_control:md$F1_SDC_AGE_CALC",1,0.0766693092652824,0.0766693092652824,0,0.0166039505723327,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,0.0131131521312442,0.0131131521312442,0,0.00283986032900456,1
"md$Crohn_case_control:md$A_HS_DENTAL_VISIT_LAST",1,0.0359341997051852,0.0359341997051852,0,0.00778211883580126,1
"md$A_SMK_CIG_CUR_FREQ:md$A_HS_DENTAL_VISIT_LAST",1,0.0461148477237625,0.0461148477237625,0,0.00998689905509194,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.0393281759697612,0.0393281759697612,0,0.00851713803293141,1
"md$Crohn_case_control:md$PM_BIOIMPED_BMI",1,0.0881358089209698,0.0881358089209698,0,0.0190872022847218,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,0.0114417348675235,0.0114417348675235,0,0.00247788850613948,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,0.0804994543365833,0.0804994543365833,0,0.0174334290175955,1
"md$Crohn_case_control:md$PM_BIOIMPED_WEIGHT",1,0.0920267632722722,0.0920267632722722,0,0.0199298499405744,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0174148708236102,0.0174148708236102,0,0.00377146549446895,1
