"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,0.00232716208101346,0.00232716208101346,0,0.0041466175411712,1
"md$A_SMK_CIG_CUR_FREQ",1,0.0124666001294302,0.0124666001294302,0,0.022213417448324,1
"md$F1_SDC_AGE_CALC",1,0.0125587568829604,0.0125587568829604,0,0.0223776255255539,1
"md$PM_BIOIMPED_WEIGHT",1,0.00444989408148821,0.00444989408148821,0,0.00792897452446339,1
"md$PM_WAIST_AVG",1,0.00405559235057799,0.00405559235057799,0,0.00722639412095558,1
"md$PM_WAIST_HIP_RATIO",1,0.00319217548726353,0.00319217548726353,0,0.00568792821865642,1
"md$PM_STANDING_HEIGHT_AVG",1,0.00752411919400355,0.00752411919400355,0,0.0134067347032962,1
"md$A_SLE_LIGHT_EXP",1,0.00253268089528925,0.00253268089528925,0,0.00451281804231788,1
"md$NUT_VEG_DAY_QTY",1,0.0156940084494472,0.0156940084494472,0,0.0279641247417655,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0151459583329602,0.0151459583329602,0,0.0269875901698905,1
"md$PM_BIOIMPED_FFM",1,0.00192399399483205,0.00192399399483205,0,0.00342823876049246,1
"md$CASE_CONTROL:md$A_SMK_CIG_CUR_FREQ",1,0.00677597069544164,0.00677597069544164,0,0.0120736579430446,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,0.012538593534372,0.012538593534372,0,0.0223416977766329,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,0.00284265251389768,0.00284265251389768,0,0.00506513614747848,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,0.0103413955575886,0.0103413955575886,0,0.0184266547522175,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,0.00205196497091577,0.00205196497091577,0,0.00365626185287563,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.00171081535562508,0.00171081535562508,0,0.00304838971948639,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,0.00510049409794029,0.00510049409794029,0,0.00908823603981586,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.0101517825955667,0.0101517825955667,0,0.018088795846399,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.00333844676673198,0.00333844676673198,0,0.00594855942185534,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO",1,0.0070942993023809,0.0070942993023809,0,0.0126408668178197,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.0078040249470307,0.0078040249470307,0,0.0139054804137246,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.00437808952319799,0.00437808952319799,0,0.00780103068962201,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.00431064556331173,0.00431064556331173,0,0.00768085671919164,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG",1,0.00623438550242486,0.00623438550242486,0,0.0111086427944547,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.01307773468343,0.01307773468343,0,0.0233023580435266,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.00562185189631767,0.00562185189631767,0,0.0100172093200253,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,0.00125646219096126,0.00125646219096126,0,0.00223880760320288,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,0.00213936833629472,0.00213936833629472,0,0.00381200017939559,1
"md$CASE_CONTROL:md$A_SLE_LIGHT_EXP",1,0.00434783409196587,0.00434783409196587,0,0.00774712052028471,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,0.000808672569286462,0.000808672569286462,0,0.00144092063385929,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,0.00761067446131,0.00761067446131,0,0.0135609618594629,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,0.00372061556400369,0.00372061556400369,0,0.00662952094635949,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,0.00775482718427556,0.00775482718427556,0,0.0138178181457239,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,0.00484641295203664,0.00484641295203664,0,0.0086355055037347,1
"md$CASE_CONTROL:md$NUT_VEG_DAY_QTY",1,0.00443443819575864,0.00443443819575864,0,0.00790143469498462,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,0.0212464387758237,0.0212464387758237,0,0.0378576363176575,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,0.0129650153452313,0.0129650153452313,0,0.0231015108447786,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,0.0143608049111112,0.0143608049111112,0,0.0255885767629121,1
"md$PM_WAIST_HIP_RATIO:md$NUT_VEG_DAY_QTY",1,0.00416437948365095,0.00416437948365095,0,0.0074202347811891,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_VEG_DAY_QTY",1,0.0194160234903517,0.0194160234903517,0,0.0345961393242634,1
"md$A_SLE_LIGHT_EXP:md$NUT_VEG_DAY_QTY",1,0.00152001030760901,0.00152001030760901,0,0.00270840671378922,1
"md$CASE_CONTROL:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.020146747711802,0.020146747711802,0,0.0358981689074822,1
"md$F1_SDC_AGE_CALC:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.00581274955355737,0.00581274955355737,0,0.0103573573400265,1
"md$PM_BIOIMPED_WEIGHT:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.009493690931972,0.009493690931972,0,0.0169161854561626,1
"md$PM_WAIST_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.00860467386729835,0.00860467386729835,0,0.0153321042334354,1
"md$PM_WAIST_HIP_RATIO:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0128657394007788,0.0128657394007788,0,0.0229246175479851,1
"md$PM_STANDING_HEIGHT_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.00564988271454175,0.00564988271454175,0,0.0100671555972913,1
"md$A_SLE_LIGHT_EXP:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.00469803669996977,0.00469803669996977,0,0.00837112358786668,1
"md$NUT_VEG_DAY_QTY:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.00745859716924885,0.00745859716924885,0,0.0132899853030728,1
"md$CASE_CONTROL:md$PM_BIOIMPED_FFM",1,0.0179417835806006,0.0179417835806006,0,0.0319692878816659,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_FFM",1,0.0051345629491098,0.0051345629491098,0,0.00914894109212812,1
"md$PM_BIOIMPED_WEIGHT:md$PM_BIOIMPED_FFM",1,0.0195098587473416,0.0195098587473416,0,0.0347633382167639,1
"md$PM_WAIST_AVG:md$PM_BIOIMPED_FFM",1,0.00503347683085825,0.00503347683085825,0,0.00896882236531893,1
