"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,-0.00550833570984295,-0.00550833570984295,0,-0.00310350680145438,1
"md$F1_SDC_AGE_CALC",1,0.0600877831894521,0.0600877831894521,0,0.033854662031501,1
"md$PM_BIOIMPED_WEIGHT",1,0.0460597933244788,0.0460597933244788,0,0.0259510112284313,1
"md$PM_WAIST_AVG",1,0.0303332253852402,0.0303332253852402,0,0.0170903474755401,1
"md$PM_WAIST_HIP_RATIO",1,0.068854427316414,0.068854427316414,0,0.0387939651363097,1
"md$PM_STANDING_HEIGHT_AVG",1,0.0123747385978381,0.0123747385978381,0,0.0069721758853557,1
"md$A_SLE_LIGHT_EXP",1,0.0318839703969871,0.0318839703969871,0,0.0179640683133384,1
"md$NUT_VEG_DAY_QTY",1,0.0113763238459094,0.0113763238459094,0,0.00640964899220604,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0442251109859541,0.0442251109859541,0,0.0249173144067315,1
"md$PM_BIOIMPED_FFM",1,0.0338862062642279,0.0338862062642279,0,0.0190921681531854,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,0.0533912426022319,0.0533912426022319,0,0.0300816967742244,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,0.107420889097107,0.107420889097107,0,0.0605230831039263,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0109956544768615,0.0109956544768615,0,0.00619517223585398,1
"md$UC_case_control:md$PM_WAIST_AVG",1,0.102957365241521,0.102957365241521,0,0.0580082442535071,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.0332426054634912,0.0332426054634912,0,0.018729550555471,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0388111344733122,0.0388111344733122,0,0.0218669714692316,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,0.0617633871427032,0.0617633871427032,0,0.0347987309008268,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.34475325852009,0.34475325852009,0,0.194240899429706,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.0473339461324176,0.0473339461324176,0,0.0266688944719061,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.0546877478673644,0.0546877478673644,0,0.0308121738403317,1
"md$UC_case_control:md$PM_STANDING_HEIGHT_AVG",1,0.0412866212491689,0.0412866212491689,0,0.0232617103614261,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.0711892728959322,0.0711892728959322,0,0.0401094639581103,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.0294917994761204,0.0294917994761204,0,0.0166162712446366,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,0.0139659074258358,0.0139659074258358,0,0.00786867231187685,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,0.131275973241911,0.131275973241911,0,0.0739635158938835,1
"md$UC_case_control:md$A_SLE_LIGHT_EXP",1,0.0167275320164859,0.0167275320164859,0,0.00942462698704872,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,0.0161643347860174,0.0161643347860174,0,0.00910731037321272,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,0.0367301659842634,0.0367301659842634,0,0.0206945120913772,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,0.0837609095074163,0.0837609095074163,0,0.0471925761328885,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,0.0330076395607728,0.0330076395607728,0,0.018597166053943,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,0.0122737097508834,0.0122737097508834,0,0.0069152542069789,1
"md$UC_case_control:md$NUT_VEG_DAY_QTY",1,0.0390050803767101,0.0390050803767101,0,0.0219762444805395,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,0.0610652812618546,0.0610652812618546,0,0.0344054040479487,1
"Residuals",0,-2.63048187049784e-17,-Inf,NA,-1.48206623674091e-17,NA
"Total",33,1.77487470214713,NA,NA,1,NA
