"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,0.128044067554159,0.128044067554159,0,0.00927479403201258,1
"md$A_SMK_CIG_CUR_FREQ",1,0.135055913930918,0.135055913930918,0,0.00978269285287002,1
"md$F1_SDC_AGE_CALC",1,0.131691654705213,0.131691654705213,0,0.00953900478527944,1
"md$SDC_GENDER",1,0.12672049641352,0.12672049641352,0,0.00917892196272711,1
"md$PM_BIOIMPED_WEIGHT",1,0.11258318382734,0.11258318382734,0,0.0081548943376477,1
"md$PM_WAIST_AVG",1,0.0317025350183345,0.0317025350183345,0,0.00229635381165434,1
"md$PM_WAIST_HIP_RATIO",1,0.0288500307054654,0.0288500307054654,0,0.0020897343994266,1
"md$PM_STANDING_HEIGHT_AVG",1,0.0500762627076243,0.0500762627076243,0,0.00362724358400845,1
"md$A_SLE_LIGHT_EXP",1,0.0256991306628247,0.0256991306628247,0,0.00186150087428815,1
"md$NUT_VEG_DAY_QTY",1,0.154744807527837,0.154744807527837,0,0.0112088458665768,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.082910105919442,0.082910105919442,0,0.00600554301549282,1
"md$PM_BIOIMPED_FFM",1,0.184665473905554,0.184665473905554,0,0.0133761311087182,1
"md$CASE_CONTROL:md$A_SMK_CIG_CUR_FREQ",1,0.0627831178190195,0.0627831178190195,0,0.0045476568933011,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,0.079875572587184,0.079875572587184,0,0.00578573844213322,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,0.0204259210885767,0.0204259210885767,0,0.00147953915108609,1
"md$CASE_CONTROL:md$SDC_GENDER",1,0.045607759408872,0.045607759408872,0,0.0033035702696648,1
"md$F1_SDC_AGE_CALC:md$SDC_GENDER",1,0.0219875410160364,0.0219875410160364,0,0.00159265413923147,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,0.0905690043930674,0.0905690043930674,0,0.00656031066081871,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,0.0302250829693718,0.0302250829693718,0,0.00218933547251489,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0559311075698146,0.0559311075698146,0,0.00405133570497479,1
"md$SDC_GENDER:md$PM_BIOIMPED_WEIGHT",1,0.16915541476929,0.16915541476929,0,0.0122526694235266,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,0.0225528245356224,0.0225528245356224,0,0.00163360010661597,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_AVG",1,0.0372288611739204,0.0372288611739204,0,0.00269664988023325,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.0175729116569989,0.0175729116569989,0,0.0012728831508924,1
"md$SDC_GENDER:md$PM_WAIST_AVG",1,0.0586567805199256,0.0586567805199256,0,0.00424876816470367,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0107344065614572,0.0107344065614572,0,0.000777540200144679,1
