"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,0.0576628075543695,0.0576628075543695,0,0.0374345527946208,1
"md$F1_SDC_AGE_CALC",1,0.00934207007581441,0.00934207007581441,0,0.00606484890862067,1
"md$PM_BIOIMPED_WEIGHT",1,0.11366218261155,0.11366218261155,0,0.0737892093046632,1
"md$PM_WAIST_AVG",1,0.0874953225925564,0.0874953225925564,0,0.0568017481595072,1
"md$PM_WAIST_HIP_RATIO",1,0.0264104695750768,0.0264104695750768,0,0.0171456118696049,1
"md$PM_STANDING_HEIGHT_AVG",1,0.167195578006472,0.167195578006472,0,0.108542957885098,1
"md$A_SLE_LIGHT_EXP",1,0.0222859109117764,0.0222859109117764,0,0.0144679585331757,1
"md$NUT_VEG_DAY_QTY",1,0.0560509216447724,0.0560509216447724,0,0.0363881204278855,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0153890762685788,0.0153890762685788,0,0.0099905504513178,1
"md$PM_BIOIMPED_FFM",1,0.0989512539326719,0.0989512539326719,0,0.0642389106001107,1
"md$Crohn_case_control:md$F1_SDC_AGE_CALC",1,0.0587882945925685,0.0587882945925685,0,0.0381652162107473,1
"md$Crohn_case_control:md$PM_BIOIMPED_WEIGHT",1,0.0168676161856915,0.0168676161856915,0,0.0109504149278077,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0200155680566679,0.0200155680566679,0,0.0129940575374375,1
"md$Crohn_case_control:md$PM_WAIST_AVG",1,0.0378072026845155,0.0378072026845155,0,0.0245443429645003,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.0538654764693747,0.0538654764693747,0,0.034969334796939,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.061517893721749,0.061517893721749,0,0.03993726524969,1
"md$Crohn_case_control:md$PM_WAIST_HIP_RATIO",1,0.0740962327464366,0.0740962327464366,0,0.0481030919976217,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.0958086836982587,0.0958086836982587,0,0.0621987617356972,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.0620877316580257,0.0620877316580257,0,0.0403072026359301,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.0827304855647761,0.0827304855647761,0,0.0537084276841554,1
"md$Crohn_case_control:md$PM_STANDING_HEIGHT_AVG",1,0.0481670656799462,0.0481670656799462,0,0.0312699405324269,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.0372948377648223,0.0372948377648223,0,0.0242117169192235,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.0369372716381478,0.0369372716381478,0,0.0239795858695179,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,0.0805077854163507,0.0805077854163507,0,0.0522654562163789,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,0.119425461512106,0.119425461512106,0,0.0775307157873226,1
"Residuals",0,2.34005840335676e-17,Inf,NA,1.51916015813761e-17,NA
"Total",25,1.54036320056308,NA,NA,1,NA
