"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,0.00377464291391441,0.00377464291391441,0,0.0018165228865554,1
"md$F1_SDC_AGE_CALC",1,0.0226081969192087,0.0226081969192087,0,0.0108800509251099,1
"md$A_HS_DENTAL_VISIT_LAST",1,0.0656851271075782,0.0656851271075782,0,0.031610549505855,1
"md$PM_BIOIMPED_BMI",1,0.0701399402962152,0.0701399402962152,0,0.0337544000096093,1
"md$PM_BIOIMPED_WEIGHT",1,0.0775674872171921,0.0775674872171921,0,0.0373288597083485,1
"md$PM_WAIST_AVG",1,0.0716663547193687,0.0716663547193687,0,0.0344889772391018,1
"md$PM_WAIST_HIP_RATIO",1,0.112067374808385,0.112067374808385,0,0.053931711109728,1
"md$PM_STANDING_HEIGHT_AVG",1,0.0509814697529512,0.0509814697529512,0,0.024534507954404,1
"md$A_SLE_LIGHT_EXP",1,0.0376070817833634,0.0376070817833634,0,0.0180981688371673,1
"md$NUT_VEG_DAY_QTY",1,0.0568363124905678,0.0568363124905678,0,0.0273521137710649,1
"md$NUT_JUICE_DAY_QTY",1,0.0138743311551385,0.0138743311551385,0,0.00667693359444732,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0295977543744039,0.0295977543744039,0,0.0142437309801033,1
"md$PM_BIOIMPED_FFM",1,0.045013325934988,0.045013325934988,0,0.0216623767136924,1
"md$SALT_SEASONING",1,0.142025879098598,0.142025879098598,0,0.068349050691581,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,0.127630645415947,0.127630645415947,0,0.0614214360699557,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,0.0731143665301748,0.0731143665301748,0,0.0351858237102304,1
"md$UC_case_control:md$A_HS_DENTAL_VISIT_LAST",1,0.0222259080857268,0.0222259080857268,0,0.0106960768562689,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.0975278792031813,0.0975278792031813,0,0.0469346713557251,1
"md$UC_case_control:md$PM_BIOIMPED_BMI",1,0.0835589273208746,0.0835589273208746,0,0.0402122021383424,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,0.108228348017637,0.108228348017637,0,0.0520842038920818,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,0.0444118641367381,0.0444118641367381,0,0.0213729270500216,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,0.0761824768384942,0.0761824768384942,0,0.0366623322755821,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0362249785118862,0.0362249785118862,0,0.0174330404312547,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,0.0271827587205451,0.0271827587205451,0,0.0130815296868379,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,0.0118825327799059,0.0118825327799059,0,0.00571839329897294,1
"md$UC_case_control:md$PM_WAIST_AVG",1,0.0591623352626514,0.0591623352626514,0,0.0284714974310565,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.112754745420996,0.112754745420996,0,0.0542625038437242,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,0.0878954619039534,0.0878954619039534,0,0.0422991318157069,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,0.0783372771824975,0.0783372771824975,0,0.0376993162314446,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.169261141114256,0.169261141114256,0,0.0814558472551454,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,0.0337669590280036,0.0337669590280036,0,0.0162501341935249,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.033962657126219,0.033962657126219,0,0.0163443126581827,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,-0.00480699159439313,-0.00480699159439313,0,-0.0023133341208266,1
"Residuals",0,1.01582960943842e-16,Inf,NA,4.88861536433897e-17,NA
"Total",33,2.07794954957717,NA,NA,1,NA
