,sum_sq,df,F,PR(>F)
Both_case_control,0.14313220665125173,1.0,0.04864264300765721,0.8269363410190643
A_SMK_CIG_CUR_FREQ,3.065649870905877,1.0,1.041843172447456,0.3155542635845907
F1_SDC_AGE_CALC,0.017381895715967648,1.0,0.005907135562915227,0.9392468977117413
SDC_GENDER,2.094850590446663,1.0,0.7119227168331078,0.4054841812498895
A_HS_DENTAL_VISIT_LAST,22.591015174390044,1.0,7.677424333895096,0.009506514738076465
PM_BIOIMPED_BMI,3.8994427432483096,1.0,1.325202801845913,0.2587531242235758
PM_BIOIMPED_WEIGHT,2.2484968438489874,1.0,0.7641384971146445,0.38898083201555544
PM_WAIST_AVG,1.4976676434712766,1.0,0.5089735862383243,0.4810970277290173
PM_WAIST_HIP_RATIO,0.8704102117543792,1.0,0.29580381796075184,0.5905445566958967
PM_STANDING_HEIGHT_AVG,3.708137459723239,1.0,1.2601888205086296,0.2705196191725491
A_SLE_LIGHT_EXP,2.1598141040101635,1.0,0.7340001868360115,0.3983817617435623
NUT_VEG_DAY_QTY,0.8893759870341513,1.0,0.30224922572663104,0.5865457543284714
NUT_JUICE_DAY_QTY,0.06479715811007486,1.0,0.022020935075352077,0.8830243985789579
REFINED_GRAIN_SERVINGS_DAY_QTY,0.5221020057447959,1.0,0.17743331199319426,0.6765910960225372
PM_BIOIMPED_FFM,2.5070959119933187,1.0,0.8520218774394286,0.36334578196388156
SALT_SEASONING,9.238449162642196,1.0,3.139632896583056,0.08656901149745419
NUTS_SEEDS_SERVINGS_PER_DAY,0.9905856281047449,1.0,0.3366447300978127,0.5661052628302423
Residual,88.2757583477034,30.0,,
