,sum_sq,df,F,PR(>F)
UC_case_control,9.367592228670613,1.0,4.779450681364132,0.03235283723025713
A_SMK_CIG_CUR_FREQ,0.140784529952611,1.0,0.07182984711355495,0.7895267809986695
F1_SDC_AGE_CALC,1.9743427643884333,1.0,1.0073318351349474,0.31920850600354544
SDC_GENDER,0.5216435422811719,1.0,0.266148389332566,0.6076512683097054
A_HS_DENTAL_VISIT_LAST,4.53052441716492,1.0,2.311524400718777,0.13319462506294072
PM_BIOIMPED_BMI,1.5021579143077015,1.0,0.7664178256052604,0.38450247703780627
PM_BIOIMPED_WEIGHT,0.007002779372507102,1.0,0.003572896623417768,0.9525164883970186
PM_WAIST_AVG,7.154456447456202,1.0,3.6502839692283646,0.06040529038039415
PM_WAIST_HIP_RATIO,3.9623691571346575,1.0,2.021645211020357,0.15977960746974876
PM_STANDING_HEIGHT_AVG,0.8906622250457301,1.0,0.4544258625318297,0.5025949146457085
A_SLE_LIGHT_EXP,0.6671593656884274,1.0,0.34039219546286004,0.5615914294095153
NUT_VEG_DAY_QTY,0.1396034847022274,1.0,0.07122726457271897,0.7903903238116106
NUT_JUICE_DAY_QTY,0.0008685561105434746,1.0,0.00044314707483046617,0.9832684393510048
REFINED_GRAIN_SERVINGS_DAY_QTY,0.5692709394979278,1.0,0.2904484218833562,0.5917466240902132
PM_BIOIMPED_FFM,0.0015414581021260573,1.0,0.0007864692224702193,0.97771163816309
SALT_SEASONING,0.5854317454864407,1.0,0.2986938464607401,0.586545393956722
NUTS_SEEDS_SERVINGS_PER_DAY,0.46821164825672223,1.0,0.23888683737045918,0.6266314583849035
Residual,129.35818953064265,66.0,,
