,sum_sq,df,F,PR(>F)
UC_case_control,549.6085826252695,1.0,2.8220041023475066,0.10077546148203852
A_SMK_CIG_CUR_FREQ,26.310175326315612,1.0,0.13509145426676808,0.7151480303545756
F1_SDC_AGE_CALC,182.32843265439504,1.0,0.9361782206303507,0.3390767440320228
SDC_GENDER,145.25104137902858,1.0,0.7458017352711918,0.3929576887408347
PM_BIOIMPED_WEIGHT,325.51123569765167,1.0,1.6713604400266235,0.20349417751131826
PM_WAIST_AVG,437.5673604555277,1.0,2.2467205303829547,0.14174939143346846
PM_WAIST_HIP_RATIO,513.090036912466,1.0,2.634497049016862,0.11242131019653814
PM_STANDING_HEIGHT_AVG,158.3165949829747,1.0,0.8128877434511556,0.3726648517049117
A_SLE_LIGHT_EXP,37.75572076786645,1.0,0.1938594160685644,0.662093891325622
NUT_VEG_DAY_QTY,396.1183945829089,1.0,2.033897886362595,0.1615841216341949
REFINED_GRAIN_SERVINGS_DAY_QTY,0.00021485348721526866,1.0,1.1031804114648462e-06,0.9991671837473809
PM_BIOIMPED_FFM,0.02548739631338574,1.0,0.00013086683728803973,0.990929502713984
Residual,7790.330030605883,40.0,,
