,sum_sq,df,F,PR(>F)
Crohn_case_control,22.728291460672498,1.0,0.06987392203490914,0.7953720394309309
A_SMK_CIG_CUR_FREQ,41.82874246402535,1.0,0.1285947205845591,0.7252435306686442
F1_SDC_AGE_CALC,187.0360079295771,1.0,0.5750075608809192,0.46085128362063643
SDC_GENDER,36.033665073897346,1.0,0.11077882859616553,0.7441908098867861
PM_BIOIMPED_WEIGHT,14.342590183750085,1.0,0.044093636779170095,0.8367046967882696
PM_WAIST_AVG,4.020354151960785,1.0,0.012359834132403331,0.9130558750383505
PM_WAIST_HIP_RATIO,9.052838313894608,1.0,0.027831274499196063,0.8698916757875511
PM_STANDING_HEIGHT_AVG,3.8903836271246552,1.0,0.011960263828803958,0.9144667021119859
A_SLE_LIGHT_EXP,196.05187150976036,1.0,0.6027251634103116,0.4504579779311787
NUT_VEG_DAY_QTY,211.07806348009402,1.0,0.6489204072557812,0.433968456473074
REFINED_GRAIN_SERVINGS_DAY_QTY,656.5017548265565,1.0,2.018293038520131,0.1773018157083708
PM_BIOIMPED_FFM,11.176775481246384,1.0,0.0343609258940393,0.8555999024098702
Residual,4553.860312727882,14.0,,
