,sum_sq,df,F,PR(>F)
CASE_CONTROL,8.978714218813415,1.0,0.054452426852915736,0.8164233821547363
A_SMK_CIG_CUR_FREQ,79.93997184429324,1.0,0.4848049913822497,0.4894151481964436
F1_SDC_AGE_CALC,305.3262599251583,1.0,1.8516856010421279,0.1795708840930359
SDC_GENDER,260.7499602659419,1.0,1.58134759524157,0.2142946329483572
A_HS_DENTAL_VISIT_LAST,113.51987660803069,1.0,0.6884541178957047,0.4105577358206117
PM_BIOIMPED_BMI,158.16035008226015,1.0,0.9591813130481799,0.33201640219245576
PM_BIOIMPED_WEIGHT,91.54592466299805,1.0,0.5551906035665334,0.4596246892689325
PM_WAIST_AVG,136.82808382654028,1.0,0.8298093740836253,0.3666132534847273
PM_WAIST_HIP_RATIO,97.83728111479937,1.0,0.5933452456064272,0.4446820904826019
PM_STANDING_HEIGHT_AVG,117.68584992519507,1.0,0.7137191337761266,0.402157777669508
A_SLE_LIGHT_EXP,382.2975426877386,1.0,2.3184866420667296,0.13402134088167977
NUT_VEG_DAY_QTY,486.1943908594242,1.0,2.9485808167385303,0.09202085450836435
NUT_JUICE_DAY_QTY,22.185714310208432,1.0,0.1345477711190548,0.7152801345227828
REFINED_GRAIN_SERVINGS_DAY_QTY,329.8134948967558,1.0,2.0001912042527943,0.1633554954642651
PM_BIOIMPED_FFM,0.4237829105859478,1.0,0.0025700793429692947,0.9597658409268722
SALT_SEASONING,43.36174696590336,1.0,0.26297221376398056,0.6102996279130593
NUTS_SEEDS_SERVINGS_PER_DAY,465.41784844471476,1.0,2.82257912779704,0.09906328347628482
Residual,8409.440159506215,51.0,,
