,sum_sq,df,F,PR(>F)
UC_case_control,0.036847056838671406,1.0,0.26052764803263306,0.6146219307888319
A_SMK_CIG_CUR_FREQ,0.09706053866891383,1.0,0.6862679417492473,0.41595079382175626
F1_SDC_AGE_CALC,0.16030883233644844,1.0,1.1334659164321614,0.29808713098226747
SDC_GENDER,0.8967470264154404,1.0,6.340462813493357,0.01921363583366
PM_BIOIMPED_WEIGHT,0.002174893573204221,1.0,0.015377616449233222,0.9023874909377945
PM_WAIST_AVG,0.0009452071004578069,1.0,0.0066831004675405245,0.9355525919332934
PM_WAIST_HIP_RATIO,0.057558581192300486,1.0,0.40696878037725226,0.5298128271759962
PM_STANDING_HEIGHT_AVG,0.011827861188508692,1.0,0.08362906351490684,0.7750290096147491
A_SLE_LIGHT_EXP,0.02708563862861093,1.0,0.19150939946899367,0.6657453129088944
NUT_VEG_DAY_QTY,0.002231847753674842,1.0,0.015780311805570726,0.9011245627977174
REFINED_GRAIN_SERVINGS_DAY_QTY,0.34807654453293874,1.0,2.4610802398556606,0.13035495311335174
PM_BIOIMPED_FFM,0.051433509018326246,1.0,0.36366136902816243,0.5523805153286343
Residual,3.2529457571554508,23.0,,
