,sum_sq,df,F,PR(>F)
UC_case_control,2.5177550779261507e-05,1.0,0.01192403569524743,0.9142542065235768
A_SMK_CIG_CUR_FREQ,0.010550802713389854,1.0,4.99683822588498,0.038303858777352526
F1_SDC_AGE_CALC,0.00467843362137527,1.0,2.2156964348206034,0.15392452016725766
SDC_GENDER,0.010512601749244743,1.0,4.9787463287003515,0.03861594730053511
A_HS_DENTAL_VISIT_LAST,0.0013904372577944928,1.0,0.6585081940376802,0.4276880486206722
PM_BIOIMPED_BMI,0.008948368249199945,1.0,4.237928595722153,0.05430340781273882
PM_BIOIMPED_WEIGHT,0.010958299436901194,1.0,5.189827826797547,0.035148272449489266
PM_WAIST_AVG,0.0008234104353855626,1.0,0.38996547001164117,0.5401528839405553
PM_WAIST_HIP_RATIO,5.82204432790858e-05,1.0,0.027573080874283118,0.8699673856970824
PM_STANDING_HEIGHT_AVG,0.008856806959936896,1.0,4.194565359518306,0.05542870935830286
A_SLE_LIGHT_EXP,0.0042814309812352494,1.0,2.027676809971457,0.17156164151315262
NUT_VEG_DAY_QTY,0.006396097668470792,1.0,3.0291785558409114,0.09884690003899738
NUT_JUICE_DAY_QTY,0.00034806734904130343,1.0,0.16484397274008336,0.6895213424843794
REFINED_GRAIN_SERVINGS_DAY_QTY,0.001344563644542215,1.0,0.6367825461902855,0.4352803007245717
PM_BIOIMPED_FFM,3.7607619474943998e-06,1.0,0.00178108903826295,0.9668015322319011
SALT_SEASONING,2.8565775876682853e-05,1.0,0.013528692055963163,0.9086924341513543
NUTS_SEEDS_SERVINGS_PER_DAY,0.008498011270219657,1.0,4.0246404669424445,0.060105981759754415
Residual,0.03800692362966824,18.0,,
