,sum_sq,df,F,PR(>F)
CASE_CONTROL,0.006177596373794403,1.0,3.1568844831240463,0.07748406095701861
A_SMK_CIG_CUR_FREQ,0.0015016931110149903,1.0,0.7673974461471142,0.3823204473322941
F1_SDC_AGE_CALC,0.003192248516054019,1.0,1.6313075825665924,0.2033497891688754
SDC_GENDER,0.012351140210985972,1.0,6.311698032968436,0.01297272461828312
PM_BIOIMPED_WEIGHT,0.0006441668159694581,1.0,0.329183083974836,0.5669361971872754
PM_WAIST_AVG,0.000838087215555822,1.0,0.42828057487150833,0.513761870950398
PM_WAIST_HIP_RATIO,0.0009756901373795202,1.0,0.4985986245551184,0.48113076833381796
PM_STANDING_HEIGHT_AVG,0.0017584047006250568,1.0,0.8985825843209049,0.3445739511670627
A_SLE_LIGHT_EXP,0.00046034501960027987,1.0,0.2352461963077299,0.6283160625948754
NUT_VEG_DAY_QTY,0.0017432201399763608,1.0,0.8908229475634323,0.34665988289093885
REFINED_GRAIN_SERVINGS_DAY_QTY,0.001526014774424347,1.0,0.7798263387414038,0.37850281236369065
PM_BIOIMPED_FFM,0.000154948386710644,1.0,0.07918195493751365,0.7787681797734025
Residual,0.31701211048569405,162.0,,
