,sum_sq,df,F,PR(>F)
Crohn_case_control,0.0026056989391371682,1.0,1.1563743999699072,0.2863198598404222
A_SMK_CIG_CUR_FREQ,1.7313259446812733e-05,1.0,0.007683393389629608,0.9304289397173686
F1_SDC_AGE_CALC,0.0006239204615866507,1.0,0.27688757076253717,0.6005961206411412
SDC_GENDER,0.0006800841323840189,1.0,0.3018122580097599,0.5846906894795048
A_HS_DENTAL_VISIT_LAST,0.0017990806533507023,1.0,0.7984079740634883,0.37497052189475166
PM_BIOIMPED_BMI,6.948870856568051e-06,1.0,0.0030838161103496744,0.9558902828362216
PM_BIOIMPED_WEIGHT,7.780225239093611e-07,1.0,0.000345276008573222,0.9852336024587202
PM_WAIST_AVG,0.0005063637354321749,1.0,0.2247174652190615,0.6371075697759534
PM_WAIST_HIP_RATIO,0.0008582104456241576,1.0,0.38086233762491456,0.5393662183272049
PM_STANDING_HEIGHT_AVG,8.152637691537966e-05,1.0,0.03618031759972247,0.849755179431195
A_SLE_LIGHT_EXP,8.993905578288276e-05,1.0,0.039913752161725144,0.8422927764110912
NUT_VEG_DAY_QTY,0.0007228507892036321,1.0,0.32079152931992716,0.5731445729532562
NUT_JUICE_DAY_QTY,0.0002685403204384744,1.0,0.11917460887388437,0.7310813942867407
REFINED_GRAIN_SERVINGS_DAY_QTY,0.0003186922643967944,1.0,0.14143137201373143,0.7081256414987265
PM_BIOIMPED_FFM,0.0003959853147894822,1.0,0.175732995822691,0.6764921200512591
SALT_SEASONING,0.003754186712773117,1.0,1.6660579402145128,0.20150416522680042
NUTS_SEEDS_SERVINGS_PER_DAY,0.00046057273431293844,1.0,0.20439603028736048,0.6527484781202578
Residual,0.14196010666607076,63.0,,
