,sum_sq,df,F,PR(>F)
Crohn_case_control,0.26529045136221363,1.0,0.2798276005847717,0.6045546115914474
A_SMK_CIG_CUR_FREQ,2.35891504672822,1.0,2.488176766709258,0.13555696465086214
F1_SDC_AGE_CALC,0.2906249950049461,1.0,0.30655040392373034,0.5879636773496837
SDC_GENDER,6.9397081988332605,1.0,7.319984130852041,0.016276699958956985
PM_BIOIMPED_WEIGHT,0.37751360892144686,1.0,0.3982002625053126,0.5375175543880957
PM_WAIST_AVG,1.079055741733349,1.0,1.1381848745630052,0.3029070063319177
PM_WAIST_HIP_RATIO,0.9414144027340875,1.0,0.9930011883968906,0.3348144857706223
PM_STANDING_HEIGHT_AVG,0.9007894918514681,1.0,0.9501501499298772,0.3451397476336991
A_SLE_LIGHT_EXP,0.9761694694796661,1.0,1.0296607322502058,0.32632727789150784
NUT_VEG_DAY_QTY,0.1638094991093619,1.0,0.1727857857431162,0.6835333555885248
REFINED_GRAIN_SERVINGS_DAY_QTY,0.5155514486152818,1.0,0.5438021764569466,0.47224000788648834
PM_BIOIMPED_FFM,1.2990788269642206,1.0,1.3702645883155034,0.26002829452944787
Residual,14.220744351584031,15.0,,
