,sum_sq,df,F,PR(>F)
UC_case_control,2.140285355267083,1.0,1.3285498519838936,0.260902760323242
A_SMK_CIG_CUR_FREQ,11.642168175259462,1.0,7.226700293934604,0.013123928234828768
F1_SDC_AGE_CALC,0.4931735355640709,1.0,0.30613003357875046,0.5854034164038009
SDC_GENDER,11.653262988695587,1.0,7.233587232030067,0.013085900946438581
PM_BIOIMPED_WEIGHT,9.515766303695154,1.0,5.906768405052196,0.023292924107616558
PM_WAIST_AVG,4.612579668908984,1.0,2.8631892571297994,0.1041334098828586
PM_WAIST_HIP_RATIO,3.346028268758992,1.0,2.076996579102861,0.16301124560552102
PM_STANDING_HEIGHT_AVG,4.473784880012107,1.0,2.777034485388126,0.10918746479084288
A_SLE_LIGHT_EXP,0.11440352447687481,1.0,0.07101426225066193,0.7922402571827889
NUT_VEG_DAY_QTY,0.03340392375548871,1.0,0.020734981833998405,0.8867575231827454
REFINED_GRAIN_SERVINGS_DAY_QTY,0.16408572044387706,1.0,0.10185373603193208,0.7524968142577584
PM_BIOIMPED_FFM,3.1819261473137948,1.0,1.9751326623967385,0.17326855605845534
Residual,37.052853603975784,23.0,,
