,sum_sq,df,F,PR(>F)
UC_case_control,169.98095311763802,1.0,1.8742433803504945,0.1878322781000244
A_SMK_CIG_CUR_FREQ,175.57855295053415,1.0,1.935963615707664,0.18106638605271164
F1_SDC_AGE_CALC,23.428470826367562,1.0,0.25832692165024523,0.6174442274367837
SDC_GENDER,175.64439725148154,1.0,1.9366896279044483,0.18098861895857576
A_HS_DENTAL_VISIT_LAST,1.7081392587037107,1.0,0.0188342790155236,0.8923660860578128
PM_BIOIMPED_BMI,126.86102128884168,1.0,1.3987945414717333,0.25231283044141556
PM_BIOIMPED_WEIGHT,70.3277763023993,1.0,0.7754478767884078,0.39014344699291137
PM_WAIST_AVG,9.021651550484712,1.0,0.09947450222039149,0.7560884879929898
PM_WAIST_HIP_RATIO,1.836941663235717,1.0,0.020254479630002268,0.8884095476864113
PM_STANDING_HEIGHT_AVG,135.26478706586536,1.0,1.4914561137756734,0.2377460272615311
A_SLE_LIGHT_EXP,0.404191467648537,1.0,0.00445669452218064,0.9475099069218031
NUT_VEG_DAY_QTY,122.15666635361777,1.0,1.3469233998264658,0.26097830459369564
NUT_JUICE_DAY_QTY,96.07151111373688,1.0,1.059303353950345,0.3170066501365414
REFINED_GRAIN_SERVINGS_DAY_QTY,112.69747174041781,1.0,1.2426244618450581,0.27962885489470035
PM_BIOIMPED_FFM,1.1858995523154898,1.0,0.013075961423452496,0.9102260808406344
SALT_SEASONING,3.780333691224104,1.0,0.04168270189301302,0.8405164018483865
NUTS_SEEDS_SERVINGS_PER_DAY,209.46542487741868,1.0,2.309606922353872,0.14594722044869218
Residual,1632.4759037139086,18.0,,
