,sum_sq,df,F,PR(>F)
UC_case_control,0.0031302242964819597,1.0,1.1512359986098522,0.29746527325597927
A_SMK_CIG_CUR_FREQ,0.006970579607571957,1.0,2.563644459737782,0.12675011500476052
F1_SDC_AGE_CALC,0.000368348677217248,1.0,0.13547152443018567,0.7171177770889468
SDC_GENDER,0.006999281479216726,1.0,2.574200453409569,0.12602051447636203
A_HS_DENTAL_VISIT_LAST,0.0057372734324943366,1.0,2.1100582845704254,0.16354400962483526
PM_BIOIMPED_BMI,0.004370213349674763,1.0,1.607280007188433,0.22102952216386013
PM_BIOIMPED_WEIGHT,0.004931165710795493,1.0,1.8135874441197661,0.19479151710364312
PM_WAIST_AVG,2.211042778521197e-05,1.0,0.008131788012637779,0.929142887488442
PM_WAIST_HIP_RATIO,0.003507192275105561,1.0,1.289877535512631,0.2709669738734542
PM_STANDING_HEIGHT_AVG,0.005412567361635211,1.0,1.9906376672810153,0.17532406037367732
A_SLE_LIGHT_EXP,0.003885842046367109,1.0,1.4291376032437526,0.24741796350561415
NUT_VEG_DAY_QTY,0.010151332117911433,1.0,3.7334637588490094,0.06922737339243341
NUT_JUICE_DAY_QTY,0.0020318706146028125,1.0,0.7472827422230583,0.39871195857572017
REFINED_GRAIN_SERVINGS_DAY_QTY,0.012328222680579232,1.0,4.534082035179505,0.047285527581750315
PM_BIOIMPED_FFM,0.003533021453233705,1.0,1.2993770080293594,0.26926891300141625
SALT_SEASONING,0.0089107100763174,1.0,3.2771869493701806,0.08697601123690589
NUTS_SEEDS_SERVINGS_PER_DAY,0.0009265006598530966,1.0,0.34074903627750747,0.5666408755969858
Residual,0.04894221289528141,18.0,,
