,sum_sq,df,F,PR(>F)
CASE_CONTROL,1330.381865801244,1.0,7.761816885381352,0.005783429491651672
A_SMK_CIG_CUR_FREQ,6.84297933165715,1.0,0.03992383982983963,0.8418068801816841
F1_SDC_AGE_CALC,43.277369876547695,1.0,0.25249218205509316,0.6158085557184209
SDC_GENDER,81.1832128429889,1.0,0.4736453859243744,0.4920114418926682
PM_BIOIMPED_WEIGHT,103.22450668540075,1.0,0.6022404089921674,0.43852522422509577
PM_WAIST_AVG,209.9392658448549,1.0,1.224843919198914,0.2695733327676505
PM_WAIST_HIP_RATIO,4.463804170495593,1.0,0.026043071898549625,0.871937457977749
PM_STANDING_HEIGHT_AVG,176.66354048759342,1.0,1.0307041059688598,0.3110647819601519
A_SLE_LIGHT_EXP,51.49430747594898,1.0,0.300432075588403,0.5841455741440504
NUT_VEG_DAY_QTY,8.631802242384015,1.0,0.050360328954016494,0.8226375553795384
REFINED_GRAIN_SERVINGS_DAY_QTY,0.9210024791928895,1.0,0.005373383972106434,0.9416286972016036
PM_BIOIMPED_FFM,44.47276356719998,1.0,0.2594664404776515,0.610977446891129
Residual,39250.790345528294,229.0,,
