,sum_sq,df,F,PR(>F)
UC_case_control,880.9718057607989,1.0,6.725634985296615,0.01169424919289889
A_SMK_CIG_CUR_FREQ,21.995553269856234,1.0,0.1679214495008112,0.6832927549377348
F1_SDC_AGE_CALC,105.65892604989067,1.0,0.8066357684810639,0.3723815738045715
SDC_GENDER,59.70193029847308,1.0,0.4557846102218789,0.5019590418337558
A_HS_DENTAL_VISIT_LAST,61.306189706690226,1.0,0.468032065964323,0.4962890939400456
PM_BIOIMPED_BMI,285.1629294337234,1.0,2.177029687179192,0.14483954577869665
PM_BIOIMPED_WEIGHT,49.582868526337066,1.0,0.37853229019526685,0.5405054803500238
PM_WAIST_AVG,559.9881985100261,1.0,4.275138199229585,0.04259804231243803
PM_WAIST_HIP_RATIO,438.4093133563007,1.0,3.3469641099837872,0.07184634402226311
PM_STANDING_HEIGHT_AVG,243.08975145703948,1.0,1.8558288997167292,0.17773810505143836
A_SLE_LIGHT_EXP,0.12969770693180352,1.0,0.0009901559045921743,0.9749922793268978
NUT_VEG_DAY_QTY,51.30754525778966,1.0,0.39169905227270624,0.5335660773507787
NUT_JUICE_DAY_QTY,104.88999869304553,1.0,0.8007655184928895,0.3741164966521947
REFINED_GRAIN_SERVINGS_DAY_QTY,5.681618138349758,1.0,0.043375383269366956,0.8356614263854492
PM_BIOIMPED_FFM,0.020092770406132703,1.0,0.00015339496532277313,0.9901555977468809
SALT_SEASONING,19.02049529720275,1.0,0.14520885659679178,0.7043805501297038
NUTS_SEEDS_SERVINGS_PER_DAY,10.551538043293453,1.0,0.08055398929750908,0.7774365335754039
Residual,8645.152362167399,66.0,,
